ligand_id,molecule_chembl_id,smiles,pchembl,scaffold,n_meas,sdf,pdbqt
L0113,CHEMBL5556607,CC(C)(O)Cn1cc(-c2nc(NC3CCN(S(=O)(=O)C4CC4)CC3)ncc2C#N)cn1,7.0600000000000005,O=S(=O)(C1CC1)N1CCC(Nc2nccc(-c3cn[nH]c3)n2)CC1,2,L0113.sdf,L0113.pdbqt
L0114,CHEMBL3905910,CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccc(C(F)(F)F)cc4Cl)oc23)[C@@H]1CO,6.75,O=c1cc(-c2ccccc2)oc2c([C@@H]3CCNC3)cccc12,1,L0114.sdf,L0114.pdbqt
L0115,CHEMBL490481,O=C(Cc1ccc(Cc2cccs2)cc1)Nc1cc(C2CC2)[nH]n1,8.52,O=C(Cc1ccc(Cc2cccs2)cc1)Nc1cc(C2CC2)[nH]n1,2,L0115.sdf,L0115.pdbqt
L0116,CHEMBL5865665,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C(C)C1CC1,7.82,c1cc(-c2ccc3ncn(CC4CC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,2,L0116.sdf,L0116.pdbqt
L0117,CHEMBL4550287,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)C1CC1,7.79,c1cc(-c2ccc3ncn(CC4CC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,2,L0117.sdf,L0117.pdbqt
L0118,CHEMBL5888788,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1CC1CC1,7.1,c1cc(-c2ccc3ncn(CC4CC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,2,L0118.sdf,L0118.pdbqt
L0119,CHEMBL5751375,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1CC1CC1,6.96,c1cc(-c2ccc3ncn(CC4CC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,1,L0119.sdf,L0119.pdbqt
L0120,CHEMBL4449998,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1CC1CC1,6.63,c1cc(-c2ccc3ncn(CC4CC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,2,L0120.sdf,L0120.pdbqt
L0121,CHEMBL58466,O=C1Nc2cccc(C3CCNCC3)c2/C1=C/c1[nH]cc2c1CCNC2=O,7.31,O=C1Nc2cccc(C3CCNCC3)c2/C1=C/c1[nH]cc2c1CCNC2=O,1,L0121.sdf,L0121.pdbqt
L0122,CHEMBL5287016,CCc1c(C(=O)NCCc2ccc(N3CCCCC3)cc2)[nH]c2ccc(C)cc12,7.48,O=C(NCCc1ccc(N2CCCCC2)cc1)c1cc2ccccc2[nH]1,1,L0122.sdf,L0122.pdbqt
L0123,CHEMBL5758951,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN4CCC(B(O)O)CC4)C5)ncc3F)cc2n1C(C)(C)C,7.73,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCN(CCN2CCCCC2)C3)n1,2,L0123.sdf,L0123.pdbqt
L0124,CHEMBL4644434,CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@@H](O)CO)nc12,8.52,c1ccc(CNc2ccnc3ccnn23)cc1,1,L0124.sdf,L0124.pdbqt
L0125,CHEMBL1234833,CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12,8.52,c1ccc(CNc2ccnc3ccnn23)cc1,2,L0125.sdf,L0125.pdbqt
L0126,CHEMBL5512517,CC[C@@H](CO)Nc1cc(NCc2ccc(NC(C)=O)cc2)n2ncc(C(C)C)c2n1,6.39,c1ccc(CNc2ccnc3ccnn23)cc1,1,L0126.sdf,L0126.pdbqt
L0127,CHEMBL1801932,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12,6.055,c1ccc(CNc2ccnc3ccnn23)cc1,2,L0127.sdf,L0127.pdbqt
L0128,CHEMBL3942483,O=C1NCC2(CCCC2)n2c1cc1cnc(Nc3ccc(C(=O)N4CCN(CC5CC5)CC4)cn3)nc12,6.550000000000001,O=C1NCC2(CCCC2)n2c1cc1cnc(Nc3ccc(C(=O)N4CCN(CC5CC5)CC4)cn3)nc12,2,L0128.sdf,L0128.pdbqt
L0129,CHEMBL3642655,CN1CCN(c2cc(NCc3cccnc3)n3ncc(Br)c3n2)CC1,6.85,c1cncc(CNc2cc(N3CCNCC3)nc3ccnn23)c1,1,L0129.sdf,L0129.pdbqt
L0130,CHEMBL3642654,CN1CCN(c2cc(NCc3cccnc3)n3nccc3n2)CC1,5.25,c1cncc(CNc2cc(N3CCNCC3)nc3ccnn23)c1,1,L0130.sdf,L0130.pdbqt
L0131,CHEMBL5572638,N[C@H]1CCN(c2c3c(nc4ccc(-c5ccnc(NC(=O)C6CC6)n5)cc24)CCCC3)C1,7.26,O=C(Nc1nccc(-c2ccc3nc4c(c(N5CCCC5)c3c2)CCCC4)n1)C1CC1,1,L0131.sdf,L0131.pdbqt
L0132,CHEMBL3648076,C[C@@H](Nc1nc(Nc2ccc(S(=N)(=O)CC3CC3)cc2)ncc1Br)C(C)(C)O,8.4,N=S(=O)(CC1CC1)c1ccc(Nc2ncccn2)cc1,1,L0132.sdf,L0132.pdbqt
L0133,CHEMBL1964242,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCc2ccccc2)cc1,8.25,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCc2ccccc2)cc1,2,L0133.sdf,L0133.pdbqt
L0134,CHEMBL1171950,NCCCn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,9.0,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1,1,L0134.sdf,L0134.pdbqt
L0135,CHEMBL559845,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,8.7,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1,1,L0135.sdf,L0135.pdbqt
L0136,CHEMBL1171948,NC(=O)Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,8.0,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1,1,L0136.sdf,L0136.pdbqt
L0137,CHEMBL562104,CNC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2,7.72,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1,1,L0137.sdf,L0137.pdbqt
L0138,CHEMBL560818,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2(C)C,7.62,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1,1,L0138.sdf,L0138.pdbqt
L0139,CHEMBL561440,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(CN(C)C)cc3)nc1-2,7.46,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1,1,L0139.sdf,L0139.pdbqt
L0140,CHEMBL560301,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N(C)C)cc3)nc1-2,7.23,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1,1,L0140.sdf,L0140.pdbqt
L0141,CHEMBL538195,Cn1nc(C(=O)NCCO)c2c1-c1nc(Nc3ccccc3)ncc1CC2,7.13,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1,1,L0141.sdf,L0141.pdbqt
L0142,CHEMBL550964,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3cccc(CN(C)C)c3)nc1-2,7.08,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1,1,L0142.sdf,L0142.pdbqt
L0143,CHEMBL563366,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3cccc(N(C)C)c3)nc1-2,6.66,c1ccc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)cc1,1,L0143.sdf,L0143.pdbqt
L0144,CHEMBL5419439,CN(C)CCN(C)c1ccc2cc1COC/C=C/COCc1cccc(c1)-c1ccnc(n1)N2,7.06,C1=C/COCc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)COC/1,1,L0144.sdf,L0144.pdbqt
L0145,CHEMBL5416999,COc1ccc2cc1COC/C=C/COCc1cccc(c1)-c1ccnc(n1)N2,6.07,C1=C/COCc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)COC/1,1,L0145.sdf,L0145.pdbqt
L0146,CHEMBL245935,CC1CCN(NC(=O)N2CCC(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)CC2)CC1,5.18,O=C(NN1CCCCC1)N1CCC(Nc2nccc(-c3c[nH]c4ccccc34)n2)CC1,1,L0146.sdf,L0146.pdbqt
L0147,CHEMBL4457608,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C1/Nc2ccc(O)cc2/C1=N\O,8.7,N=C1/C(=C2/C(=O)Nc3ccccc32)Nc2ccccc21,1,L0147.sdf,L0147.pdbqt
L0148,CHEMBL1800455,Nc1nc(-c2cc(N3C[C@H](O)[C@@H](O)C3)ccc2O)cc(C2CCCC2)n1,7.38,c1cc(-c2cc(C3CCCC3)ncn2)cc(N2CCCC2)c1,1,L0148.sdf,L0148.pdbqt
L0149,CHEMBL5570663,Cn1cc(S(=O)(=O)N2CCC(Nc3ncc(C(F)(F)F)c(-c4cnn(CC(F)(F)F)c4)n3)CC2)cn1,6.8100000000000005,O=S(=O)(c1cn[nH]c1)N1CCC(Nc2nccc(-c3cn[nH]c3)n2)CC1,2,L0149.sdf,L0149.pdbqt
L0150,CHEMBL3948158,CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCC3)CNC5=O)nn2)CC1,5.35,O=C1NCC2(CCCC2)n2c1cc1cnc(Nc3ccc(N4CCNCC4)nn3)nc12,1,L0150.sdf,L0150.pdbqt
L0151,CHEMBL4846069,COc1ccc(CC(=O)Nc2cc(C3CCC3)[nH]n2)cc1,7.36,O=C(Cc1ccccc1)Nc1cc(C2CCC2)[nH]n1,1,L0151.sdf,L0151.pdbqt
L0152,CHEMBL1081852,N[C@H](CNc1ncc(-c2ccc3[nH]c(=O)oc3c2)s1)Cc1ccc(C(F)(F)F)cc1,6.86,O=c1[nH]c2ccc(-c3cnc(NCCCc4ccccc4)s3)cc2o1,1,L0152.sdf,L0152.pdbqt
L0153,CHEMBL5845923,CCOP(=O)(OCC)C1(O)CCN(CCN2CCc3nc(Nc4ncc(F)c(-c5cc(F)c6nc(C)n(C(C)(C)C)c6c5)n4)ccc3C2)C1,7.22,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCN(CCN2CCCC2)C3)n1,2,L0153.sdf,L0153.pdbqt
L0154,CHEMBL5285495,C[C@@H](CO)Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,6.8,c1cc(OCC2CCCCC2)ncn1,1,L0154.sdf,L0154.pdbqt
L0155,CHEMBL5269468,C[C@@H](CO)Nc1nc(N)c(/[N+]([O-])=N/C#N)c(OCC2CCCCC2)n1,6.52,c1cc(OCC2CCCCC2)ncn1,1,L0155.sdf,L0155.pdbqt
L0156,CHEMBL303958,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,5.89,c1cc(OCC2CCCCC2)ncn1,3,L0156.sdf,L0156.pdbqt
L0157,CHEMBL365341,C[C@H](C(=O)Nc1cc(C2CC2)[nH]n1)c1ccc(N2CCCC2)cc1,7.1,O=C(Cc1ccc(N2CCCC2)cc1)Nc1cc(C2CC2)[nH]n1,2,L0157.sdf,L0157.pdbqt
L0158,CHEMBL271953,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(C(=O)NCc4cccnc4)cc32)cc1,8.68,O=C1Nc2ccc(C(=O)NCc3cccnc3)cc2/C1=N/Nc1ccccc1,3,L0158.sdf,L0158.pdbqt
L0159,CHEMBL5175160,CNS(=O)(=O)c1ccc(Nc2ncc3c(n2)N([C@H]2CCC[C@@H]2C)C(=O)C32CC2)cc1,6.64,O=C1N(C2CCCC2)c2nc(Nc3ccccc3)ncc2C12CC2,1,L0159.sdf,L0159.pdbqt
L0160,CHEMBL5190046,CNS(=O)(=O)c1ccc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@]2(C)O)C(=O)C32CC2)cc1,6.46,O=C1N(C2CCCC2)c2nc(Nc3ccccc3)ncc2C12CC2,1,L0160.sdf,L0160.pdbqt
L0161,CHEMBL5190067,[2H]C([2H])([2H])NS(=O)(=O)c1ccc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@]2(C)O)C(=O)C32CC2)cc1,6.13,O=C1N(C2CCCC2)c2nc(Nc3ccccc3)ncc2C12CC2,1,L0161.sdf,L0161.pdbqt
L0162,CHEMBL5169515,C[C@@H]1CCC[C@H]1N1C(=O)C2(CC2)c2cnc(Nc3ccc(S(=O)(=O)NCCO)cc3)nc21,6.11,O=C1N(C2CCCC2)c2nc(Nc3ccccc3)ncc2C12CC2,1,L0162.sdf,L0162.pdbqt
L0163,CHEMBL3354191,COC1CCN(c2nccc(Nc3cc4c(cn3)c(N)nn4C(C)C)n2)CC1,6.28,c1cc(Nc2cc3[nH]ncc3cn2)nc(N2CCCCC2)n1,1,L0163.sdf,L0163.pdbqt
L0164,CHEMBL150261,N[C@H]1CC[C@H](Nc2nc(NCc3ccccc3)c3ncn(C4CCCC4)c3n2)CC1,8.15,c1ccc(CNc2nc(NC3CCCCC3)nc3c2ncn3C2CCCC2)cc1,1,L0164.sdf,L0164.pdbqt
L0165,CHEMBL5201965,NCCCNCCCCNC(=O)c1ccc(CNc2nc(N[C@H]3CC[C@H](N)CC3)nc3c2ncn3C2CCCC2)cc1,7.6,c1ccc(CNc2nc(NC3CCCCC3)nc3c2ncn3C2CCCC2)cc1,1,L0165.sdf,L0165.pdbqt
L0166,CHEMBL5205172,NCCCCNC(=O)c1ccc(CNc2nc(N[C@H]3CC[C@H](N)CC3)nc3c2ncn3C2CCCC2)cc1,7.57,c1ccc(CNc2nc(NC3CCCCC3)nc3c2ncn3C2CCCC2)cc1,1,L0166.sdf,L0166.pdbqt
L0167,CHEMBL5774332,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CN(C)CCO4)C5)ncc3F)cc2n1C(C)(C)C,7.99,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCN(C[C@@H]2CNCCO2)C3)n1,2,L0167.sdf,L0167.pdbqt
L0168,CHEMBL5853767,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)C,7.21,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCN(C[C@@H]2CNCCO2)C3)n1,1,L0168.sdf,L0168.pdbqt
L0169,CHEMBL5811976,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)(C)C,7.21,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCN(C[C@@H]2CNCCO2)C3)n1,1,L0169.sdf,L0169.pdbqt
L0170,CHEMBL148580,COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)CN4CCN(C(=N)N)CC4)cccc2-3)cc1,7.89,O=C(CN1CCNCC1)Nc1cccc2c1C(=O)c1c-2n[nH]c1-c1ccccc1,1,L0170.sdf,L0170.pdbqt
L0171,CHEMBL223147,CCN1C(=O)C(C)(C)c2cc3[nH]c4c(c3cc21)CCCc1c(C)n[nH]c1-4,4.82,O=C1Cc2cc3[nH]c4c(c3cc2N1)CCCc1cn[nH]c1-4,1,L0171.sdf,L0171.pdbqt
L0172,CHEMBL550856,Sc1nn2c(Cc3ccccc3)nnc2s1,4.64,c1ccc(Cc2nnc3scnn23)cc1,1,L0172.sdf,L0172.pdbqt
L0173,CHEMBL557237,CCSc1nn2c(Cc3ccccc3)nnc2s1,4.62,c1ccc(Cc2nnc3scnn23)cc1,1,L0173.sdf,L0173.pdbqt
L0174,CHEMBL524266,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1,6.86,O=C1NCCc2[nH]c(-c3ccncn3)cc21,1,L0174.sdf,L0174.pdbqt
L0175,CHEMBL500804,O=C(NC1=NNC2=CC=CC21)C1CC1,8.3,O=C(NC1=NNC2=CC=CC21)C1CC1,1,L0175.sdf,L0175.pdbqt
L0176,CHEMBL186396,CN1CCN(CCOc2cc(F)c(C(=O)c3c(N)nc4ccc(C(=O)c5c(Cl)cccc5Cl)cn34)c(F)c2)CC1,6.09,O=C(c1ccccc1)c1ccc2ncc(C(=O)c3ccc(OCCN4CCNCC4)cc3)n2c1,1,L0176.sdf,L0176.pdbqt
L0177,CHEMBL1082016,Cn1c(=O)[nH]c2ccc(-c3cnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)cc21,6.56,O=c1[nH]c2ccc(-c3cnc(NCCCc4ccccc4)s3)cc2[nH]1,1,L0177.sdf,L0177.pdbqt
L0178,CHEMBL186163,Nc1nc2ccc(C(=O)c3c(F)cccc3F)cn2c1C(=S)c1c(F)cccc1F,7.58,O=C(c1ccccc1)c1ccc2ncc(C(=S)c3ccccc3)n2c1,1,L0178.sdf,L0178.pdbqt
L0179,CHEMBL185971,COc1cc(F)c(C(=S)c2c(N)nc3ccc(C(=O)c4c(F)cccc4F)cn23)c(F)c1,7.54,O=C(c1ccccc1)c1ccc2ncc(C(=S)c3ccccc3)n2c1,1,L0179.sdf,L0179.pdbqt
L0180,CHEMBL365046,Nc1nc2ccc(C(=O)c3c(F)cccc3F)cn2c1C(=S)c1ccccc1,6.67,O=C(c1ccccc1)c1ccc2ncc(C(=S)c3ccccc3)n2c1,1,L0180.sdf,L0180.pdbqt
L0181,CHEMBL188074,COc1cccc(OC)c1C(=S)c1c(N)nc2ccc(C(=O)c3c(F)cccc3F)cn12,6.33,O=C(c1ccccc1)c1ccc2ncc(C(=S)c3ccccc3)n2c1,1,L0181.sdf,L0181.pdbqt
L0182,CHEMBL259850,COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,4.0,O=C(NCc1ccccc1)Nc1nccs1,1,L0182.sdf,L0182.pdbqt
L0183,CHEMBL57325,O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1[nH]cc2c1CCNC2=O,5.24,O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1[nH]cc2c1CCNC2=O,1,L0183.sdf,L0183.pdbqt
L0184,CHEMBL2386747,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4Cl)c3c2s1,7.05,c1ccc(Nc2ncnc3ccc4ncsc4c23)cc1,1,L0184.sdf,L0184.pdbqt
L0185,CHEMBL2163991,N[C@H]1CC[C@H](Nc2nc3ccnn3c(Nc3ccc(F)c(Cl)c3)c2-c2ccccc2)CC1,5.22,c1ccc(Nc2c(-c3ccccc3)c(NC3CCCCC3)nc3ccnn23)cc1,1,L0185.sdf,L0185.pdbqt
L0186,CHEMBL515001,Cc1ncc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)n1C(C)C,8.1,c1cc(-c2cnc[nH]2)nc(Nc2ccc(N3CCOCC3)cc2)n1,1,L0186.sdf,L0186.pdbqt
L0187,CHEMBL514690,Cc1ncc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)n1C(C)C,8.05,c1cc(-c2cnc[nH]2)nc(Nc2ccc(N3CCOCC3)cc2)n1,1,L0187.sdf,L0187.pdbqt
L0188,CHEMBL6150020,Clc1cnc2[nH]c(C3CCNCC3)nc2c1-c1cnn(CC2CC2)c1,5.87,c1cc(-c2cnn(CC3CC3)c2)c2nc(C3CCNCC3)[nH]c2n1,1,L0188.sdf,L0188.pdbqt
L0189,CHEMBL1081831,N[C@H](CNc1ncc(-c2ccc3c(c2)CC(=O)N3)s1)Cc1ccc(C(F)(F)F)cc1,6.73,O=C1Cc2cc(-c3cnc(NCCCc4ccccc4)s3)ccc2N1,1,L0189.sdf,L0189.pdbqt
L0190,CHEMBL50894,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,7.82,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,1,L0190.sdf,L0190.pdbqt
L0191,CHEMBL1800456,Nc1nc(-c2cc(N3C[C@H](O)[C@@H](O)C3)ccc2O)cc(C2CCCCC2)n1,7.28,c1cc(-c2cc(C3CCCCC3)ncn2)cc(N2CCCC2)c1,1,L0191.sdf,L0191.pdbqt
L0192,CHEMBL391229,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc2c(c1)CS(=O)(=O)C2,7.85,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc2c(c1)CS(=O)(=O)C2,1,L0192.sdf,L0192.pdbqt
L0193,CHEMBL2011928,COc1ccc(-c2nc3c(NCCCNC(C)=O)c(Br)cnc3[nH]2)cc1,6.43,c1ccc(-c2nc3cccnc3[nH]2)cc1,1,L0193.sdf,L0193.pdbqt
L0194,CHEMBL232939,Cc1cc(N2C(=O)CCCC2=O)c2oc(-c3ccc(O)c(O)c3)c(O)c(=O)c2c1,5.36,O=C1CCCC(=O)N1c1cccc2c(=O)cc(-c3ccccc3)oc12,1,L0194.sdf,L0194.pdbqt
L0195,CHEMBL482193,CC[C@H](CO)Nc1nc(NCc2ccccc2)n2ncc(C(C)C)c2n1,7.4,c1ccc(CNc2ncnc3ccnn23)cc1,1,L0195.sdf,L0195.pdbqt
L0196,CHEMBL480442,CC(C)c1cnn2c(NCc3ccc(Cl)cc3)nc(N[C@@H](CO)C(C)C)nc12,7.22,c1ccc(CNc2ncnc3ccnn23)cc1,1,L0196.sdf,L0196.pdbqt
L0197,CHEMBL5542924,CCC(=O)Nc1ccc(CNc2nc(N[C@H](CC)CO)nc3c(C(C)C)cnn23)cc1,6.99,c1ccc(CNc2ncnc3ccnn23)cc1,1,L0197.sdf,L0197.pdbqt
L0198,CHEMBL5542666,CCC(=O)Nc1ccc(CNc2nc(N[C@@H](CC)CO)nc3c(C(C)C)cnn23)cc1,6.76,c1ccc(CNc2ncnc3ccnn23)cc1,1,L0198.sdf,L0198.pdbqt
L0199,CHEMBL5555560,CCC(=O)Nc1ccc(CNc2nc(NC(CO)CO)nc3c(C(C)C)cnn23)cc1,6.68,c1ccc(CNc2ncnc3ccnn23)cc1,1,L0199.sdf,L0199.pdbqt
L0200,CHEMBL5532122,CC[C@H](CO)Nc1nc(NCc2ccc(NC(C)=O)cc2)n2ncc(C(C)C)c2n1,6.5,c1ccc(CNc2ncnc3ccnn23)cc1,1,L0200.sdf,L0200.pdbqt
L0201,CHEMBL5531956,CC[C@@H](CO)Nc1nc(NCc2ccc(NC(C)=O)cc2)n2ncc(C(C)C)c2n1,6.45,c1ccc(CNc2ncnc3ccnn23)cc1,1,L0201.sdf,L0201.pdbqt
L0202,CHEMBL5542095,CC(=O)Nc1ccc(CNc2nc(NC(CO)CO)nc3c(C(C)C)cnn23)cc1,6.15,c1ccc(CNc2ncnc3ccnn23)cc1,1,L0202.sdf,L0202.pdbqt
L0203,CHEMBL5287479,Cc1ccc(S(=O)(=O)Nc2ccc(-c3ccnc(Nc4ccc(S(=O)(=O)Nc5cc(C)no5)cc4)c3C#N)cc2)cc1,5.6,O=S(=O)(Nc1ccc(-c2ccnc(Nc3ccc(S(=O)(=O)Nc4ccno4)cc3)c2)cc1)c1ccccc1,1,L0203.sdf,L0203.pdbqt
L0204,CHEMBL454645,CC1CCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CN1,7.85,O=C(Nc1ncc(SCc2ncco2)s1)C1CCCNC1,1,L0204.sdf,L0204.pdbqt
L0205,CHEMBL297570,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCCNC3)s2)o1,7.7,O=C(Nc1ncc(SCc2ncco2)s1)C1CCCNC1,1,L0205.sdf,L0205.pdbqt
L0206,CHEMBL508506,CC1NCCCC1C(=O)Nc1ncc(SCc2ncc(C(C)(C)C)o2)s1,7.02,O=C(Nc1ncc(SCc2ncco2)s1)C1CCCNC1,1,L0206.sdf,L0206.pdbqt
L0207,CHEMBL454646,CC1CNCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)C1,6.85,O=C(Nc1ncc(SCc2ncco2)s1)C1CCCNC1,1,L0207.sdf,L0207.pdbqt
L0208,CHEMBL5527848,CC(C)c1cnn2c(NCc3ccc(NC(=O)C4(F)CC4)cc3)nc(NC3CCOCC3)nc12,6.09,O=C(Nc1ccc(CNc2nc(NC3CCOCC3)nc3ccnn23)cc1)C1CC1,1,L0208.sdf,L0208.pdbqt
L0209,CHEMBL3421962,CN1CCN(c2ccc(Nc3cc(-c4c[nH]c5cnccc45)ncn3)cc2)CC1,6.24,c1cc2c(-c3cc(Nc4ccc(N5CCNCC5)cc4)ncn3)c[nH]c2cn1,1,L0209.sdf,L0209.pdbqt
L0210,CHEMBL3421963,COc1cc(N2CCN(C)CC2)ccc1Nc1cc(-c2c[nH]c3cnccc23)ncn1,4.91,c1cc2c(-c3cc(Nc4ccc(N5CCNCC5)cc4)ncn3)c[nH]c2cn1,1,L0210.sdf,L0210.pdbqt
L0211,CHEMBL3421964,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1cc(-c2c[nH]c3cnccc23)ncn1,4.85,c1cc2c(-c3cc(Nc4ccc(N5CCNCC5)cc4)ncn3)c[nH]c2cn1,1,L0211.sdf,L0211.pdbqt
L0212,CHEMBL3421965,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1cc(-c2cn(C)c3cnccc23)ncn1,4.83,c1cc2c(-c3cc(Nc4ccc(N5CCNCC5)cc4)ncn3)c[nH]c2cn1,1,L0212.sdf,L0212.pdbqt
L0213,CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,6.77,O=c1cc(-c2ccccc2)oc2c(C3CCNCC3)cccc12,20,L0213.sdf,L0213.pdbqt
L0214,CHEMBL8817,CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1,6.77,O=c1cc(-c2ccccc2)oc2c(C3CCNCC3)cccc12,1,L0214.sdf,L0214.pdbqt
L0215,CHEMBL418203,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1,6.66,O=c1cc(-c2ccccc2)oc2c(C3CCNCC3)cccc12,1,L0215.sdf,L0215.pdbqt
L0216,CHEMBL3898028,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4)oc23)[C@H](O)C1,5.62,O=c1cc(-c2ccccc2)oc2c(C3CCNCC3)cccc12,1,L0216.sdf,L0216.pdbqt
L0217,CHEMBL84140,CC(C)n1cnc2c(N)nc(NCCCO)nc21,5.62,c1ncc2nc[nH]c2n1,1,L0217.sdf,L0217.pdbqt
L0218,CHEMBL259244,CCC(C)Oc1nc(N)nc2[nH]cnc12,4.31,c1ncc2nc[nH]c2n1,1,L0218.sdf,L0218.pdbqt
