Interacting Partner,Gene Name,Protein Name,Subcellular Locality,AF_Score,RF_Score,DCA_Score,confident,Function,pdb
Q8N697,SLC15A4,Solute carrier family 15 member 4,"Endosome, Lysosome, Membrane",0.03436,0.2253,0.069,Not confident,"Immunity, Innate immunity, Peptide transport, Protein transport, Symport, Transport",none
Q9BXS9,SLC26A6,Solute carrier family 26 member 6,"Cell membrane, Cytoplasmic vesicle, Endoplasmic reticulum, Membrane, Microsome",0.03406,0.3376,0.122,Not confident,"Anion exchange, Antiport, Chloride channel, Ion channel, Ion transport, Transferase, Transport",none
P00846,MT-ATP6,ATP synthase subunit a,"CF(0), Membrane, Mitochondrion, Mitochondrion inner membrane",0.03363,0.0654,0.115,Not confident,"ATP synthesis, Hydrogen ion transport, Ion transport, Transport",none
Q9NY84,NA,Vascular non-inflammatory molecule 3,Secreted,0.03308,0.3562,0.13,Not confident,Hydrolase,none
P49683,PRLHR,Prolactin-releasing peptide receptor,"Cell membrane, Membrane",0.03278,0.3442,0.104,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
P04118,CLPS,Colipase,Secreted,0.03268,0.1525,0.049,Not confident,"Digestion, Lipid degradation, Lipid metabolism",none
Q9NWU5,MRPL22,Large ribosomal subunit protein uL22m,Mitochondrion,0.03232,0.06122,0.151,Not confident,"Ribonucleoprotein, Ribosomal protein",none
O95473,SYNGR4,Synaptogyrin-4,Membrane,0.0317,0.02687,0.105,Not confident,NA,none
P08034,GJB1,Gap junction beta-1 protein,"Cell junction, Cell membrane, Gap junction, Membrane",0.03165,0.04947,0.046,Not confident,NA,none
O95197,RTN3,Reticulon-3,"Endoplasmic reticulum, Golgi apparatus, Membrane",0.0313,0.03528,0.132,Not confident,"Apoptosis, ER-Golgi transport, Host-virus interaction, Stress response, Transport",none
P50148,GNAQ,Guanine nucleotide-binding protein G(q) subunit alpha,"Cell membrane, Golgi apparatus, Membrane, Nucleus",0.03125,0.0901,0.117,Not confident,Transducer,none
P35858,IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit,Secreted,0.03078,0.3188,0.106,Not confident,Cell adhesion,none
P01009,SERPINA1,Alpha-1-antitrypsin,"Endoplasmic reticulum, Extracellular matrix, Secreted",0.03064,0.1652,0.131,Not confident,"Acute phase, Blood coagulation, Hemostasis, Protease inhibitor, Serine protease inhibitor",none
Q07627,KRTAP1-1,Keratin-associated protein 1-1,Keratin,0.03023,0.04337,0.011,Not confident,NA,none
P21549,AGXT,Alanine--glyoxylate aminotransferase,Peroxisome,0.03001,0.09607,0.13,Not confident,"Aminotransferase, Transferase",none
P63215,GNG3,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3,"Cell membrane, Membrane",0.02972,0.00839,0.094,Not confident,Transducer,none
Q15125,EBP,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase","Cytoplasmic vesicle, Endoplasmic reticulum, Membrane, Nucleus",0.02917,0.05017,0.068,Not confident,"Cholesterol biosynthesis, Cholesterol metabolism, Isomerase, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism",none
P62873,GNB1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,NA,0.02869,0.0643,0.096,Not confident,"Host-virus interaction, Transducer",none
Q8IUG1,KRTAP1-3,Keratin-associated protein 1-3,Keratin,0.0278,0.03183,0.01,Not confident,NA,none
Q8N4V2,SVOP,Synaptic vesicle 2-related protein,"Cytoplasmic vesicle, Membrane, Synapse",0.02704,0.1747,0.096,Not confident,Transport,none
Q9P2W3,GNG13,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13,"Cell membrane, Membrane",0.027,0.0184,0.122,Not confident,Transducer,none
Q9Y6C9,MTCH2,Mitochondrial carrier homolog 2,"Membrane, Mitochondrion, Mitochondrion outer membrane",0.02693,0.1569,0.123,Not confident,Transport,none
P02768,ALB,Albumin,Secreted,0.0268,0.1227,0.039,Not confident,NA,none
Q9P2S2,NRXN2,Neurexin-2,"Cell membrane, Cell projection, Membrane, Synapse",0.02654,0.3186,0.123,Not confident,Cell adhesion,none
O43613,HCRTR1,Orexin/Hypocretin receptor type 1,"Cell membrane, Membrane",0.02623,0.2915,0.106,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
P08833,IGFBP1,Insulin-like growth factor-binding protein 1,Secreted,0.02582,0.3418,0.099,Not confident,Growth factor binding,none
P09681,GIP,Gastric inhibitory polypeptide,Secreted,0.02553,0.08997,0.02,Not confident,Hormone,none
A8MQ03,CYSRT1,Cysteine-rich tail protein 1,NA,0.02536,0.05804,0.012,Not confident,NA,none
Q96CW1,AP2M1,AP-2 complex subunit mu,"Cell membrane, Coated pit, Membrane",0.02524,0.0715,0.078,Not confident,"Endocytosis, Protein transport, Transport",none
Q15012,LAPTM4A,Lysosomal-associated transmembrane protein 4A,Membrane,0.02457,0.2144,0.078,Not confident,Transport,none
O43761,SYNGR3,Synaptogyrin-3,"Cytoplasmic vesicle, Membrane, Synapse",0.02419,0.71,0.131,Not confident,NA,none
P0DPK4,NOTCH2NLC,Notch homolog 2 N-terminal-like protein C,Secreted,0.02406,0.04135,0.209,Not confident,Notch signaling pathway,none
Q9UBU3,GHRL,Appetite-regulating hormone,Secreted,0.02405,0.06024,0.015,Not confident,Hormone,none
O75899,GABBR2,Gamma-aminobutyric acid type B receptor subunit 2,"Cell membrane, Membrane, Postsynaptic cell membrane, Synapse",0.02396,0.1854,0.075,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
P51693,APLP1,Amyloid beta precursor like protein 1,"Cell membrane, Cytoplasm, Membrane",0.02391,0.162,0.074,Not confident,"Apoptosis, Cell adhesion, Endocytosis, Heparin-binding",none
Q9Y224,RTRAF,"RNA transcription, translation and transport factor protein","Cytoplasm, Cytoskeleton, Nucleus",0.02376,0.0877,0.125,Not confident,"Host-virus interaction, RNA-binding, Transcription, Transcription regulation",none
Q8N5M9,JAGN1,Protein jagunal homolog 1,"Endoplasmic reticulum, Membrane",0.02362,0.732,0.152,Not confident,"Immunity, Protein transport, Transport",none
O95471,CLDN7,Claudin-7,"Cell junction, Cell membrane, Membrane, Tight junction",0.0235,0.0854,0.077,Not confident,NA,none
O75556,SCGB2A1,Mammaglobin-B,Secreted,0.02316,0.03888,0.01,Not confident,NA,none
Q9NSA1,FGF21,Fibroblast growth factor 21,Secreted,0.02284,0.0721,0.078,Not confident,Growth factor,none
Q4G176,ACSF3,"Malonate--CoA ligase ACSF3, mitochondrial",Mitochondrion,0.02272,0.1888,0.126,Not confident,"Fatty acid metabolism, Ligase, Lipid metabolism",none
O43772,SLC25A20,Mitochondrial carnitine/acylcarnitine carrier protein,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.02225,0.3362,0.146,Not confident,"Lipid transport, Transport",none
Q9NQC3,RTN4,Reticulon-4,"Cell junction, Cell membrane, Endoplasmic reticulum, Membrane, Synapse",0.02145,0.1276,0.12,Not confident,Neurogenesis,none
Q01628,IFITM3,Interferon-induced transmembrane protein 3,"Cell membrane, Cytoplasm, Endosome, Lysosome, Membrane",0.02144,0.1509,0.077,Not confident,"Antiviral defense, Immunity, Innate immunity",none
P09683,SCT,Secretin,Secreted,0.02095,0.03757,0.011,Not confident,Hormone,none
P10082,PYY,Peptide YY,Secreted,0.02092,0.01223,0.067,Not confident,Hormone,none
P0DJI8,SAA1,Serum amyloid A-1 protein,"Amyloid, HDL, Secreted",0.02022,0.0675,0.075,Not confident,"Acute phase, Heparin-binding",none
P26371,KRTAP5-9,Keratin-associated protein 5-9,Keratin,0.02016,0.02286,0.008,Not confident,NA,none
P46695,IER3,Radiation-inducible immediate-early gene IEX-1,Membrane,0.01979,0.05075,0.046,Not confident,NA,none
P03901,MT-ND4L,NADH-ubiquinone oxidoreductase chain 4L,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.01956,0.01067,0.087,Not confident,"Electron transport, Respiratory chain, Translocase, Transport",none
O15432,SLC31A2,Protein SLC31A2,"Cytoplasmic vesicle, Endosome, Lysosome, Membrane",0.01881,0.02943,0.151,Not confident,"Copper transport, Ion transport, Transport",none
Q9NP78,ABCB9,ABC-type oligopeptide transporter ABCB9,"Lysosome, Membrane",0.01799,0.3403,0.121,Not confident,"Peptide transport, Protein transport, Translocase, Transport",none
Q9UBI6,GNG12,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,"Cell membrane, Membrane",0.01714,0.000788,0.143,Not confident,Transducer,none
Q8NER1,TRPV1,Transient receptor potential cation channel subfamily V member 1,"Cell membrane, Cell projection, Membrane, Postsynaptic cell membrane, Synapse",0.01671,0.306,0.081,Not confident,"Calcium channel, Calcium transport, Calmodulin-binding, Ion channel, Ion transport, Transport",none
Q6N075,MFSD5,Molybdate-anion transporter,"Cell membrane, Membrane",0.01654,0.11084,0.081,Not confident,"Ion transport, Transport",none
Q96DM1,PGBD4,PiggyBac transposable element-derived protein 4,NA,0.01628,0.1542,0.122,Not confident,NA,none
Q9Y394,DHRS7,Dehydrogenase/reductase SDR family member 7,"Endoplasmic reticulum, Membrane",0.01627,0.1445,0.198,Not confident,Oxidoreductase,none
P59768,GNG2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,"Cell membrane, Membrane",0.016,0.002583,0.123,Not confident,"Host-virus interaction, Transducer",none
Q8TF66,LRRC15,Leucine-rich repeat-containing protein 15,"Cell membrane, Membrane",0.0159,0.3374,0.142,Not confident,NA,none
Q8IVN8,SBSPON,Somatomedin-B and thrombospondin type-1 domain-containing protein,"Extracellular matrix, Secreted",0.01567,-,0.106,Not confident,NA,none
P05156,CFI,Complement factor I,Secreted,0.015396,0.1985,0.12,Not confident,"Complement pathway, Host-virus interaction, Hydrolase, Immunity, Innate immunity, Protease, Serine protease",none
P60369,KRTAP10-3,Keratin-associated protein 10-3,Keratin,0.015015,0.00985,0.016,Not confident,NA,none
P01282,VIP,VIP peptides,Secreted,0.014694,0.02992,0.046,Not confident,Hormone,none
P01189,POMC,Pro-opiomelanocortin,Secreted,0.014305,0.0776,0.065,Not confident,"Endorphin, Hormone",none
P48201,ATP5MC3,"ATP synthase F(0) complex subunit C3, mitochondrial","CF(0), Membrane, Mitochondrion",0.01206,0.00897,0.135,Not confident,"Hydrogen ion transport, Ion transport, Transport",none
Q15067,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,Peroxisome,0.01204,0.264,0.109,Not confident,"Fatty acid metabolism, Lipid metabolism, Oxidoreductase",none
P55089,UCN,Urocortin,Secreted,0.01154,0.00223,0.054,Not confident,"Hearing, Hormone",none
Q7Z3S9,NOTCH2NLA,Notch homolog 2 N-terminal-like protein A,"Cytoplasm, Secreted",0.01136,0.0753,0.189,Not confident,"Developmental protein, Differentiation, Notch signaling pathway",none
P25705,ATP5F1A,"ATP synthase subunit alpha, mitochondrial","Cell membrane, CF(1), Membrane, Mitochondrion, Mitochondrion inner membrane",0.010864,0.0864,0.092,Not confident,"ATP synthesis, Hydrogen ion transport, Ion transport, Transport",none
P60410,KRTAP10-8,Keratin-associated protein 10-8,Keratin,0.01057,0.01862,0.019,Not confident,NA,none
P16949,STMN1,Stathmin,"Cytoplasm, Cytoskeleton, Microtubule",0.01035,0.04633,0.091,Not confident,"Developmental protein, Differentiation, Neurogenesis",none
P0C6T2,OST4,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4,"Endoplasmic reticulum, Membrane",0.010345,0.01036,0.095,Not confident,NA,none
P0DP25,CALM3,Calmodulin-3,"Cytoplasm, Cytoskeleton",0.010185,0.0797,0.057,Not confident,NA,none
P06850,CRH,Corticoliberin,Secreted,0.0101,0.005917,0.05,Not confident,Hormone,none
O14610,GNGT2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2,"Cell membrane, Membrane",0.008835,0.00229,0.108,Not confident,Transducer,none
O43676,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.00865,0.3518,0.162,Not confident,"Electron transport, Respiratory chain, Transport",none
P01270,PTH,Parathyroid hormone,Secreted,0.00807,0.02527,0.063,Not confident,Hormone,none
P69849,NOMO3,BOS complex subunit NOMO3,"Endoplasmic reticulum, Membrane",0.008064,0.3325,0.125,Not confident,NA,none
Q9NPA0,EMC7,Endoplasmic reticulum membrane protein complex subunit 7,"Endoplasmic reticulum, Membrane",0.00802,0.0762,0.128,Not confident,NA,none
Q9UK08,GNG8,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8,"Cell membrane, Membrane",0.007736,0.00187,0.095,Not confident,Transducer,none
S4R460,NA,Immunoglobulin heavy variable 3/OR16-9 (non-functional),NA,0.007175,0.01701,0.079,Not confident,NA,none
A0A075B6W5,TRAV23DV6,T cell receptor alpha variable 23/delta variable 6,"Cell membrane, Membrane, T cell receptor",0.00629,0.04672,0.085,Not confident,"Adaptive immunity, Immunity, Receptor",none
Q969E3,UCN3,Urocortin-3,Secreted,0.006054,0.009766,0.054,Not confident,Hormone,none
P55259,GP2,Pancreatic secretory granule membrane major glycoprotein GP2,"Cell membrane, Cytoplasmic vesicle, Endosome, Membrane, Secreted",0.00576,0.1026,0.054,Not confident,"Immunity, Innate immunity, Receptor",none
P30040,ERP29,Endoplasmic reticulum resident protein 29,Endoplasmic reticulum,0.00518,0.1138,0.123,Not confident,NA,none
P61952,GNG11,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11,"Cell membrane, Membrane",0.004944,0.0001366,0.113,Not confident,Transducer,none
P60411,KRTAP10-9,Keratin-associated protein 10-9,Keratin,0.001287,0.00493,0.021,Not confident,NA,none
Q5T1A1,DCST2,DC-STAMP domain-containing protein 2,"Cytoplasmic vesicle, Membrane",0.0,0.3647,0.123,Not confident,NA,none
Q9UJZ1,STOML2,"Stomatin-like protein 2, mitochondrial","Cell membrane, Cytoplasm, Cytoskeleton, Membrane, Mitochondrion, Mitochondrion inner membrane",0.0,0.073,0.135,Not confident,NA,none
Q9BYP8,KRTAP17-1,Keratin-associated protein 17-1,Keratin,0.0,0.04684,0.01,Not confident,NA,none
P50150,GNG4,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4,"Cell membrane, Membrane",0.0,0.02997,0.122,Not confident,Transducer,none
Q03135,CAV1,Caveolin-1,"Cell membrane, Golgi apparatus, Membrane",0.0,0.014534,0.103,Not confident,Host-virus interaction,none
P63211,GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,"Cell membrane, Membrane",0.0,0.00429,0.099,Not confident,Transducer,none
O60262,GNG7,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7,"Cell membrane, Membrane",0.0,0.002762,0.119,Not confident,Transducer,none
P63218,GNG5,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,"Cell membrane, Membrane",0.0,0.00129,0.093,Not confident,Transducer,none
P50151,GNG10,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10,"Cell membrane, Membrane",0.0,0.0003455,0.1,Not confident,Transducer,none
