smiles,pred_delivery,head,linker,tail,n_tails,mw
CCCCCCCC/C=C\C/C=C\CCCCCNC(=O)CCN(CCC(=O)NCCCCC/C=C\C/C=C\CCCCCCCC)CCN1CCN(CCO)CC1,0.2213810959757556,H9_PZE,amide,T12_linoleyl,2,812.3
CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCN1CCN(C)CC1,0.220892973178761,H3_MPZ,ester,T10_C12i,2,652.1
CCCCCCOC(=O)CCN(CCCN(CCC(=O)OCCCCCC)CCC(=O)OCCCCCC)CCC(=O)OCCCCCC,0.2208873773889389,H6_DAP,ester,T1_C6,4,699.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(C)C,0.2208374254431448,H1_DMAEA,ester,T4_C12,2,568.9
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN(C)C,0.2193306931145552,H1_DMAEA,amide,T3_C10,2,510.9
CCN(CC)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.219031479494382,H2_DEAEA,amide,T10_C12i,2,623.1
CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(CC)CC,0.2186479921075949,H2_DEAEA,ester,T16_C11,2,568.9
CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN1CCN(C)CC1,0.2163516088728535,H3_MPZ,ester,T16_C11,2,596.0
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN1CCN(C)CC1,0.2161782272803553,H3_MPZ,amide,T4_C12,2,622.0
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCN1CCN(C)CC1,0.2159323933934589,H3_MPZ,amide,T10_C12i,2,650.1
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCCCCCCCC,0.2159052347695579,H10_DMPDA,ester,T7_C18,2,751.3
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCCCCCCCC,0.2157926890805444,H10_DMPDA,amide,T7_C18,2,749.3
CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)CCN(C)C,0.2154779478760481,H1_DMAEA,ester,T16_C11,2,540.9
CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN1CCN(CCC(=O)NCCCCCC)CC1,0.2135389334593692,H4_AEPZ,amide,T1_C6,3,594.9
CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(CC)CC,0.2128894849207235,H2_DEAEA,ester,T3_C10,2,540.9
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CC)CC,0.2125605638090341,H2_DEAEA,amide,T4_C12,2,595.0
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(C)C,0.2122343087542756,H1_DMAEA,amide,T13_C9,2,482.8
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN1CCN(C)CC1,0.2098951660679879,H3_MPZ,amide,T16_C11,2,594.0
CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN1CCN(C)CC1,0.2088589634903815,H3_MPZ,ester,T3_C10,2,567.9
CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(C)C,0.2087964869364777,H1_DMAEA,ester,T3_C10,2,512.8
CCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCC)CCC(=O)NCCCCCC,0.2085113067368531,H7_MePr,amide,T1_C6,3,553.9
CCCCCCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCCCCCC,0.2078274484854008,H10_DMPDA,ester,T6_C16,2,695.2
CCCCCCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCCCCCC,0.2077841470332696,H10_DMPDA,amide,T6_C16,2,693.2
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)CCN(CC)CC,0.2073813527067299,H2_DEAEA,amide,T16_C11,2,567.0
CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN(CC)CC,0.2062976005643,H2_DEAEA,ester,T13_C9,2,512.8
CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN(C)C,0.2022754581700266,H1_DMAEA,amide,T2_C8,2,454.7
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN1CCN(C)CC1,0.2019271861725912,H3_MPZ,amide,T3_C10,2,565.9
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)CCN(CC)CC,0.2018503685761852,H2_DEAEA,amide,T3_C10,2,538.9
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN(C)C,0.2011179646507266,H1_DMAEA,amide,T14_thioC8,2,575.0
CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN1CCN(C)CC1,0.2010298382853608,H3_MPZ,ester,T13_C9,2,539.8
CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)CCN(C)C,0.2009243971986083,H1_DMAEA,ester,T13_C9,2,484.8
CC(C)CCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.2008293420149549,H10_DMPDA,amide,T10_C12i,2,609.0
CC(C)CCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.200127978609478,H10_DMPDA,ester,T10_C12i,2,611.0
CCCCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCCCC,0.1987247537439327,H10_DMPDA,amide,T5_C14,2,637.1
CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN(CC)CC,0.1981358774328115,H2_DEAEA,ester,T14_thioC8,2,605.0
CCCCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCCCC,0.1981255354757057,H10_DMPDA,ester,T5_C14,2,639.1
CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN1CCN(CCC(=O)OCCCCCC)CC1,0.1968027317780225,H4_AEPZ,ester,T1_C6,3,597.9
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN(CC)CC,0.1952599783835362,H2_DEAEA,amide,T13_C9,2,510.9
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)CCN1CCN(C)CC1,0.1937552968679703,H3_MPZ,amide,T13_C9,2,537.9
CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN1CCN(C)CC1,0.192057135792273,H3_MPZ,ester,T14_thioC8,2,632.0
CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)CCN(C)C,0.1907065289294527,H1_DMAEA,ester,T14_thioC8,2,577.0
CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN(CC)CC,0.1907043316297844,H2_DEAEA,ester,T2_C8,2,484.8
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN(CC)CC,0.1883448712458965,H2_DEAEA,amide,T14_thioC8,2,603.0
CCCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCCC,0.18830763434085,H10_DMPDA,ester,T4_C12,2,583.0
CCCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCCC,0.1877846477224508,H10_DMPDA,amide,T4_C12,2,581.0
CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN(C)C,0.1871120982399584,H1_DMAEA,ester,T2_C8,2,456.7
CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN(CC)CC,0.1849945605495573,H2_DEAEA,amide,T2_C8,2,482.8
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)CCN1CCN(C)CC1,0.1847910320056091,H3_MPZ,amide,T14_thioC8,2,630.1
CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)CCN1CCN(C)CC1,0.1845970397422215,H3_MPZ,ester,T2_C8,2,511.8
CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)CCN1CCN(C)CC1,0.1829531226710038,H3_MPZ,amide,T2_C8,2,509.8
CCCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCCC,0.1826078243524528,H10_DMPDA,ester,T16_C11,2,554.9
CCCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCCC,0.1822252744801909,H10_DMPDA,amide,T16_C11,2,552.9
CCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCC)CCC(=O)OCCCCCC,0.1766403100211268,H7_MePr,ester,T1_C6,3,556.8
CCCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCCC,0.1763912680767146,H10_DMPDA,ester,T3_C10,2,526.8
CCCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCCC,0.1759351965575492,H10_DMPDA,amide,T3_C10,2,524.9
CCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCC,0.1694707848792197,H10_DMPDA,amide,T13_C9,2,496.8
CCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCC,0.1692428956062815,H10_DMPDA,ester,T13_C9,2,498.8
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCCCC,0.1644528995185666,H8_AEEA,amide,T7_C18,3,1074.8
CCSCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCSCC,0.1627307732278196,H10_DMPDA,amide,T14_thioC8,2,589.0
CCSCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCSCC,0.1615030833084476,H10_DMPDA,ester,T14_thioC8,2,591.0
CCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCC,0.1603917770281765,H10_DMPDA,amide,T2_C8,2,468.8
CCCCCCCCCCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCCCC,0.1590649742450968,H8_AEEA,ester,T7_C18,3,1077.8
CCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCC,0.1564604710021932,H10_DMPDA,ester,T2_C8,2,470.7
CCCCCCCCCCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCC,0.147958825612009,H8_AEEA,amide,T6_C16,3,990.7
CCCCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCCCC)Cc1ccc(CN(CCC(=O)NCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCC)cc1,0.1435941388481023,H13_MXA,amide,T6_C16,4,1318.2
CCCCCCCCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC,0.1426946962018548,H8_AEEA,ester,T6_C16,3,993.6
CCCCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCCCC)Cc1ccc(CN(CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC)cc1,0.1396364359287698,H13_MXA,amide,T5_C14,4,1206.0
CCCCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCCCC)Cc1ccc(CN(CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC)cc1,0.138921800833296,H13_MXA,ester,T6_C16,4,1322.2
CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN1CCN(C)CC1,0.1361787798192988,H3_MPZ,amide,T1_C6,2,453.7
CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN(C)C,0.1351240466811558,H1_DMAEA,ester,T1_C6,2,400.6
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)Cc1ccc(CN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)cc1,0.1322846667523687,H13_MXA,ester,T5_C14,4,1210.0
CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN1CCN(C)CC1,0.1316685878713532,H3_MPZ,ester,T1_C6,2,455.7
CCCCCCOC(=O)CCN(CCC(=O)OCCCCCC)CCN(CC)CC,0.1309163130325603,H2_DEAEA,ester,T1_C6,2,428.7
CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)CCN(CC)CC,0.1307473040664021,H2_DEAEA,amide,T1_C6,2,426.7
CCCCCCCCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC,0.1293570359445679,H8_AEEA,amide,T5_C14,3,906.5
CC(C)CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC(C)C)Cc1ccc(CN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C)cc1,0.126568450259781,H13_MXA,amide,T10_C12i,4,1149.9
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)Cc1ccc(CN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)cc1,0.1255795115980411,H13_MXA,amide,T4_C12,4,1093.8
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCC(=O)NCCCCCCCC/C=C\CCCCCCCC,0.1245006228122105,H5_bAE,amide,T11_oleyl,4,1390.3
CCCCCCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,0.121548316329134,H8_AEEA,ester,T5_C14,3,909.5
CCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCC)Cc1ccc(CN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC)cc1,0.1169739119605466,H13_MXA,amide,T16_C11,4,1037.7
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)Cc1ccc(CN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)cc1,0.1158553545913699,H13_MXA,ester,T4_C12,4,1097.7
CCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCC,0.1152329914333029,H10_DMPDA,amide,T1_C6,2,412.7
CCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCC,0.1124498477273614,H10_DMPDA,ester,T1_C6,2,414.6
CC(C)CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC(C)C)Cc1ccc(CN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C)cc1,0.1123989948887032,H13_MXA,ester,T10_C12i,4,1153.9
CC(C)CCCCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.1100639831257921,H8_AEEA,amide,T10_C12i,3,864.4
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCC(=O)OCCCCCCCC/C=C\CCCCCCCC,0.1092005322481123,H5_bAE,ester,T11_oleyl,4,1394.3
CCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCC)Cc1ccc(CN(CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC)cc1,0.108500604411752,H13_MXA,amide,T3_C10,4,981.6
CCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCC)Cc1ccc(CN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC)cc1,0.1071331076388143,H13_MXA,ester,T16_C11,4,1041.6
CCCCCCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0.1041973687952372,H8_AEEA,amide,T4_C12,3,822.4
CC(C)CCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.1010338505437055,H8_AEEA,ester,T10_C12i,3,867.4
CCSCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCSCC)Cc1ccc(CN(CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC)cc1,0.0986708085613582,H13_MXA,amide,T14_thioC8,4,1109.9
CCCCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,0.0969178028859385,H8_AEEA,ester,T4_C12,3,825.3
CCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCC)Cc1ccc(CN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC)cc1,0.0935971996811155,H13_MXA,amide,T13_C9,4,925.5
CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)Cc1ccc(CN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)cc1,0.0931745417655737,H13_MXA,ester,T3_C10,4,985.5
CCCCCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,0.0900219147960648,H8_AEEA,amide,T16_C11,3,780.3
CCSCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCSCC)Cc1ccc(CN(CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC)cc1,0.0841434496959653,H13_MXA,ester,T14_thioC8,4,1113.8
CCCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,0.0834622135554506,H8_AEEA,ester,T16_C11,3,783.2
CCCCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC,0.0761301614814069,H8_AEEA,amide,T3_C10,3,738.2
CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC)Cc1ccc(CN(CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC)cc1,0.0757630000311557,H13_MXA,amide,T2_C8,4,869.4
CCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCC)Cc1ccc(CN(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC)cc1,0.0746328409197301,H13_MXA,ester,T13_C9,4,929.4
CCCCCCCCCCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCCCC,0.0708225182134869,H5_bAE,amide,T7_C18,4,1398.4
CCSCCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC,0.0694965504042812,H8_AEEA,amide,T14_thioC8,3,834.4
CCCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,0.0683131324110605,H8_AEEA,ester,T3_C10,3,741.2
CC(C)CCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C)CCC(=O)NCCCCCCCCCCC(C)C,0.0635166396406595,H5_bAE,amide,T10_C12i,4,1117.9
CCCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,0.0619041769141943,H8_AEEA,amide,T13_C9,3,696.1
CCSCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC,0.0600146530103792,H8_AEEA,ester,T14_thioC8,3,837.4
CCCCCCCCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCCCC,0.0598740697775974,H5_bAE,amide,T6_C16,4,1286.2
CC(C)CCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C)CCC(=O)OCCCCCCCCCCC(C)C,0.0549142114390197,H5_bAE,ester,T10_C12i,4,1121.8
CCCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC,0.0525862383593795,H8_AEEA,ester,T13_C9,3,699.1
CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC)Cc1ccc(CN(CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC)cc1,0.0518785284200272,H13_MXA,ester,T2_C8,4,873.3
CCCCCCCCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCCCC,0.0494540938849459,H5_bAE,ester,T6_C16,4,1290.1
CCCCCCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC,0.0464283097009593,H5_bAE,amide,T5_C14,4,1174.0
CCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC,0.0460479205067046,H8_AEEA,amide,T2_C8,3,654.0
CCCCCCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,0.0364272196927522,H5_bAE,ester,T5_C14,4,1177.9
CCCCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,0.0322102811896293,H5_bAE,amide,T4_C12,4,1061.8
CCCCCCCCOC(=O)CCN(CCO)CCN(CCC(=O)OCCCCCCCC)CCC(=O)OCCCCCCCC,0.0287799173731224,H8_AEEA,ester,T2_C8,3,657.0
CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN(C)C,0.0259248615422845,H1_DMAEA,amide,T15_OC8,2,542.9
CCCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCC,0.0257257733747495,H5_bAE,amide,T16_C11,4,1005.7
CCCCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,0.0255868051572239,H5_bAE,ester,T4_C12,4,1065.7
CCCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,0.0206383178444299,H5_bAE,ester,T16_C11,4,1009.6
CCOCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCOCC)CCN1CCN(C)CC1,0.0201316644868989,H3_MPZ,amide,T15_OC8,2,597.9
CCCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC)CCC(=O)NCCCCCCCCCC,0.0194874427748393,H5_bAE,amide,T3_C10,4,949.5
CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN(C)C,0.0189747605763431,H1_DMAEA,ester,T15_OC8,2,544.8
CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN1CCN(C)CC1,0.0182988730294378,H3_MPZ,ester,T15_OC8,2,599.9
CCOCCCCCCCCNC(=O)CCN(CCCN(C)C)CCC(=O)NCCCCCCCCOCC,0.0180556118142365,H10_DMPDA,amide,T15_OC8,2,556.9
CCSCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC)CCC(=O)NCCCCCCCCSCC,0.015813561391503,H5_bAE,amide,T14_thioC8,4,1077.8
CCOCCCCCCCCOC(=O)CCN(CCCN(C)C)CCC(=O)OCCCCCCCCOCC,0.0149678683573097,H10_DMPDA,ester,T15_OC8,2,558.8
CCCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,0.0146400852637402,H5_bAE,ester,T3_C10,4,953.5
CCCCCCNC(=O)CCN(CCC(=O)NCCCCCC)Cc1ccc(CN(CCC(=O)NCCCCCC)CCC(=O)NCCCCCC)cc1,0.0142065269107603,H13_MXA,amide,T1_C6,4,757.2
CCCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC)CCC(=O)NCCCCCCCCC,0.0134946292844566,H5_bAE,amide,T13_C9,4,893.4
CCSCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC)CCC(=O)OCCCCCCCCSCC,0.009650696590932,H5_bAE,ester,T14_thioC8,4,1081.8
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(CCO)CC1,0.0073490199239583,H9_PZE,ester,T11_oleyl,2,818.3
CCCCCCCCCOC(=O)CCN(CCOCCN(CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC)CCC(=O)OCCCCCCCCC,0.0072106056090575,H5_bAE,ester,T13_C9,4,897.4
CCOCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCOCC)CCC(=O)NCCCCCCCCOCC,0.0057032017307567,H7_MePr,amide,T15_OC8,3,770.2
CCCCCCCC/C=C\CCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCC/C=C\CCCCCCCC)CCN1CCN(CCO)CC1,0.0042823954923545,H9_PZE,amide,T11_oleyl,2,816.4
CCCCCCCCNC(=O)CCN(CCOCCN(CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC)CCC(=O)NCCCCCCCC,0.0041328692499224,H5_bAE,amide,T2_C8,4,837.3
CCOCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCOCC)CCC(=O)OCCCCCCCCOCC,0.0039451960541645,H7_MePr,ester,T15_OC8,3,773.1
CCOCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCOCC)CCN(CC)CC,0.0019747474346467,H2_DEAEA,ester,T15_OC8,2,572.9
