marker_id,category_cn,label,tier,n_510k,n_denovo,n_pma,link_status,ex_510k,ex_denovo,ex_pma,clia_analyte_id,n_clia,clia_doc_examples,notes,official_link,source
M0230,真菌,Blastomyces dermatitidis,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,766,2,CDC000116; CDC000138,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0231,血液学与凝血,Bleeding time,功能／计数／检测对象组,0,0,0,仅CLIA记录：三路径待核实,,,,500,5,CDC000147; CDC000285; E980008,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0232,临床生化,Blood gases,分析物／抗原／病原体标签,59,0,0,已关联历史获准记录（目录／数据库级）,K002738; K012058; K020297,,,283,150,CDC000005; CDC000071; CDC000174; CDC000198; CDC000207,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K002738,catalog_v1
M0233,血液学与凝血,Blood volume measuring device,功能／计数／检测对象组,1,0,0,已关联历史获准记录（目录／数据库级）,K964406,,,473,4,CR250227; CR260251; K964406,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K964406,catalog_v1
M0234,寄生虫,"Blood, tissue \& intestinal parasites",功能／计数／检测对象组,0,0,0,仅CLIA记录：三路径待核实,,,,780,1,CDC000131,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0235,病理与分子肿瘤,Bloom syndrome (BLM) gene mutations,遗传／核酸／分型,0,0,0,仅CLIA记录：三路径待核实,,,,1028,1,CR140182,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0236,血液学与凝血,Body fluid microscopic elements,功能／计数／检测对象组,4,0,0,已关联历史获准记录（目录／数据库级）,K030606; K050057; K830220,,,456,9,CDC000131; CDC000146; CDC000285; K030606; K050057,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K030606,catalog_v1
M0237,细菌与耐药,Bordetella pertussis/parapertussis,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,760,10,CDC000095; CR140147; CR140440; CR160732; CR170046,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0238,细菌与耐药,Bordetella species,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1287,1,CW240030,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0239,免疫与自身免疫,BRAF V600,分析物／抗原／病原体标签,0,0,16,已关联历史获准记录（目录／数据库级）,,,P110020; P110020/S016; P120014,971,3,CR190597; P110020; P120014,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P110020,catalog_v1
M0240,病理与分子肿瘤,BRAF V600E protein,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1092,1,CR170279,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0241,病理与分子肿瘤,BRCA mutations,遗传／核酸／分型,0,1,13,已关联历史获准记录（目录／数据库级）,,DEN170046,P140020; P140020/S012; P140020/S015,1029,4,CR140552; CR160347; CR170472; CR170529,路线为空表示本次未建立直接关联，不表示没有获准产品。 De Novo依据见目录映射表；未回填panel内部成员。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170046,catalog_v1
M0242,毒理与治疗药物监测,Buprenorphine,分析物／抗原／病原体标签,25,0,0,已关联历史获准记录（目录／数据库级）,K022355; K030113; K033866,,,895,1047,CR140014; CR140084; CR140143; CR140144; CR140178,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K022355,catalog_v1
M0243,临床生化,C-peptide,分析物／抗原／病原体标签,6,0,0,已关联历史获准记录（目录／数据库级）,K022603; K060373; K943767,,,22,60,CDC000090; CDC000091; CDC000141; CR170132; CR170599,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K022603,catalog_v1
M0244,免疫与自身免疫,C-reactive protein (CRP),分析物／抗原／病原体标签,122,0,0,已关联历史获准记录（目录／数据库级）,K001009; K001636; K001647,,,187,534,CDC000018; CDC000019; CDC000030; CDC000032; CDC000033,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K001009,catalog_v1
M0245,免疫与自身免疫,C1-esterase inhibitor (C1INH),分析物／抗原／病原体标签,3,0,0,已关联历史获准记录（目录／数据库级）,K001647; K951967; K960257,,,642,8,CDC000200; CR140138; K001647; K951967; K960257,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K001647,catalog_v1
M0246,临床生化,CA 19-9,分析物／抗原／病原体标签,16,0,0,已关联历史获准记录（目录／数据库级）,K020566; K023239; K023240,,,397,57,CR160661; CR170214; CR180635; CR190165; CR190469,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K020566,catalog_v1
M0247,毒理与治疗药物监测,Caffeine,分析物／抗原／病原体标签,8,0,0,已关联历史获准记录（目录／数据库级）,K011878; K042407; K042520,,,260,56,CDC000431; CDC000454; CDC000465; CDC000470; CDC000471,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K011878,catalog_v1
M0248,内分泌与生殖,Calcitonin,分析物／抗原／病原体标签,9,0,0,已关联历史获准记录（目录／数据库级）,K023304; K060578; K132828,,,440,34,CDC000090; CDC000091; CDC000141; CDC000197; CR170224,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K023304,catalog_v1
M0249,临床生化,"Calcium, ionized",分析物／抗原／病原体标签,66,0,0,已关联历史获准记录（目录／数据库级）,K000103; K000895; K002738,,,139,137,CDC000005; CDC000011; CDC000030; CDC000071; CDC000075,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000103,catalog_v1
M0250,临床生化,"Calcium, total",分析物／抗原／病原体标签,120,0,0,已关联历史获准记录（目录／数据库级）,K000375; K001387; K010061,,,107,484,CDC000016; CDC000023; CDC000030; CDC000035; CDC000055,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000375,catalog_v1
M0251,免疫与自身免疫,Calprotectin,分析物／抗原／病原体标签,1,1,0,已关联历史获准记录（目录／数据库级）,K130945,DEN060001,,859,51,CR160057; CR170193; CR180263; CR180268; CR180648,路线为空表示本次未建立直接关联，不表示没有获准产品。 De Novo依据见目录映射表；未回填panel内部成员。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K130945,catalog_v1
M0252,细菌与耐药,Campylobacter,分析物／抗原／病原体标签,3,0,0,已关联历史获准记录（目录／数据库级）,K083464; K090700; K982315,,,693,14,CDC000116; CDC000186; CDC000430; CR170582; CR170583,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K083464,catalog_v1
M0253,临床生化,Cancer antigen 125 (CA 125),抗体／免疫反应性,27,0,0,已关联历史获准记录（目录／数据库级）,K020828; K022329; K022603,,,247,89,CDC000414; CDC000431; CDC000479; CR140397; CR140505,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K020828,catalog_v1
M0254,临床生化,Cancer antigen 15-3 (CA 15-3),抗体／免疫反应性,23,0,0,已关联历史获准记录（目录／数据库级）,K001468; K010588; K012357,,,204,67,CR170281; CR180177; CR180384; CR180637; CR190165,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K001468,catalog_v1
M0255,临床生化,Cancer antigen 27.29 (CA 27.29),抗体／免疫反应性,6,0,0,已关联历史获准记录（目录／数据库级）,K010796; K940810; K965141,,,338,20,CR180186; CR190165; CR190751; K010796; K940810,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010796,catalog_v1
M0256,免疫与自身免疫,"Cancer antigen, cytokeratin fragments 21-1",抗体／免疫反应性,1,0,0,已关联历史获准记录（目录／数据库级）,K100831,,,968,9,CR160142; CR160725; CR170214; CR220398; CR250168,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K100831,catalog_v1
M0257,免疫与自身免疫,"Cancer antigen, human epididymis protein 4 (HE4)",抗体／免疫反应性,4,0,0,已关联历史获准记录（目录／数据库级）,K072939; K093957; K103358,,,898,25,CR150115; CR150244; CR150271; CR150582; CR160020,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K072939,catalog_v1
M0258,免疫与自身免疫,Candida albicans antibodies,抗体／免疫反应性,0,0,0,仅CLIA记录：三路径待核实,,,,792,3,CDC000138; CDC000186,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0259,毒理与治疗药物监测,Cannabinoids (THC),分析物／抗原／病原体标签,254,0,0,已关联历史获准记录（目录／数据库级）,K000131; K000461; K000979,,,84,2007,CDC000016; CDC000050; CDC000055; CDC000075; CDC000090,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000131,catalog_v1
M0260,血液学与凝血,Capillary fragility,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,832,1,CDC000328,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0261,毒理与治疗药物监测,Carbamazepine,分析物／抗原／病原体标签,56,0,0,已关联历史获准记录（目录／数据库级）,K000007; K000903; K010061,,,173,232,CDC000016; CDC000030; CDC000055; CDC000071; CDC000104,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000007,catalog_v1
M0262,毒理与治疗药物监测,"Carbamazepine, free",分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,710,3,CDC000257; CDC000414,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0263,临床生化,"Carbon dioxide, isotope 13",分析物／抗原／病原体标签,1,0,0,已关联历史获准记录（目录／数据库级）,K990931,,,697,1,K990931,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K990931,catalog_v1
M0264,临床生化,"Carbon dioxide, total (CO2)",分析物／抗原／病原体标签,104,0,0,已关联历史获准记录（目录／数据库级）,K001133; K002354; K003721,,,185,436,CDC000005; CDC000016; CDC000023; CDC000030; CDC000035,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K001133,catalog_v1
M0265,毒理与治疗药物监测,Carboxyhemoglobin,分析物／抗原／病原体标签,21,0,0,已关联历史获准记录（目录／数据库级）,K022746; K031560; K032311,,,433,46,CDC000005; CDC000071; CDC000224; CDC000379; CDC000452,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K022746,catalog_v1
M0266,临床生化,Carcinoembryonic antigen (CEA),抗体／免疫反应性,28,0,0,已关联历史获准记录（目录／数据库级）,K013568; K022603; K023049,,,343,86,CDC000129; CDC000292; CDC000393; CDC000414; CDC000419,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K013568,catalog_v1
M0267,临床生化,Carnosine,分析物／抗原／病原体标签,1,0,0,已关联历史获准记录（目录／数据库级）,K925093,,,562,1,K925093,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K925093,catalog_v1
M0268,细菌与耐药,"Catalase, urine",分析物／抗原／病原体标签,1,0,0,已关联历史获准记录（目录／数据库级）,K981084,,,686,2,CR150441; K981084,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K981084,catalog_v1
M0269,内分泌与生殖,"Catecholamines, plasma",分析物／抗原／病原体标签,3,0,0,已关联历史获准记录（目录／数据库级）,K051969; K960392; K972167,,,664,11,CDC000037; CDC000045; K051969; K960392; K972167,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K051969,catalog_v1
M0270,内分泌与生殖,"Catecholamines, urine",分析物／抗原／病原体标签,3,0,0,已关联历史获准记录（目录／数据库级）,K051969; K942451; K943099,,,624,7,CDC000037; K051969; K942451; K943099,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K051969,catalog_v1
M0271,血液学与凝血,CBC profile,组合／谱／比值：成员待展开,4,0,0,已关联历史获准记录（目录／数据库级）,K003677; K024002; K032000,,,308,4,K003677; K024002; K032000; K032342,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K003677,catalog_v1
M0272,病理与分子肿瘤,CD30,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1102,1,CR170439,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0273,免疫与自身免疫,CD4 protein,分析物／抗原／病原体标签,1,0,0,已关联历史获准记录（目录／数据库级）,K925255,,,589,1,K925255,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K925255,catalog_v1
M0274,临床生化,Cerebrospinal fluid (CSF) protein,分析物／抗原／病原体标签,22,0,0,已关联历史获准记录（目录／数据库级）,K010061; K071239; K073604,,,404,124,CDC000030; CDC000037; CDC000099; CDC000159; CDC000250,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010061,catalog_v1
M0275,血液学与凝血,Cerebrospinal fluid microscopic elements,功能／计数／检测对象组,2,0,0,已关联历史获准记录（目录／数据库级）,K022331; K971470,,,421,3,CDC000131; K022331; K971470,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K022331,catalog_v1
M0276,免疫与自身免疫,Cerebrospinal fluid protein fractions,分析物／抗原／病原体标签,3,0,0,已关联历史获准记录（目录／数据库级）,K024162; K033277; K981048,,,443,12,CDC000149; CDC000424; CDC000429; K024162; K033277,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K024162,catalog_v1
M0277,临床生化,Ceruloplasmin,分析物／抗原／病原体标签,16,0,0,已关联历史获准记录（目录／数据库级）,K001647; K051087; K051456,,,301,75,CDC000033; CDC000157; CDC000236; CDC000260; CDC000386,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K001647,catalog_v1
M0278,免疫与自身免疫,CFTR (cystic fibrosis transmembrane conductance regulator) mutations,遗传／核酸／分型,11,1,0,已关联历史获准记录（目录／数据库级）,K051435; K060543; K060627,DEN050004,,841,15,K043011; K051435; K060543; K060627; K062028,路线为空表示本次未建立直接关联，不表示没有获准产品。 De Novo依据见目录映射表；未回填panel内部成员。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K051435,catalog_v1
M0279,细菌与耐药,Chlamydia,分析物／抗原／病原体标签,39,0,0,已关联历史获准记录（目录／数据库级）,K003395; K023049; K032194,,,291,123,CDC000001; CDC000030; CDC000057; CDC000071; CDC000078,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K003395,catalog_v1
M0280,免疫与自身免疫,"Chlamydia antibodies, species non-specific",抗体／免疫反应性,2,0,0,已关联历史获准记录（目录／数据库级）,K033079; K962558,,,475,2,K033079; K962558,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K033079,catalog_v1
M0281,免疫与自身免疫,Chlamydia trachomatis antibodies,抗体／免疫反应性,2,0,0,已关联历史获准记录（目录／数据库级）,K012351; K060256,,,375,9,CDC000017; CDC000044; CDC000141; CDC000242; CDC000273,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K012351,catalog_v1
M0282,毒理与治疗药物监测,Chloramphenicol,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,746,5,CDC000257; CDC000431; CDC000465; CDC000479,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0283,临床生化,Chloride,分析物／抗原／病原体标签,166,0,0,已关联历史获准记录（目录／数据库级）,K000895; K000926; K001387,,,171,555,CDC000005; CDC000011; CDC000016; CDC000023; CDC000030,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000895,catalog_v1
M0284,临床生化,"Chloride, sweat (cystic fibrosis sweat test)",分析物／抗原／病原体标签,3,0,0,已关联历史获准记录（目录／数据库级）,K010031; K121823; K863395,,,419,7,CDC000010; CDC000203; CDC000279; CDC000332; K010031,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010031,catalog_v1
M0285,临床生化,Cholesterol,分析物／抗原／病原体标签,123,0,0,已关联历史获准记录（目录／数据库级）,K000610; K000900; K003721,,,161,532,CDC000016; CDC000023; CDC000030; CDC000032; CDC000035,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000610,catalog_v1
M0286,临床生化,Cholinesterase,分析物／抗原／病原体标签,44,0,0,已关联历史获准记录（目录／数据库级）,K001344; K011213; K011465,,,197,180,CDC000023; CDC000035; CDC000055; CDC000071; CDC000089,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K001344,catalog_v1
M0287,临床生化,Cholyglycine,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,711,33,CDC000071; CDC000104; CDC000105; CDC000287; CDC000379,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0288,免疫与自身免疫,Chromogranin A,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1258,1,CR220263,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0289,临床生化,Chromosome 12,遗传／核酸／分型,1,0,0,已关联历史获准记录（目录／数据库级）,K962873,,,670,1,K962873,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K962873,catalog_v1
M0290,临床生化,Chromosome 13,遗传／核酸／分型,2,0,0,已关联历史获准记录（目录／数据库级）,K010288; K972200,,,323,2,K010288; K972200,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010288,catalog_v1
M0291,临床生化,Chromosome 18,遗传／核酸／分型,2,0,0,已关联历史获准记录（目录／数据库级）,K010288; K972200,,,324,2,K010288; K972200,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010288,catalog_v1
M0292,临床生化,Chromosome 21,遗传／核酸／分型,2,0,0,已关联历史获准记录（目录／数据库级）,K010288; K972200,,,325,2,K010288; K972200,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010288,catalog_v1
M0293,临床生化,Chromosome 7q31 and chromosome 7p11.1-q11.1,遗传／核酸／分型,1,0,0,已关联历史获准记录（目录／数据库级）,K131508,,,1010,1,K131508,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K131508,catalog_v1
M0294,临床生化,Chromosome 8,遗传／核酸／分型,1,0,0,已关联历史获准记录（目录／数据库级）,K953591,,,651,1,K953591,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K953591,catalog_v1
M0295,临床生化,Chromosome X,遗传／核酸／分型,5,0,0,已关联历史获准记录（目录／数据库级）,K010288; K042542; K071398,,,326,7,CR180222; K010288; K042542; K071398; K954214,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010288,catalog_v1
M0296,临床生化,Chromosome Y,遗传／核酸／分型,5,0,0,已关联历史获准记录（目录／数据库级）,K010288; K042542; K071398,,,327,7,CR180222; K010288; K042542; K071398; K954214,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010288,catalog_v1
M0297,临床生化,"Chromosomes (amniotic fluid, peripheral blood, chorionic villus, bone marrow, tissue)",遗传／核酸／分型,6,0,0,已关联历史获准记录（目录／数据库级）,K012103; K050840; K052577,,,372,6,K012103; K050840; K052577; K061392; K062755,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K012103,catalog_v1
M0298,血液学与凝血,Citrated Functional Fibrinogen (CFF): CFF-MA,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1185,1,CR180826,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0299,血液学与凝血,"Citrated Kaolin (CK): CK-R, CK-LY30",分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1187,1,CR180826,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0300,血液学与凝血,Citrated RapidTEG (CRT): CRT-MA,分析物／抗原／病原体标签,0,0,0,仅CLIA记录：三路径待核实,,,,1186,1,CR180826,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfClia/Search.cfm,catalog_v1
M0301,临床生化,Citrulline,分析物／抗原／病原体标签,4,0,0,已关联历史获准记录（目录／数据库级）,K083130; K093916; K925093,,,563,8,CR170626; CR190676; K031878; K083130; K093916,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K083130,catalog_v1
M0302,病理与分子肿瘤,claudin 18 (CLDN18),分析物／抗原／病原体标签,0,0,1,已关联历史获准记录（目录／数据库级）,,,P230018,1269,1,CR230319,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?id=P230018,catalog_v1
M0303,细菌与耐药,Clostridium difficile,分析物／抗原／病原体标签,43,1,0,已关联历史获准记录（目录／数据库级）,K030404; K030991; K030992,DEN120013,,288,90,CDC000009; CDC000020; CDC000030; CDC000032; CDC000044,路线为空表示本次未建立直接关联，不表示没有获准产品。 De Novo依据见目录映射表；未回填panel内部成员。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K030404,catalog_v1
M0304,毒理与治疗药物监测,Clozapine,分析物／抗原／病原体标签,0,1,0,已关联历史获准记录（目录／数据库级）,,DEN190028,,1206,21,CR190317; CR200231; CR200318; CR220093; CR220458,路线为空表示本次未建立直接关联，不表示没有获准产品。 De Novo依据见目录映射表；未回填panel内部成员。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN190028,catalog_v1
M0305,血液学与凝血,Coagulation factors,分析物／抗原／病原体标签,66,0,0,已关联历史获准记录（目录／数据库级）,K000053; K000649; K020979,,,130,324,CDC000028; CDC000032; CDC000038; CDC000049; CDC000093,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000053,catalog_v1
M0306,血液学与凝血,"Coagulation index, modified whole blood",组合／谱／比值：成员待展开,4,0,0,已关联历史获准记录（目录／数据库级）,K083842; K101533; K954437,,,405,28,CR150009; CR180287; CR200271; CR210481; CR230395,路线为空表示本次未建立直接关联，不表示没有获准产品。,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K083842,catalog_v1
