den_no,product_name,product_code,classification_name,classification_def,specialty,decision_date,tier_note,fda_link
DEN140038,Dexcom Share Direct Secondary Displays,PJT,Continuous Glucose Monitor Secondary Display,"The purpose of the continuous glucose monitor secondary display is to notify another person, the follower, of the patient's continuous glucose monitoring system sensor glucose information in real time. The secondary display is intended for providing secondary notification of a continuous glucose monitoring system and does not replace primary real time continuous glucose monitoring or standard home blood glucose monitoring",CH,2015-01-23,配套器械／软件／质控：不计作独立marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN140038
DEN140039,NOVA View Automated Fluorescense Microscope,PIV,Automated Indirect Immunofluorescence Microscope And Software-Assisted System For Clinical Use,"Automated system consisting of a fluorescence microscope and software that acquires, analyzes, stores and displays digital images of stained indirect immunofluorescent slides.  It is intended as an aid in the detection and classification of certain antibodies by indirect immunofluorescent technology.  A trained operator must confirm all device generated results.",IM,2015-04-09,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN140039
DEN140044,23ANDME PERSONAL GENOME SERVICE (HEREINAFTER KNOWN AS PGS),PKB,Autosomal Recessive Carrier Screening Gene Mutation Detection System,"Autosomal recessive carrier screening gene mutation detection system is a qualitative in vitro molecular diagnostic system used for genotyping of clinically relevant variants in genomic DNA isolated from human peripheral whole blood or saliva specimens  intended for prescription use or over-the-counter use. The device is intended for autosomal recessive disease carrier screening in adults of reproductive age. The device is not intended for copy number variation, cytogenetic, or biochemical testing.",CH,2015-02-19,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN140044
DEN150009,B.R.A.H.M.S PCT sensitive KRYPTOR,PMT,Device To Detect And Measure Procalcitonin (Pct) In Human Clinical Specimens,An assay used to determine the level of procalcitonin (PCT) in human serum and plasma as an aid in assessing the mortality for patients diagnosed with severe sepsis or septic shock.,MI,2016-02-20,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN150009
DEN150013,FilmArray Meningitis/Encephalitis(ME) Panel,PLO,Meningitis/Encephalitis Pathogen Multiplex Nucleic Acid Detection System,A meningitis/encephalitis pathogen multiplex nucleic acid detection system is a qualitative in vitro diagnostic test for the direct detection and identification of microbial-associated nucleic acids in cerebrospinal fluid. The test is indicated for individuals with signs and symptoms of meningitis or encephalitis and aids in diagnosis of agents of meningitis or encephalitis when used in conjunction with clinical and other laboratory findings.,MI,2015-10-08,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN150013
DEN150030,KRONUS Aquaporin-4 Autoantibody (AQP4Ab) ELISA Assay,PNI,Aquaporin-4 Autoantibody,For the  determination of autoantibodies to Aquaporin-4 in human serum and plasma. The test may be useful as an aid in the diagnosis of Neuromyelitis Optica (NMO) and Neuromyelitis Optica Spectrum Disorders (NMOSD). The test is not to be used alone and is to be used in conjunction with other clinical and radiological (MRI) laboratory findings.,IM,2016-04-25,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN150030
DEN150035,SEEKER System,PQW,Alpha-D-Galactosidase A (Gla) Newborn Screening Test System,For quantitative measurement of the activity of alpha-D-galactosidase A (GLA) from newborn dried blood spot specimens.,CH,2017-02-03,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN150035
DEN150057,"Elecsys AMH, AMH CalSet, PreciControl AMH, AMH CalCheck 5",PQO,Anti-Müllerian Hormone Test System,An Anti-Müllerian hormone test system is an in vitro diagnostic device intended to measure anti-Müllerian hormone in human serum and plasma. The test is intended to be used as an aid for assessing ovarian reserve in women.,CH,2016-12-19,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN150057
DEN150058,"Amplichek II, Negative and Amplichek II, Negative MiniPak, Amplichek II, Level 1 and Amplichek II, Level 1 MiniPak, Amplichek II, Level 2 and Amplichek II, Level 2 MiniPak, Amplichek II, Level 3 and Amplichek II, Level 3 MiniPak",PMN,Assayed External Control Material For Microbiology Nucleic Acid Amplification (Nat) Assays,Assayed external quality control material to monitor the performance of microbiology nucleic acid assays for in vitro diagnostic use.,MI,2016-03-28,配套器械／软件／质控：不计作独立marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN150058
DEN150059,APAS Compact with Urine Analysis Module,PPU,Microbial Colony Image Assessment System,"A microbial colony image assessment system is an instrument that is intended to assess the presence or absence of microbial colonies on solid microbiological culture medium, and to interpret their number, phenotypic and morphologic characteristics. This device type provides a semi-quantitative assessment of colony counts that are used as an aid in the diagnosis of urinary tract infection. All urine culture plates that are identified as positive for growth by the APAS Compact, when using its urine analysis module, must be reviewed by a trained microbiologist.",MI,2016-10-06,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN150059
DEN160001,"BD MAX Vaginal Panel, BD MAX Instrument",PQA,Vaginitis And Bacterial Vaginosis Nucleic Acid Detection System,A vaginitis and bacterial vaginosis nucleic acid detection system is a qualitative in vitro diagnostic device for the direct detection of nucleic acid sequences from microorganisms associated with vaginitis or bacterial vaginosis.  The device is indicated for individuals with signs and symptoms of vaginitis or bacterial vaginosis and aids in the diagnosis of these vaginal infections.,MI,2016-10-28,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160001
DEN160003,Quantidex qPCR BCR-ABL IS Kit,OYX,Bcr/Abl1 Monitoring Test,A BCR/ABL1 Monitoring Test is a quantitative in vitro diagnostic device used to monitor the BCR/ABL1 to ABL1 ratio by reverse-transcriptase quantitative polymerase chain reaction (RQ-PCR) on whole blood or bone marrow of diagnosed Philadelphia chromosome positive (Ph+) chronic myeloid leukemia (CML) patients expressing BCR-ABL1 fusion transcripts such as e13a2 and/or e14a2. It is intended for use during monitoring of treatment response by reporting results on the international scale (%IS) and as log molecular reduction (MR) value.,MG,2016-07-22,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160003
DEN160016,Variola virus Real-Time PCR Assay,PRA,Variola Virus Nucleic Acid-Based Detection Assay,"The Variola virus nucleic acid-based detection assay is intended for individuals presenting with pustular or vesicular rash illness or other signs and symptoms of Variola virus infection.  The test results must be used in conjunction with other diagnostic assays and clinical observations, as an aid to the diagnosis of infection, in accordance with the criteria defined by the appropriate public health authorities with the Federal government.",MI,2017-02-06,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160016
DEN160019,"CINtec Histology (50 tests), CINtec Histology (250 tests)",PRB,Cervical Intraepithelial Neoplasia (Cin) Test System,"The p16 CIN test system is a qualitative immunohistochemistry (IHC) test to assess the p16INK4a protein in formalin-fixed, paraffin-embedded (FFPE) cervical punch biopsy tissues. It is indicated as an adjunct to examination of hematoxylin and eosin (H&E) stained slide(s), to improve consistency in the diagnosis of CIN.  Diagnosis of CIN presence or level should be based on H&E stained slide(s) and other clinical and laboratory test information.",PA,2017-03-04,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160019
DEN160025,"ID-FISH Plasmodium Genus Test Kit, ID-FISH Plasmodium falciparum and P. vivax Combo Test Kit",PYN,"Fish (Fluorescence In Situ Hybridization) Kit, Nucleic Acid, Plasmodium Sp.",The Plasmodium sp. FISH is intended to detect Plasmodium spp. parasites and/or differentiate parasite species in clinical whole blood smear specimens from patients with signs or symptoms of malaria and suspicion of infection.,MI,2017-08-18,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160025
DEN160026,23andMe Personal Genome Service (PGS) Genetic Health Risk Test for Hereditary Thrombophilia,PTA,Genetic Variant Detection And Health Risk Assessment System,A qualitative in vitro molecular test that detects variants in genomic DNA isolated from human specimens. This assessment system provides users with a genetic health risk assessment of developing a disease and is intended to inform users of lifestyle choices and/or encourage conversations with a healthcare professional. This assessment system is for over-the-counter use. This device does not determine the person’s overall risk of developing a disease.,HE,2017-04-06,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160026
DEN160028,ipsogen JAK2 RGQ PCR Kit,PSU,Jak2 Gene Mutation Detection Test,"The JAK2 gene mutation detection system is a device used to detect mutations and variants in the JAK2 gene.  It is intended for use as an adjunct to evaluation of suspected Polycythemia Vera, in conjunction with other clinicopathological factors.",PA,2017-03-27,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160028
DEN160032,"Accelerate Pheno system, Accelerate Phenotest BC Kit",PRH,Positive Blood Culture Identification And Ast Kit,"Fluorescence in situ hybridization (FISH) identification and quantitative, antimicrobial susceptibility testing (AST) kit intended for simultaneous detection and identification of multiple microbial targets.",MI,2017-02-23,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160032
DEN160033,ARK Voriconazole II Assay Test System,PUJ,Voriconazole Test System,A voriconazole test system is a device intended to measure voriconazole in human serum. Measurements obtained by this device are used in monitoring levels of voriconazole to ensure appropriate therapy.,TX,2017-05-05,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160033
DEN160047,"ClearLLab T1, ClearLLab T2, ClearLLab B1, ClearLLab B2, ClearLLab M",PWD,Flow Cytometric Test System For Hematopoietic Neoplasms,"Reagents intended for in vitro diagnostic use as a panel for qualitative identification of cell populations by multiparameter immunophenotyping on a flow cytometer. These reagents are used as an aid in the differential diagnosis of hematologically abnormal patients having, or suspected of having the following hematopoietic neoplasms: chronic leukemia, acute leukemia, non-Hodgkin's lymphoma, myeloma, myelodysplastic syndrome (MDS), and/or myeloproliferative neoplasms (MPN)",IM,2017-06-29,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160047
DEN160048,FilmArray NGDS Warrior Panel,PRD,,,MI,2017-02-14,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160048
DEN160056,Philips IntelliSite Pathology Solution,PSY,Whole Slide Imaging System,"The whole slide imaging system is an automated digital slide creation, viewing, and management system intended as an aid to the pathologist to review and interpret digital images of surgical pathology slides prepared from formalin-fixed, paraffin-embedded (FFPE) tissue. The system generates digital images that would otherwise be appropriate for manual visualization by conventional brightfield microscopy. The whole slide imaging system is not intended for use with slides prepared from frozen tissue, cytology, and non-FFPE hematopathology specimens (e.g., peripheral blood smear).",PA,2017-04-12,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN160056
DEN170010,LZI Carisoprodol Metabolite (Meprobamate) Enzyme Immunoassay,QBK,Meprobamate Test System,"A meprobamate test system is a device intended to measure meprobamate in human specimens. Measurements obtained by this device are used to detect the presence of meprobamate to diagnose the use or overdose of meprobamate or structurally-related drug compounds (e.g., prodrugs).",TX,2018-04-20,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170010
DEN170017,FilmArray Respiratory Panel 2 plus (RP2plus),PZF,Mers-Cov And Common Respiratory Pathogens Multiplex Nucleic Acid Detection System,"A Middle East Respiratory Syndrome Coronavirus (MERS-CoV) and common respiratory pathogens multiplex nucleic acid detection system is a qualitative in vitro diagnostic test for the detection and identification of MERS-CoV and common respiratory pathogens – associated nucleic acids in human clinical specimens. The test is indicated for individuals meeting specific MERS-CoV clinical and/or epidemiological criteria. It aids in the differential diagnosis of MERS-CoV infection in conjunction with other clinical, epidemiologic, and laboratory data, in accordance with the guidelines provided by the appropriate public health authorities.",MI,2017-11-24,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170017
DEN170019,Vitamin D 200M Assay for the Topaz System,PSL,25-Oh-Vitamin D Mass Spectrometry Test System,A 25-OH-Vitamin D Mass Spectrometry test system is intended to  for vitro diagnostic use in the quantitative determination of total 25-hydroxyvitamin D (25-OH-D)using mass spectrometry.,CH,2017-05-18,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170019
DEN170029,PrimeStore MTM,QBD,Microbial Nucleic Acid Storage And Stabilization Device,Molecular transport media is a device intended for the stabilization and transportation of nucleic acids from unprocessed human samples suspected of containing infectious material.,MI,2018-03-19,配套器械／软件／质控：不计作独立marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170029
DEN170030,"VENTANA anti-MLH-1(M1) Mouse Monoclonal Primary Antibody, VENTANA anti-PMS2 (A16-4) Mouse Monoclonal Primary Antibody, VENTANA anti-MSH2 (G219-1129)  Mouse Monoclonal Primary Antibody, VENTANA anti-MSH6 (SP 93) Mouse Monoclonal Primary Antibody, VENTANA anti-BRAF V600E (VE1) Mouse Monoclonal Primary Antibody",PZJ,Lynch Syndrome Test System,The Lynch syndrome test system is used to identify loss of  DNA mismatch repair proteins or microsatellite instability in tumor tissue from cancer patients for the purpose of identifying patients who may benefit from additional testing for the inherited cancer predisposition Lynch Syndrome,PA,2017-10-27,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170030
DEN170041,GeneSTAT.MDx Coccidioides Assay,QAA,Coccidioides Spp. Nucleic Acid Detection System For Respiratory Specimens,A Coccidioides spp. nucleic acid detection system for respiratory specimens is a qualitative test for the detection of Coccidioides spp. nucleic acids directly in clinical respiratory specimens from patients with signs and symptoms of coccidioidomycosis and suspicion of infection.,MI,2017-11-29,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170041
DEN170043,DreaMed Advisor Pro,QCC,Insulin Pump Therapy Adjustment Calculator For Healthcare Professionals,"An insulin pump therapy adjustment calculator for healthcare professionals is intended to recommend insulin pump therapy parameter adjustments (e.g., basal rate, insulin to carbohydrate ratios, insulin sensitivity factors) based on data from external devices, including continuous glucose monitors.",CH,2018-06-12,配套器械／软件／质控：不计作独立marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170043
DEN170045,Banyan BTI,QAT,Brain Trauma Assessment Test,"Intended for in vitro diagnostic use as an aid in the evaluation of patients with suspected mild traumatic brain injury (TBI) in conjunction with other clinical information to assist in determining the need for radiologic (e.g., CT, MR) head imaging per current standard of care",IM,2018-02-14,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170045
DEN170046,23andMe PGS Genetic Health Risk Report for BRCA1/BRCA2 (Selected Variants),QAZ,Cancer Predisposition Risk Assessment System,A qualitative in vitro molecular diagnostic system used for the detection of select variants in specified cancer-related genes. The device is intended to be used on genomic DNA isolated from human specimens collected by the user. The results of the test provide users with a genetic health risk assessment for developing certain cancers. The test may not include all variants associated with a predisposition of developing cancer and is not intended to describe a person’s overall risk of developing any type of cancer nor to aid in determination of treatment or act as a substitute for recommended cancer screenings or appropriate follow-up. The device is for over-the-counter use.,PA,2018-03-06,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170046
DEN170047,Curetis Unyvero LRT Application,QBH,Lower Respiratory Microbial Nucleic Acid Detection System,Device to detect and identify microorganisms and associated resistance marker nucleic acids directly in respiratory specimens.,MI,2018-04-03,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170047
DEN170058,MSK-IMPACT (Integrated Mutation Profiling of Actionable Cancer Targets):a Hybridization-Capture Based Next Generation Sequencing Assay,PZM,Next Generation Sequencing Based Tumor Profiling Test,A next-generation sequencing based tumor profiling test is a qualitative in vitro diagnostic test intended to detect mutations in a broad panel of targeted genes that are somatically altered in malignant neoplasms from tumor specimens obtained from patients diagnosed with malignant solid neoplasms using targeted next-generation sequencing.,PA,2017-11-15,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170058
DEN170070,"MLL (KMT2A) Breakapart FISH Probe Kit; AML1 (RUNX1) Breakapart FISH Probe Kit, P53 (TP53) Deletion FISH Probe Kit; EVI1 (MECOM) Breakapart FISH Probe Kit, Del(20q) Deletion FISH Probe Kit; AML1/ETO (RUNX1/RUNXIT1)) Translocation, Dual Fusi, CBFB (CBFB) /MYH11 Translocation, Dual Fusion FISH Probe Kit,Del(5q)Deletion FISH Probe Kit; Del(7q)Deletion FISH Probe Kit",QDI,Fish Based Detection Of Chromosomal Abnormalities From Patients With Hematologic Malignancies,Fluorescence In Situ Hybridization (FISH) Test for Hematologic Malignancies is used to detect chromosomal abnormalities in human specimens from patients with hematologic malignancies. The test is indicated for the clinical management of patients consistent with World Health Organization (WHO) guidelines and in conjunction with other clinical and diagnostic criteria. The results are to be interpreted by a pathologist or equivalent professional.,MG,2018-12-21,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170070
DEN170080,Adaptive Biotechnologies clonoSEQ Assay,QDC,Dna-Based Test For Minimal Residual Disease For Hematologic Malignancies,A DNA-based test for minimal residual disease is an in vitro diagnostic device that identifies and quantifies specific nucleic acid sequences isolated from human specimens to estimate the percentage of cells that harbor the specific sequence(s). The test is intended to be used as an aid to measure minimal residual disease to monitor the change in burden of disease for patients with a hematological malignancy during and after treatment. The results should be interpreted by a pathologist or equivalent professional in conjunction with other clinical and laboratory findings.,PA,2018-09-28,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170080
DEN170081,MALDI Biotyper CA System,QBN,"Mass Spectrometry, Maldi Tof, Microorganism Identification, Cultured Isolates",The MALDI Biotyper CA System is a mass spectrometer system using matrix-assisted laser desorption/ionization - time of flight (MALDI-TOF) for the identification and differentiation of microorganisms cultured from human specimens.    The MALDI Biotyper CA System is a qualitative in vitro diagnostic device indicated for use in conjunction with other clinical and laboratory findings to aid in the diagnosis of bacterial and fungal infections.,MI,2018-04-20,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170081
DEN170088,Dexcom G6 Continuous Glucose Monitoring System,QBJ,"Integrated Continuous Glucose Monitoring System, Factory Calibrated","An integrated continuous glucose monitoring system (iCGM) is intended to automatically measure glucose in bodily fluids continuously or frequently for a specified period of time. iCGM systems are designed to reliably and securely transmit glucose measurement data to digitally connected devices, including automated insulin dosing systems, and are intended to be used alone or in conjunction with these digitally connected medical devices for the purpose of managing a disease or condition related to glycemic control.",CH,2018-03-27,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170088
DEN180004,picoAMH ELISA,QDH,Menopause Test System,A menopause test system is an in vitro diagnostic device intended to measure hormones or other analytes in human clinical specimens as an aid in the determination of menopausal status in women.,TX,2018-10-24,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180004
DEN180007,Miris Human Milk Analyzer,QEI,Breast Milk Macronutrients Test System,"A breast milk macronutrient test system is a device intended to quantitatively measure fat, protein, and total carbohydrate content in human breast milk. These measurements, in conjunction with other clinical assessments, may be used to aid in the nutritional management of infants.",CH,2018-12-21,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180007
DEN180014,WOUNDCHEK Bacterial Status,QFA,Assay For Detection Of Proteases In Chronic Wounds,"A device to detect bacterial protease activity in chronic wound fluid is a lateral flow prescription device that may include a sterile swab. The device is intended for use in patients as an aid in assessing the risk for non-healing of chronic venous, diabetic foot, and pressure ulcers associated with wounds where there are no signs of wound infection and where patient are asymptomatic for clinical signs of infection.",MI,2019-12-02,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180014
DEN180017,"Quantra Hemostasis Analyzer, QPlus Cartridge",QFR,Coagulation System For The Measurement Of Whole Blood Viscoelastic Properties,"A coagulation system for the measurement of whole blood viscoelastic properties is an in vitro diagnostic device used to evaluate blood coagulation, fibrinolysis, or both, in patients.",HE,2019-03-12,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180017
DEN180028,23andMe Personal Genome Service (PGS) Pharmacogenetic Reports,QDJ,Direct-To-Consumer Access Pharmacogenetic Assessment System,"A direct-to-consumer access pharmacogenetic assessment system is a qualitative in vitro molecular diagnostic system used for detecting variants in nucleic acids isolated from human specimens the purpose of identifying pharmacogenetic associations for the detected variants. This device is for in vitro diagnostic use only, and is intended for direct access testing by lay users.",CH,2018-10-31,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180028
DEN180030,QMS Plazomicin Immunoassay,QDR,"Plazomicin Test System, Immunoassay",A plazomicin test system is a device intended to measure plazomicin in human specimens. Measurements obtained by this device are used in monitoring levels of plazomicin to ensure appropriate therapy in patients with complicated urinary tract infection.,TX,2018-11-19,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180030
DEN180032,"Synovasure Alpha Defensin Lateral Flow Test Kit, Synovasure Alpha Defensin Lateral Flow Test Kit (5 Test), Synovasure Alpha Defensin Lateral Flow Test Kit (10 Test), Synovasure Alpha Defensin Lateral Flow Test Kit (30 Test), Synovasure Alpha Defensin Control Kit",QGN,Lateral Flow Immunochromatography Assay For Host Infection Biomarkers,"A device to detect and measure non-microbial analytes to aid in the detection and identification of localized human infections is identified as an in vitro device intended for the detection and qualitative measurement, quantitative measurement, or both of one or more non-microbial analytes in human clinical specimens to aid in the assessment, identification, or both of a localized microbial infection when used in conjunction with clinical signs and symptoms and other clinical and laboratory findings.",MI,2019-05-23,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180032
DEN180040,"Alethia CMV DNA Amplification Assay, Alethia CMV External Control Kit",QDZ,Qualitative Cytomegalovirus Nucleic Acid-Based Detection Device For Congenital Cytomegalovirus Infection,"The device is a qualitative, in vitro diagnostic test for the direct detection of Cytomegalovirus (CMV) DNA in saliva from newborn babies.",MI,2018-11-30,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180040
DEN180047,Aptima Mycoplasma genitalium Assay,QEP,Nucleic Acid Detection System For Non-Viral Microorganism(S) Causing Sexually Transmitted Infections,A device to detect nucleic acids from non-viral microorganism(s) causing sexually transmitted infections is an in vitro diagnostic device intended for the detection and identification of nucleic acids from non-viral microorganism(s) in clinical specimens collected from patients suspected of sexually transmitted infections. The device is intended to aid in the diagnosis of non-viral sexually transmitted infections in conjunction with other clinical and laboratory data.,MI,2019-01-23,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180047
DEN180056,GSP Neonatal Creatine Kinase - MM kit,QJE,Muscular Dystrophy Newborn Screening Test,A muscular dystrophy newborn screening test is intended to measure creatine kinase levels obtained from dried blood spot specimens on filter paper from newborns as an aid in screening newborns for muscular dystrophy.,CH,2019-12-12,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180056
DEN180058,t:slim X2 insulin pump with interoperable technology,QFG,Alternate Controller Enabled Insulin Infusion Pump,"An alternate controller enabled insulin infusion pump (ACE insulin pump) is a device intended for the infusion of insulin into a patient. The ACE insulin pump may include basal and bolus drug delivery at set or variable rates. ACE insulin pumps are designed to reliably and securely communicate with external devices, such as automated insulin dosing systems, to allow insulin delivery commands to be received, executed, and confirmed. ACE insulin pumps are intended to be used both alone and in conjunction with digitally connected medical devices for the purpose of insulin delivery.",CH,2019-02-14,配套器械／软件／质控：不计作独立marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180058
DEN180069,ZIKV Detect 2.0 IgM Capture ELISA,QFO,Zika Virus Serological Reagents,Zika virus serological reagents are devices that consist of antigens and antisera for the diagnosis of Zika virus infection in human clinical specimens from individuals that have signs and symptoms consistent with Zika virus infection and/or epidemiological risk factors.  The device aids in the presumptive clinical diagnosis of Zika virus infection in conjunction with other clinical and laboratory findings.,MI,2019-05-23,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN180069
DEN190016,cobas vivoDx MRSA,QIV,Culture-Based Short-Term Incubation Antimicrobial Resistance Assay,A system for detection of microorganisms and antimicrobial resistance using reporter expression is an in vitro diagnostic device intended for the detection and identification of live microorganisms and the detection of associated antimicrobial drug susceptibility or resistance in specimens from patients at risk of colonization or suspected of infection.,MI,2019-12-05,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN190016
DEN190023,AmplideX Fragile X Dx & Carrier Screen Kit,OYV,Inherited Nucleotide Repeat Disorder Dna Test,An inherited nucleotide repeat disorder DNA test is a prescription in vitro diagnostic test that is intended to detect and identify the number of nucleotide repeats in a gene using genomic DNA isolated from post-natal patient specimens. It is solely intended as an aid for carrier testing and as an aid for the diagnosis of inherited nucleotide repeat-associated disorders. Assay results are solely intended to be used in conjunction with other clinical and diagnostic findings. These tests do not include those indicated for use for fetal diagnostic testing or newborn screening.,MG,2020-02-21,检测／分型／评分项目；需按IFU拆解marker,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN190023
