product_code,device_name,regulation_number,device_class,medical_specialty,review_panel,n_510k_total,definition
JHT,"Chromatographic Separation, Cpk Isoenzymes",862.1215,2,Clinical Chemistry,CH,21,
JHW,"U.V. Method, Cpk Isoenzymes",862.1215,2,Clinical Chemistry,CH,27,
JHX,"Fluorometric Method, Cpk Or Isoenzymes",862.1215,2,Clinical Chemistry,CH,48,
JHY,"Colorimetric Method, Cpk Or Isoenzymes",862.1215,2,Clinical Chemistry,CH,40,
JIA,"Enzymatic Methods, Galactose",862.1310,1,Clinical Chemistry,CH,9,
JID,"Photometric Method, Ammonia",862.1065,1,Clinical Chemistry,CH,4,
JIF,"Enzymatic Method, Ammonia",862.1065,1,Clinical Chemistry,CH,30,
JIH,"Flame Photometry, Lithium",862.3560,2,Clinical Toxicology,TX,12,
JII,"Atomic Absorption, Lithium",862.3560,2,Clinical Toxicology,TX,3,
JIL,"Method, Enzymatic, Glucose (Urinary, Non-Quantitative)",862.1340,2,Clinical Chemistry,CH,81,
JIN,"Nitroprusside, Ketones (Urinary, Non-Quant.)",862.1435,1,Clinical Chemistry,CH,24,
JIO,"Blood, Occult, Colorimetric, In Urine",864.6550,2,Hematology,HE,11,
JIQ,"Turbidimetric Method, Protein Or Albumin (Urinary, Non-Quant.)",862.1645,1,Clinical Chemistry,CH,13,
JIR,"Indicator Method, Protein Or Albumin (Urinary, Non-Quant.)",862.1645,1,Clinical Chemistry,CH,38,
JIS,"Calibrator, Primary",862.1150,2,Clinical Chemistry,CH,130,
JIT,"Calibrator, Secondary",862.1150,2,Clinical Chemistry,CH,245,
JIX,"Calibrator, Multi-Analyte Mixture",862.1150,2,Clinical Chemistry,CH,302,
JIY,"Photometric Method, Iron (Non-Heme)",862.1410,1,Clinical Chemistry,CH,67,
JJB,"Azo-Dyes, Colorimetric, Bilirubin & Its Conjugates (Urinary, Non-Quant.)",862.1115,1,Clinical Chemistry,CH,5,
JJC,"Analyzer, Chemistry (Sequential Multiple, Continuous Flow) Clinical Use",862.2150,1,Clinical Chemistry,CH,32,
JJE,"Analyzer, Chemistry (Photometric, Discrete), For Clinical Use",862.2160,1,Clinical Chemistry,CH,208,
JJF,"Analyzer, Chemistry, Micro, For Clinical Use",862.2170,1,Clinical Chemistry,CH,57,
JJG,"Analyzer, Chemistry, Centrifugal, For Clinical Use",862.2140,1,Clinical Chemistry,CH,30,
JJH,Clinical Sample Concentrator,862.2310,1,Clinical Chemistry,CH,15,
JJJ,"Counter (Beta, Gamma) For Clinical Use",862.2320,1,Clinical Chemistry,CH,63,
JJM,Osmometer For Clinical Use,862.2730,1,Clinical Chemistry,CH,12,
JJQ,"Colorimeter, Photometer, Spectrophotometer For Clinical Use",862.2300,1,Clinical Chemistry,CH,258,
JJS,"Controls For Blood-Gases, (Assayed And Unassayed)",862.1660,1,Clinical Chemistry,CH,67,
JJT,Enzyme Controls (Assayed And Unassayed),862.1660,1,Clinical Chemistry,CH,97,
JJX,Single (Specified) Analyte Controls (Assayed And Unassayed),862.1660,1,Clinical Chemistry,CH,493,
JJY,"Multi-Analyte Controls, All Kinds (Assayed)",862.1660,1,Clinical Chemistry,CH,673,
JKA,"Tubes, Vials, Systems, Serum Separators, Blood Collection",862.1675,2,Clinical Chemistry,CH,236,
JKC,"Radioimmunoassay, Dehydroepiandrosterone (Free And Sulfate)",862.1245,1,Clinical Chemistry,CH,28,
JKD,"Radioimmunoassay, C-Peptides Of Proinsulin",862.1135,1,Clinical Chemistry,CH,10,
JKM,"Immunochemical, Bence-Jones Protein",866.5150,2,Immunology,IM,4,
JKR,"Radioimmunoassay, Calcitonin",862.1140,2,Clinical Chemistry,CH,20,
JKS,"Spectral Absorb. Curve, Oxyhemoglobin, Carboxyhemoglobin, Carbon-Monoxide",862.3220,1,Clinical Toxicology,TX,8,
JLB,"Atp And Creatine Kinase (Enzymatic), Creatine",862.1210,1,Clinical Chemistry,CH,3,
JLC,"Nitroprusside Reaction (Qualitative, Urine), Cystine",862.1240,1,Clinical Chemistry,CH,2,
JLS,"Radioimmunoassay, Progesterone",862.1620,1,Clinical Chemistry,CH,57,
JLW,"Radioimmunoassay, Thyroid-Stimulating Hormone",862.1690,2,Clinical Chemistry,CH,242,
JLX,"Radioimmunoassay, 17-Hydroxyprogesterone",862.1395,1,Clinical Chemistry,CH,19,
JMF,"Radioimmunoassay, Human Placental Lactogen",862.1585,2,Clinical Chemistry,CH,11,
JMG,"Radioimmunoassay (Two-Site Solid Phase), Ferritin",866.5340,2,Immunology,CH,24,
JMK,"Acid, Alpha-Ketobutyric And Nadh (U.V.), Hydroxybutyric Dehydrogenase",862.1380,1,Clinical Chemistry,CH,16,
JMM,"Column Chromatography & Color Development, Hydroxyproline",862.1400,1,Clinical Chemistry,CH,21,
JMO,Ferrozine (Colorimetric) Iron Binding Capacity,862.1415,1,Clinical Chemistry,CH,46,
JMT,"Diazo (Colorimetric), Nitrite (Urinary, Non-Quant)",862.1510,1,Clinical Chemistry,CH,13,
JNB,"Ninhydrin And L-Leucyl-L-Alanine (Fluorimetric), Phenylalanine",862.1555,2,Clinical Chemistry,CH,15,
JNF,"Ion-Exchange Resin, Ehrlich'S Reagent, Porphobilinogen",862.1590,1,Clinical Chemistry,CH,1,
JNL,"Immunochemical, Thyroglobulin Autoantibody",866.5870,2,Immunology,IM,22,
JNM,"Immunochemical, Transferrin",866.5880,2,Immunology,IM,3,
JNO,"N-Benzoyl-L-Arginine Ethyl Ester (U.V.), Trypsin",862.1725,1,Clinical Chemistry,CH,7,
JNT,"Chromatographic, Phospholipids",862.1575,1,Clinical Chemistry,CH,3,
JOX,"Analyzer, Heparin, Automated",864.5680,2,Hematology,HE,15,
JOY,"Device, Automated Cell-Locating",864.5260,2,Hematology,HE,35,
JOZ,"System, Automated Platelet Aggregation",864.5700,2,Hematology,HE,38,
JPA,"System, Multipurpose For In Vitro Coagulation Studies",864.5425,2,Hematology,HE,181,
JPD,Hemoglobin A2 Quantitation,864.7400,2,Hematology,HE,13,
JPE,"Antithrombin Iii, Two Stage Clotting Time Assay",864.7060,2,Hematology,HE,1,
JPZ,"Colorimetric Method, Gamma-Glutamyl Transpeptidase",862.1360,1,Clinical Chemistry,CH,33,
JQB,"Kinetic Method, Gamma-Glutamyl Transpeptidase",862.1360,1,Clinical Chemistry,CH,52,
JQE,"Resin, Ion-Exchange, Ascorbic Acid, Colorimetry, Iron Binding Capacity",862.1415,1,Clinical Chemistry,CH,6,
JQF,"Bathophenanthroline, Iron Binding Capacity",862.1415,1,Clinical Chemistry,CH,8,
JQT,"Densitometer/Scanner (Integrating, Reflectance, Tlc, Radiochromat.) Clinica",862.2400,1,Clinical Chemistry,CH,18,
JQX,"Nephelometer, For Clinical Use",862.2700,1,Clinical Chemistry,CH,14,
JQY,Ph Meter,862.2050,1,Clinical Chemistry,CH,8,
JRE,Refractometer For Clinical Use,862.2800,1,Clinical Chemistry,CH,13,
JRY,"Antiserum, Fluorescent, Epstein-Barr Virus",866.3235,1,Microbiology,MI,9,
JSF,"Culture Media, Single Biochemical Test",866.2320,1,Microbiology,MI,87,
JSI,"Culture Media, Selective And Differential",866.2360,1,Microbiology,MI,285,
JSN,"Culture Media, Propagating Transport",866.2390,1,Microbiology,MI,13,
JSO,"Culture Media, Antimicrobial Susceptibility Test, Excluding Mueller Hinton Agar",866.1700,2,Microbiology,MI,40,
JSP,"Kit, Anaerobic Identification",866.2660,1,Microbiology,MI,18,
JSS,"Kit, Identification, Enterobacteriaceae",866.2660,1,Microbiology,MI,49,
JST,"Kit, Fastidious Organisms",866.2660,1,Microbiology,MI,6,
JSW,"Kit, Identification, Glucose Nonfermenter",866.2660,1,Microbiology,MI,6,
JSY,"Kit, Identification, Mycobacteria",866.2660,1,Microbiology,MI,5,
JTN,"Susceptibility Test Discs, Antimicrobial",866.1620,2,Microbiology,MI,331,
JTO,"Discs, Strips And Reagents, Microorganism Differentiation",866.2660,1,Microbiology,MI,244,
JTS,"Stains, Microbiologic",864.1850,1,Hematology,MI,40,
JWH,"Prosthesis, Knee, Patellofemorotibial, Semi-Constrained, Cemented, Polymer/Metal/Polymer",888.3560,2,Orthopedic,OR,920,
JWO,"Device, Blood Volume Measuring",864.5950,2,Hematology,HE,3,
JWX,"Kit, Screening, Staphylococcus Aureus",866.2660,1,Microbiology,MI,20,
JWY,Manual Antimicrobial Susceptibility Test Systems,866.1640,2,Microbiology,MI,441,
JWZ,"Kit, Screening, Trichomonas",866.2660,1,Microbiology,MI,11,
JXA,"Kit, Screening, Urine",866.2660,1,Microbiology,MI,44,
JXB,"Kit, Identification, Yeast",866.2660,1,Microbiology,MI,16,
JXM,"Enzyme Immunoassay, Benzodiazepine",862.3170,2,Clinical Toxicology,TX,90,
JXN,"Enzyme Immunoassay, Propoxyphene",862.3700,2,Clinical Toxicology,TX,22,
JXO,"Enzyme Immunoassay, Cocaine",862.3250,2,Clinical Toxicology,TX,6,
JZG,"System, Test, Beta-2-Microglobulin Immunological",866.5630,2,Immunology,IM,53,
JZH,"Factor B, Antigen, Antiserum, Control",866.5320,2,Immunology,IM,6,
JZJ,"Prealbumin, Antigen, Antiserum, Control",866.5060,1,Immunology,IM,11,
JZO,"System, Test, Thyroid Autoantibody",866.5870,2,Immunology,IM,92,
JZS,Electrophoresis Instrumentation,866.4500,1,Immunology,IM,6,
JZW,Nephelometer,866.4540,1,Immunology,IM,11,
KEW,"Slides, Microscope",864.3010,1,Pathology,PA,8,
KFF,"Assay, Heparin",864.7525,2,Hematology,HE,46,
KHE,"Reagent, Occult Blood",864.6550,2,Hematology,HE,97,
KHG,Whole Blood Hemoglobin Determination,864.7500,2,Hematology,HE,39,
KHO,"Fluorometer, For Clinical Use",862.2560,1,Clinical Chemistry,CH,38,
KHP,"Acid, Lactic, Enzymatic Method",862.1450,1,Clinical Chemistry,CH,27,
KHQ,"Radioassay, Triiodothyronine Uptake",862.1715,2,Clinical Chemistry,CH,93,
KHS,"Enzymatic, Carbon-Dioxide",862.1160,2,Clinical Chemistry,CH,86,
KHW,"Antigen, Id, Ha, Cep, Entamoeba Histolytica & Rel. Spp.",866.3220,2,Microbiology,MI,18,
KLB,"Radioimmunoassay, Tobramycin",862.3900,2,Clinical Toxicology,TX,23,
KLI,"Enzyme Immunoassay, Non-Radiolabeled, Total Thyroxine",862.1700,2,Clinical Chemistry,CH,86,
KLN,"Radioimmunoassay, Cocaine Metabolite",862.3250,2,Clinical Toxicology,TX,14,
KLP,Amikacin Serum Assay,862.3035,2,Clinical Toxicology,TX,4,
KLQ,"Radioimmunoassay, Amikacin",862.3035,2,Clinical Toxicology,TX,20,
KLR,"Enzyme Immunoassay, Lidocaine",862.3555,2,Clinical Toxicology,TX,17,
KLS,"Enzyme Immunoassay, Theophylline",862.3880,2,Clinical Toxicology,TX,71,
KLT,"Enzyme Immunoassay, Carbamazepine",862.3645,2,Clinical Toxicology,TX,56,
KNK,"Acid, Uric, Uricase (Colorimetric)",862.1775,1,Clinical Chemistry,CH,118,
KQG,"Instrument, Coagulation",864.5400,2,Hematology,HE,14,
KQJ,"System, Fibrinogen Determination",864.7340,2,Hematology,HE,28,
KQN,"Radioassay, Angiotensin Converting Enzyme",862.1090,2,Clinical Chemistry,CH,8,
KQO,Automated Urinalysis System,862.2900,1,Clinical Chemistry,CH,46,
KQP,"Fluorescent Proc. (Qual.), Galactose-1-Phosphate Uridyl Transferase",862.1315,2,Clinical Chemistry,CH,7,
KSZ,"System, Test, Automated Blood Grouping And Antibody",864.9175,2,Hematology,HE,4,
KTB,"Device, Iontophoresis, Specific Uses",890.5525,2,Physical Medicine,PM,16,
KTL,Anti-Dna Indirect Immunofluorescent Solid Phase,866.5100,2,Immunology,IM,19,
KTN,"System, Test, Infectious Mononucleosis",866.5640,2,Immunology,MI,59,
KTQ,"Reagent, Complement",866.4100,1,Immunology,IM,6,
KWW,"Radioimmunoassay, Cholyglycine, Bile Acids",862.1177,2,Clinical Chemistry,CH,6,
KWX,"Radioimmunoassay, Conjugated Sulfalithocholic (Slcg) Acid, Bile Acids",862.1187,2,Clinical Chemistry,CH,2,
KXS,"Radioimmunoassay, Methaqualone",862.3630,2,Clinical Toxicology,TX,16,
KXT,"Enzyme Immunoassay, Digoxin",862.3320,2,Clinical Toxicology,TX,85,
KZR,"Chromatography (Liquid, Gel), Clinical Use",862.2260,1,Clinical Chemistry,TX,15,
LAA,"High Pressure Liquid Chromatography, Benzodiazepine",862.3170,2,Clinical Toxicology,TX,1,
LAF,"Gas Chromatography, Methamphetamine",862.3610,2,Clinical Toxicology,TX,49,
LAG,"High Pressure Liquid Chromatography, Methamphetamine",862.3610,2,Clinical Toxicology,TX,4,
LAN,"Enzyme Immunoassay, N-Acetylprocainamide",862.3320,2,Clinical Toxicology,TX,21,
LAO,"Enzyme Immunoassay, Methotrexate",,U,Unknown,TX,10,
LAR,"Enzyme Immunoassay, Procainamide",862.3320,2,Clinical Toxicology,TX,25,
LAS,Drug Specific Control Materials,862.3280,1,Clinical Toxicology,TX,83,
LAT,"Radioimmunoassay, Cannabinoid(S)",862.3870,2,Clinical Toxicology,TX,16,
LBR,"Ldl & Vldl Precipitation, Hdl",862.1475,1,Clinical Chemistry,CH,66,
LBS,"Ldl & Vldl Precipitation, Cholesterol Via Esterase-Oxidase, Hdl",862.1475,1,Clinical Chemistry,CH,80,
LBT,"Electrophoresis, Cholesterol Via Esterase-Oxidase, Hdl",862.1475,1,Clinical Chemistry,CH,8,
LBZ,"Enzyme Immunoassay, Quinidine",862.3320,2,Clinical Toxicology,TX,27,
LCD,"Enzyme Immunoassay, Gentamicin",862.3450,2,Clinical Toxicology,TX,37,
LCE,"Radioimmunoassay, Netilmicin (I-125)",862.3450,2,Clinical Toxicology,TX,6,
LCL,"Radioimmunoassay, Phencyclidine",,U,Unknown,TX,11,
LCM,"Enzyme Immunoassay, Phencyclidine",,U,Unknown,TX,88,
LCO,Platelet Factor 4 Radioimmunoassay,864.7695,2,Hematology,HE,13,
LCP,"Assay, Glycosylated Hemoglobin",864.7470,2,Hematology,HE,249,
LCQ,Fluorescent Immunoassay Gentamicin,862.3450,2,Clinical Toxicology,TX,19,
LCR,"Fluorescent Immunoassay, Tobramycin",862.3900,2,Clinical Toxicology,TX,17,
LCS,"Radioimmunoassay, Digoxin (125-I)",862.3320,2,Clinical Toxicology,TX,15,
LCX,"Kit, Test, Pregnancy, Hcg, Over The Counter",862.1155,2,Clinical Chemistry,CH,226,
LCY,"U.V. Spectrometry, Theophylline",862.3880,2,Clinical Toxicology,TX,3,
LDJ,"Enzyme Immunoassay, Cannabinoids",862.3870,2,Clinical Toxicology,TX,150,
LDM,"Instrumentation, High Pressure Liquid Chromatography",862.2260,1,Clinical Chemistry,TX,19,
LDO,"Enzymatic Radiochemical Assay, Tobramycin",862.3900,2,Clinical Toxicology,TX,3,
LDP,"Colorimetry, Acetaminophen",862.3030,2,Clinical Toxicology,TX,37,
LEG,"Enzyme Immunoassay, Valproic Acid",862.3645,2,Clinical Toxicology,TX,35,
LEH,"Radioimmunoassay, Vancomycin",862.3950,2,Clinical Toxicology,TX,31,
LET,"Fluorescent Immunoassay, Phenobarbital",862.3660,2,Clinical Toxicology,TX,8,
LFG,"Radioimmunoassay, Tricyclic Antidepressant Drugs",862.3910,2,Clinical Toxicology,TX,21,Intended to measure any of the tricyclic antidepressant drugs in serum or urine.
LFH,"U.V. Spectrometry, Tricyclic Antidepressant Drugs",862.3910,2,Clinical Toxicology,TX,6,
LFI,"High Pressure Liquid Chromatography, Tricyclic Antidepressant Drugs",862.3910,2,Clinical Toxicology,TX,4,
LFM,"Enzyme Immunoassay, Digitoxin",862.3300,2,Clinical Toxicology,TX,20,
LFN,"Nephelometric Inhibition Immunoassay, Phenobarbital",862.3660,2,Clinical Toxicology,TX,5,
LFQ,"Acid, Uric, Acid Reduction Of Ferric Ion",862.1775,1,Clinical Chemistry,CH,5,
LFR,"Glucose Dehydrogenase, Glucose",862.1345,2,Clinical Chemistry,CH,73,
LFW,"Fluorescence Polarization Immunoassay, Tobramycin",862.3900,2,Clinical Toxicology,TX,10,
LFX,"Enzyme Linked Immunoabsorbent Assay, Rubella",866.3510,2,Microbiology,MI,94,
LFY,"Enzyme Linked Immunoabsorbent Assay, Varicella-Zoster",866.3900,2,Microbiology,MI,17,
LFZ,"Enzyme Linked Immunoabsorbent Assay, Cytomegalovirus",866.3175,2,Microbiology,MI,58,
LGC,"Enzyme Linked Immunoabsorbent Assay, Herpes Simplex Virus, Non-Specific",866.3305,2,Microbiology,MI,38,
LGD,"Enzyme Linked Immunoabsorbent Assay, Toxoplasma Gondii",866.3780,2,Microbiology,MI,106,
LGI,"Fluorescence Polarization Immunoassay, Carbamazepine",862.3645,2,Clinical Toxicology,TX,3,
LGQ,"Fluorescence Polarization Immunoassay, Phenobarbital",862.3660,2,Clinical Toxicology,TX,12,
LGR,"Fluorescence Polarization Immunoassay, Diphenylhydantoin (Total)",862.3350,2,Clinical Toxicology,TX,15,
LGS,"Fluorescence Polarization Immunoassay, Theophylline",862.3880,2,Clinical Toxicology,TX,13,
LHJ,Staphylococcus Aureus Protein A Insoluble,866.3700,1,Microbiology,MI,3,
LHL,"Reagents, Antibody, Legionella, Direct & Indirect Fluorescent",866.3300,2,Microbiology,MI,18,
LIE,"Reagent/Device, Inoculum Calibration",866.1640,2,Microbiology,MI,7,
LIG,"Radioassay, Intrinsic Factor Blocking Antibody",862.1810,2,Clinical Chemistry,CH,8,
LIM,"Test, Screening, For D Positive Fetal Rbc'S",864.7455,2,Hematology,HE,2,
LIN,"Antisera, Conjugated Fluorescent, Cytomegalovirus",866.3175,2,Microbiology,MI,17,
LIP,"Enzyme Linked Immunoabsorption Assay, Treponema Pallidum",866.3830,2,Microbiology,MI,35,
LIQ,"Enzyme Linked Immunoabsorbent Assay, Rotavirus",866.3405,1,Microbiology,MI,33,
LIR,"Antigen, Enzyme Linked Immunoabsorbent Assay, Neisseria Gonorrhoeae",866.3390,2,Microbiology,MI,3,
LJB,"Enzyme Linked Immunoabsorbent Assay, Rubeola Igg",866.3520,1,Microbiology,MI,11,The qualitative detection of measles specific IgG antibodies in serum or plasma.
LJC,"Enzyme Linked Immunoabsorbent Assay, (Chlamydiae Group)",866.3120,1,Microbiology,MI,67,
LJM,"Antinuclear Antibody (Enzyme-Labeled), Antigen, Controls",866.5100,2,Immunology,IM,112,
LJN,"Antibody Igm, If, Epstein-Barr Virus",866.3235,1,Microbiology,MI,23,
LJO,"Antigen, Iha, Cytomegalovirus",866.3175,2,Microbiology,MI,12,
LJP,"Antiserum, Fluorescent, Chlamydia Trachomatis",866.3120,1,Microbiology,MI,35,
LJX,"Test, Urine Leukocyte",864.7675,1,Hematology,HE,7,
LJY,"Enzyme Linked Immunoabsorbent Assay, Mumps Virus",866.3380,1,Microbiology,MI,8,
LJZ,"Enzyme Linked Immunoabsorbent Assay, Mycoplasma Spp.",866.3375,1,Microbiology,MI,13,
LKH,"Antisera, Immunoperoxidase, Chlamydia Spp.",866.3120,1,Microbiology,MI,8,
LKJ,"Antinuclear Antibody, Antigen, Control",866.5100,2,Immunology,IM,50,
LKL,"Alpha-1-Acid-Glycoprotein, Antigen, Antiserum, Control",866.5420,1,Immunology,IM,11,
LKM,"Counter, Urine Particle",864.5200,2,Hematology,HE,15,
LKO,"Anti-Rnp Antibody, Antigen And Control",866.5100,2,Immunology,IM,23,
LKP,"Anti-Sm Antibody, Antigen And Control",866.5100,2,Immunology,IM,28,
LKQ,"Antibody Igm,If, Cytomegalovirus Virus",866.3175,2,Microbiology,MI,18,
LKT,"Respiratory Syncytial Virus, Antigen, Antibody, Ifa",866.3480,1,Microbiology,MI,23,
LLA,"Direct Agglutination Test, Toxoplasma Gondii",866.3780,2,Microbiology,MI,4,
LLH,"Reagents, Clostridium Difficile Toxin",866.2660,1,Microbiology,MI,42,
LLL,"Extractable Antinuclear Antibody, Antigen And Control",866.5100,2,Immunology,IM,182,
LLM,"Test, Antigen, Nuclear, Epstein-Barr Virus",866.3235,1,Microbiology,MI,27,
LNJ,"Analyzer, Chromosome, Automated",864.5260,2,Hematology,PA,11,
LNW,"Paper, Obstetric Ph",862.1550,1,Clinical Chemistry,OB,4,
LOJ,"Kit, Test,Alpha-Fetoprotein For Testicular Cancer",866.6010,2,Immunology,IM,17,
LOL,Hepatitis A Test (Antibody And Igm Antibody),866.3310,2,Microbiology,MI,26,
LON,"System, Test, Automated, Antimicrobial Susceptibility, Short Incubation",866.1645,2,Microbiology,MI,289,
LPS,Urinary Homocystine (Nonquantitative) Test System,862.1377,2,Clinical Chemistry,CH,29,
LQH,"Dna-Reagents, Legionella",866.3300,2,Microbiology,MI,2,
LQL,Gram Positive Identification Panel,866.2660,1,Microbiology,MI,11,
LQM,Gram Negative Identification Panel,866.2660,1,Microbiology,MI,7,
LQN,"Latex Agglutination Assay, Rubella",866.3510,2,Microbiology,MI,13,
LQP,Campylobacter Spp.,866.3110,1,Microbiology,MI,12,
LRG,Instrument For Auto Reader & Interpretation Of Overnight Suscept. Systems,866.1640,2,Microbiology,MI,45,
LRM,"Anti-Dna Antibody (Enzyme-Labeled), Antigen, Control",866.5100,2,Immunology,IM,29,
LSE,"Epstein-Barr Virus, Other",866.3235,1,Microbiology,MI,56,
LSK,"Dna-Reagents, Chlamydia",866.3120,1,Microbiology,MI,8,
LSL,"Dna-Reagents, Neisseria",866.3390,2,Microbiology,MI,45,
LSQ,"Reagent, Rickettsia Serological",866.3500,1,Microbiology,MI,4,
LSR,"Reagent, Borrelia Serological Reagent",866.3830,2,Microbiology,MI,112,
LSW,"Anti-Dna Antibody, Antigen And Control",866.5100,2,Immunology,IM,8,
LTJ,Prostate-Specific Antigen (Psa) For Management Of Prostate Cancers,866.6010,2,Immunology,IM,34,
LTK,"Test, Epithelial Ovarian Tumor-Associated Antigen (Ca125)",866.6010,2,Immunology,IM,26,
LTS,"Test Reagents, Neisseria Gonorrhoeae Biochemical",866.2660,1,Microbiology,MI,1,
LTT,"Panels, Test, Susceptibility, Antimicrobial",866.1640,2,Microbiology,MI,50,
LTX,"Discs, Elution",866.1620,2,Microbiology,MI,2,
LYF,Pneumocystis Carinii,866.3780,2,Microbiology,MI,7,
LYR,Helicobacter Pylori,866.3110,1,Microbiology,MI,91,
MAM,"Dna-Probe, B And T Lymphocyte",864.5220,2,Hematology,HE,1,
MCB,"Antigen, C. Difficile",866.2660,1,Microbiology,MI,10,
MCD,"Antigen, Ebv, Capsid",866.3235,1,Microbiology,MI,8,
MCE,Respiratory Syncytial Virus - Elisa,866.3480,1,Microbiology,MI,2,
MDB,"System, Blood Culturing",866.2560,1,Microbiology,MI,68,
MDK,"Dna-Probe, Reagents, Streptococcal",866.3740,1,Microbiology,MI,4,
MDU,"Antigen, Elisa, Cryptococcus",866.3165,2,Microbiology,MI,2,
MGA,"Alpha-1 Microglobulin, Antigen, Antiserum, Control",866.5400,1,Immunology,IM,2,
MHI,Giardia Spp.,866.3220,2,Microbiology,MI,27,
MHJ,Cryptosporidium Spp.,866.3220,2,Microbiology,MI,15,
MID,"System, Test, Anticardiolipin Immunological",866.5660,2,Immunology,IM,94,
MIF,Prothrombin Fragment 1.2,864.7320,2,Hematology,HE,6,
MIG,"Strip, Test Isoniazid",,U,Unknown,TX,2,
MIU,"Enzyme Linked Immunosorbent Assay, T. Cruzi",866.3870,1,Microbiology,MI,6,
MIZ,"Enzyme Linked Immunoabsorbent Assay, Histoplasma Capsulatum",866.3320,2,Microbiology,MI,2,
MJA,"Susceptibility Test Powders, Antimycobacterial",866.1640,2,Microbiology,MI,5,
MJE,"Culture Media, Antifungal, Susceptibility Test",866.1700,2,Microbiology,MI,1,
MJH,"Legionella, Spp., Elisa",866.3300,2,Microbiology,MI,10,
MJL,"Eia, Blastomyces Dermatitidis",866.3060,2,Microbiology,MI,2,
MJM,"Dna Probe, Gardnerella Vaginalis",866.2660,1,Microbiology,MI,2,
MJZ,"Kit, Direct Antigen, Positive Control",862.1660,1,Clinical Chemistry,MI,3,
MKU,"Enzyme Immunoassay, Nicotine And Nicotine Metabolites",862.3220,1,Clinical Toxicology,TX,7,
MKW,Cyclosporine,862.1235,2,Clinical Chemistry,TX,9,
MKZ,"Dna Probe, Nucleic Acid Amplification, Chlamydia",866.3120,1,Microbiology,MI,19,
MLA,"Dna Probe, Yeast",866.2660,1,Microbiology,MI,2,
MLE,"Enzyme Immunoassay, Antiparietal Cell Antibody, Antigen, Control",866.5110,2,Immunology,IM,3,
MLK,"Thin Layer Chromatography, Tricyclic Antidepressant Drugs",862.3910,2,Clinical Toxicology,TX,2,
MLL,Hemoglobin C (Abnormal Hemoglobin Variant),864.7415,2,Hematology,HE,1,
MLM,"Enzyme Immunoassay, Tracrolimus",862.1678,2,Clinical Chemistry,TX,9,
MMI,"Immunoassay Method, Troponin Subunit",862.1215,2,Clinical Chemistry,CH,95,
MMW,"System, Test, Tumor Marker, Monitoring, Bladder",866.6010,2,Immunology,IM,9,
MOB,"Test System, Antineutrophil Cytoplasmic Antibodies (Anca)",866.5660,2,Immunology,IM,75,
MOI,"System, Test, Immunological, Antigen, Tumor",866.6010,2,Immunology,IM,28,
MOJ,"Fluorescence Polarization Immunoassay, Diphenylhydantoin (Free)",862.3350,2,Clinical Toxicology,TX,3,
MPG,Urinary Carbohydrate Analysis Kit,862.1505,1,Clinical Chemistry,CH,1,
MQA,Anti-Ribosomal P Antibodies,866.5100,2,Immunology,IM,4,
MQM,Bilirubin (Total And Unbound) In The Neonate Test System,862.1113,1,Clinical Chemistry,CH,17,
MRG,"System, Test, Vitamin D",862.1825,2,Clinical Chemistry,CH,46,
MRR,"System, Test, Low Density, Lipoprotein",862.1475,1,Clinical Chemistry,CH,31,
MRS,"Test System, Nicotine, Cotinine, Metabolites",862.3220,1,Clinical Toxicology,TX,3,
MSJ,Apolipoproteins,862.1475,1,Clinical Chemistry,CH,50,
MSL,"System, Test, Topiramatee",862.3350,2,Clinical Toxicology,TX,1,
MSQ,"Test, Urea (Breath Or Blood)",866.3110,1,Microbiology,MI,17,
MST,"Antibodies, Gliadin",866.5750,2,Immunology,IM,42,
MSV,"System,Test,Antibodies,B2 - Glycoprotein I (B2 - Gpi)",866.5660,2,Immunology,IM,46,
MSW,"System, Test, Thyroglobulin",866.6010,2,Immunology,IM,13,
MVJ,"Devices, Measure, Antibodies To Glomerular Basement Membrane (Gbm)",866.5660,2,Immunology,IM,6,
MVM,"Autoantibodies, Endomysial(Tissue Transglutaminase)",866.5660,2,Immunology,IM,40,
MVO,"Kit, Test, Multiple, Drugs Of Abuse, Over The Counter",,U,Unknown,TX,18,
MVS,"Kit, Typing, Hla-Dqb",866.5660,2,Immunology,HE,1,
MXB,"Test, Vaginal, Bacterial Sialidase",866.2660,1,Microbiology,CH,2,
MXJ,"Enzyme Linked Immunosorbent Assay, Herpes Simplex Virus, Hsv-1",866.3305,2,Microbiology,MI,20,
MXZ,"Immunohistochemistry Assay, Antibody, Progesterone Receptor",864.1860,2,Hematology,PA,13,
MYA,"Immunohistochemistry Antibody Assay, Estrogen Receptor",864.1860,2,Hematology,PA,12,
MYF,"Enzyme Linked Immunosorbent Assay, Herpes Simplex Virus, Hsv-2",866.3305,2,Microbiology,MI,10,
MYI,"System, Test, Genotypic Detection, Resistant Markers, Staphylococcus Colonies",866.1640,2,Microbiology,MI,10,
MYT,"Biosensor, Immunoassay, Cpk Or Isoenzymes",862.1215,2,Clinical Chemistry,CH,3,
MZU,"System, Test, Sodium, Enzymatic Method",862.1665,2,Clinical Chemistry,CH,2,
MZV,"Test, System, Potassium, Enzymatic Method",862.1600,2,Clinical Chemistry,CH,4,
NAK,"System, Test, Biotinidase",862.1118,2,Clinical Chemistry,CH,5,
