gene,protein_name,topology_class,max_ecd_segment,uniprot_subcellular,exclusion_reason
SYPL1,Synaptophysin-like protein 1,multi-pass (4 TM),61,Cytoplasmic vesicle membrane (Multi-pass membrane protein);Melanosome,localisation: no plasma-membrane entry (cytoplasmic vesicle membrane; melanosome)
TAS2R4,Taste receptor type 2 member 4,multi-pass (7 TM),23,"Cell projection, cilium membrane;Membrane (Multi-pass membrane protein)",no extracellular segment >= 25 aa
TFPI,Tissue factor pathway inhibitor,no TM (GPI/peripheral),276,"Secreted;Microsome membrane (Lipid-anchor, GPI-anchor)",localisation: no plasma-membrane entry (secreted; microsome membrane)
TLR3,Toll-like receptor 3,type I,681,Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endosome membrane,localisation: no plasma-membrane entry (endoplasmic reticulum membrane; endosome membrane)
TLR7,Toll-like receptor 7,type I,813,"Cytoplasmic vesicle, phagosome;Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endosome;Lysosome","localisation: no plasma-membrane entry (cytoplasmic vesicle, phagosome; endoplasmic reticulum membrane; endosome)"
TLR9,Toll-like receptor 9,type I,786,"Cytoplasmic vesicle, phagosome;Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endosome;Lysosome","localisation: no plasma-membrane entry (cytoplasmic vesicle, phagosome; endoplasmic reticulum membrane; endosome)"
TM9SF1,Transmembrane 9 superfamily member 1,multi-pass (9 TM),202,"Cytoplasmic vesicle, autophagosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein)","localisation: no plasma-membrane entry (cytoplasmic vesicle, autophagosome membrane; lysosome membrane)"
TM9SF2,Transmembrane 9 superfamily member 2,multi-pass (9 TM),267,Endosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endosome membrane)
TMED7,Transmembrane emp24 domain-containing protein 7,type I,151,"Cytoplasmic vesicle, COPI-coated vesicle membrane (Single-pass type I membrane protein);Cytoplasmic vesicle, COPII-coated vesicle membrane (Single-pass type I membrane protein);Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endoplasmic reticulum-Golgi intermediate compartment membrane (Single-pass type I membrane protein);Golgi apparatus, cis-Golgi network membrane (Single-pass type I membrane protein)","localisation: no plasma-membrane entry (cytoplasmic vesicle, copi-coated vesicle membrane; cytoplasmic vesicle, copii-coated vesicle membrane; endoplasmic reticulum membrane)"
TMEM106B,Transmembrane protein 106B,type II,157,Late endosome membrane (Single-pass type II membrane protein);Lysosome membrane (Single-pass type II membrane protein),localisation: no plasma-membrane entry (late endosome membrane; lysosome membrane)
TMEM132A,Transmembrane protein 132A,type I,815,Endoplasmic reticulum membrane (Single-pass type I membrane protein);Golgi apparatus membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane; golgi apparatus membrane)
TMEM63A,CSC1-like protein 1,multi-pass (10 TM),87,Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
TMEM9,Transmembrane protein 9,type I,69,Late endosome membrane (Single-pass type I membrane protein);Lysosome membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (late endosome membrane; lysosome membrane)
TMX3,Protein disulfide-isomerase TMX3,type I,350,Endoplasmic reticulum membrane (Single-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
TPCN1,Two pore calcium channel protein 1,multi-pass (12 TM),35,Endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endosome membrane; lysosome membrane)
TRAT1,T-cell receptor-associated transmembrane adapter 1,type I,11,Cell membrane (Single-pass type III membrane protein),no extracellular segment >= 25 aa
TRPV2,Transient receptor potential cation channel subfamily V member 2,multi-pass (6 TM),23,Cell membrane (Multi-pass membrane protein);Cytoplasm;Melanosome,no extracellular segment >= 25 aa
TRPV4,Transient receptor potential cation channel subfamily V member 4,multi-pass (6 TM),22,"Cell junction, adherens junction;Cell membrane (Multi-pass membrane protein);Cell membrane;Cell membrane",no extracellular segment >= 25 aa
TSPAN1,Tetraspanin-1,multi-pass (4 TM),102,Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
TYR,Tyrosinase,type I,456,Melanosome membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (melanosome membrane)
TYRP1,"5,6-dihydroxyindole-2-carboxylic acid oxidase",type I,453,Melanosome membrane (Single- pass type I membrane protein),localisation: no plasma-membrane entry (melanosome membrane)
UNC93B1,Protein unc-93 homolog B1,multi-pass (12 TM),43,"Cytoplasmic vesicle, phagosome;Endoplasmic reticulum membrane (Multi-pass membrane protein);Endosome;Lysosome","localisation: no plasma-membrane entry (cytoplasmic vesicle, phagosome; endoplasmic reticulum membrane; endosome)"
UPK3A,Uroplakin-3a,type I,189,Endoplasmic reticulum membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
