gene,uniprot,protein_name,ensembl_gene,surface_evidence,cspa_confirmed,topology,topology_class,n_tm,ecd_length,max_ecd_segment,cyto_length,has_signal_peptide,accessible_sites,almen_class,uniprot_subcellular,ml_score
CACNG1,Q06432,Voltage-dependent calcium channel gamma-1 subunit,ENSG00000108878,machine_learning,False,SP:1-29;NC:30-104;TM:105-129;CY:130-140;TM:141-158;NC:159-177;TM:178-202;CY:203-222,multi-pass (3 TM),3,94,75,31,True,3.0,Transporters,Membrane (Multi-pass membrane protein),0.8064
CACNG2,Q9Y698,Voltage-dependent calcium channel gamma-2 subunit,ENSG00000166862,machine_learning,False,CY:1-11;TM:12-33;NC:34-104;TM:105-125;CY:126-134;TM:135-158;NC:159-177;TM:178-202;CY:203-323,multi-pass (4 TM),4,90,71,141,False,4.0,Transporters,Membrane (Multi-pass membrane protein),0.7804
CACNG3,O60359,Voltage-dependent calcium channel gamma-3 subunit,ENSG00000006116,machine_learning,False,CY:1-8;TM:9-30;NC:31-104;TM:105-124;CY:125-133;TM:134-158;NC:159-177;TM:178-201;CY:202-315,multi-pass (4 TM),4,93,74,131,False,6.0,Transporters,Membrane (Multi-pass membrane protein),0.7186
CACNG4,Q9UBN1,Voltage-dependent calcium channel gamma-4 subunit,ENSG00000075461,machine_learning,False,CY:1-8;TM:9-29;NC:30-107;TM:108-128;CY:129-136;TM:137-161;NC:162-182;TM:183-207;CY:208-327,multi-pass (4 TM),4,99,78,136,False,4.0,Transporters,Cell membrane (Multi-pass membrane protein),0.7685
CACNG5,Q9UF02,Voltage-dependent calcium channel gamma-5 subunit,ENSG00000075429,machine_learning,False,SP:1-29;NC:30-99;TM:100-117;CY:118-128;TM:129-154;NC:155-175;TM:176-201;CY:202-275,multi-pass (3 TM),3,91,70,85,True,5.0,Transporters,"Cell junction, synapse, postsynaptic cell membrane, postsynaptic density;Membrane (Multi-pass membrane protein)",0.7964
CACNG6,Q9BXT2,Voltage-dependent calcium channel gamma-6 subunit,ENSG00000130433,machine_learning,False,CY:1-40;TM:41-62;NC:63-138;TM:139-162;CY:163-168;TM:169-189;NC:190-217;TM:218-242;CY:243-260,multi-pass (4 TM),4,104,76,64,False,6.0,Transporters,Membrane (Multi-pass membrane protein),0.6487
CACNG7,P62955,Voltage-dependent calcium channel gamma-7 subunit,ENSG00000105605,machine_learning,False,SP:1-29;NC:30-100;TM:101-120;CY:121-128;TM:129-154;NC:155-174;TM:175-201;CY:202-275,multi-pass (3 TM),3,91,71,82,True,2.0,Transporters,Membrane (Multi-pass membrane protein),0.8323
CACNG8,Q8WXS5,Voltage-dependent calcium channel gamma-8 subunit,ENSG00000142408,experimental,False,CY:1-20;TM:21-40;NC:41-128;TM:129-149;CY:150-158;TM:159-182;NC:183-203;TM:204-228;CY:229-425,multi-pass (4 TM),4,109,88,226,False,6.0,Transporters,"Cell junction, synapse, postsynaptic cell membrane, postsynaptic density;Membrane (Multi-pass membrane protein)",0.7175
CADM1,Q9BY67,Cell adhesion molecule 1,ENSG00000182985,experimental,True,SP:1-19;NC:20-374;TM:375-396;CY:397-442,type I,1,355,355,46,True,11.0,Miscellaneous,"Cell junction, synapse;Cell membrane (Single-pass type I membrane protein)",0.8105
CADM2,Q8N3J6,Cell adhesion molecule 2,ENSG00000175161,experimental,True,SP:1-24;NC:25-367;TM:368-389;CY:390-435,type I,1,343,343,46,True,11.0,Miscellaneous,"Cell junction, synapse;Cell membrane (Single-pass type I membrane protein);Cell projection, axon",0.9626
CADM3,Q8N126,Cell adhesion molecule 3,ENSG00000162706,experimental,True,SP:1-26;NC:27-328;TM:329-354;CY:355-398,type I,1,302,302,44,True,9.0,Miscellaneous,Cell junction;Cell membrane (Single-pass type I membrane protein),0.8156
CADM4,Q8NFZ8,Cell adhesion molecule 4,ENSG00000105767,machine_learning,True,SP:1-24;NC:25-322;TM:323-347;CY:348-388,type I,1,298,298,41,True,9.0,Unclassified,Membrane (Single-pass type I membrane protein),0.9341
CALCR,P30988,Calcitonin receptor,ENSG00000004948,machine_learning,False,SP:1-42;NC:43-165;TM:166-191;CY:192-221;TM:222-239;NC:240-259;TM:260-283;CY:284-294;TM:295-318;NC:319-330;TM:331-354;CY:355-374;TM:375-396;NC:397-407;TM:408-428;CY:429-508,multi-pass (7 TM),7,166,123,141,True,14.0,Receptors,Cell membrane (Multi-pass membrane protein),0.7645
CALCRL,Q16602,Calcitonin gene-related peptide type 1 receptor,ENSG00000064989,experimental,True,SP:1-24;NC:25-141;TM:142-166;CY:167-178;TM:179-198;NC:199-217;TM:218-241;CY:242-252;TM:253-273;NC:274-291;TM:292-313;CY:314-333;TM:334-355;NC:356-366;TM:367-387;CY:388-461,multi-pass (7 TM),7,165,117,117,True,13.0,Receptors,Cell membrane (Multi-pass membrane protein),0.9318
CALHM2,Q9HA72,Calcium homeostasis modulator protein 2,ENSG00000138172,machine_learning,False,CY:1-20;TM:21-42;NC:43-53;TM:54-75;CY:76-95;TM:96-118;NC:119-185;TM:186-205;CY:206-323,multi-pass (4 TM),4,78,67,158,False,3.0,Enzymes,Membrane (Multi-pass membrane protein),0.6587
CALY,Q9NYX4,Neuron-specific vesicular protein calcyon,ENSG00000130643,experimental,False,NC:1-85;TM:86-106;CY:107-217,type I,1,85,85,111,False,2.0,Unclassified,Cell membrane (Single-pass membrane protein);Cytoplasmic vesicle membrane (Single-pass membrane protein),0.3041
CASD1,Q96PB1,CAS1 domain-containing protein 1,ENSG00000127995,machine_learning,True,SP:1-41;NC:42-311;TM:312-333;CY:334-362;TM:363-383;NC:384-395;TM:396-416;CY:417-436;TM:437-457;NC:458-462;TM:463-481;CY:482-492;TM:493-509;NC:510-513;TM:514-535;CY:536-546;TM:547-570;NC:571-601;TM:602-620;CY:621-640;TM:641-658;NC:659-669;TM:670-688;CY:689-698;TM:699-719;NC:720-725;TM:726-750;CY:751-770;TM:771-791;NC:792-797,multi-pass (14 TM),14,345,270,121,True,18.0,Unclassified,Membrane (Multi-pass membrane protein),0.6387
CASR,P41180,Extracellular calcium-sensing receptor,ENSG00000036828,machine_learning,False,SP:1-19;NC:20-612;TM:613-637;CY:638-649;TM:650-670;NC:671-681;TM:682-703;CY:704-723;TM:724-744;NC:745-770;TM:771-792;CY:793-803;TM:804-826;NC:827-837;TM:838-859;CY:860-1078,multi-pass (7 TM),7,641,593,262,True,27.0,Receptors,Cell membrane (Multi-pass membrane protein),0.9401
CATSPERD,Q86XM0,Cation channel sperm-associated protein subunit delta,ENSG00000174898,machine_learning,False,SP:1-20;NC:21-718;TM:719-741;CY:742-798,type I,1,698,698,57,True,25.0,Unclassified,"Cell projection, cilium, flagellum membrane (Single-pass type I membrane protein)",0.8224
CATSPERG,Q6ZRH7,Cation channel sperm-associated protein subunit gamma,ENSG00000099338,machine_learning,False,SP:1-37;NC:38-1066;TM:1067-1092;CY:1093-1159,type I,1,1029,1029,67,True,46.0,Unclassified,Membrane (Single-pass type I membrane protein),0.7485
CCKAR,P32238,Cholecystokinin receptor type A,ENSG00000163394,machine_learning,False,NC:1-44;TM:45-67;CY:68-77;TM:78-99;NC:100-118;TM:119-137;CY:138-157;TM:158-179;NC:180-208;TM:209-232;CY:233-311;TM:312-332;NC:333-351;TM:352-372;CY:373-428,multi-pass (7 TM),7,111,44,165,False,5.0,Receptors,Cell membrane (Multi-pass membrane protein),0.986
CCKBR,P32239,Gastrin/cholecystokinin type B receptor,ENSG00000110148,machine_learning,False,NC:1-57;TM:58-80;CY:81-90;TM:91-112;NC:113-131;TM:132-150;CY:151-170;TM:171-191;NC:192-217;TM:218-241;CY:242-330;TM:331-351;NC:352-370;TM:371-392;CY:393-447,multi-pass (7 TM),7,121,57,174,False,3.0,Receptors,Cell membrane (Multi-pass membrane protein),0.8902
CCR1,P32246,C-C chemokine receptor type 1,ENSG00000163823,experimental,False,NC:1-39;TM:40-60;CY:61-71;TM:72-91;NC:92-110;TM:111-134;CY:135-145;TM:146-170;NC:171-204;TM:205-227;CY:228-238;TM:239-261;NC:262-283;TM:284-304;CY:305-355,multi-pass (7 TM),7,114,39,84,False,5.0,Receptors,Cell membrane (Multi-pass membrane protein),0.9497
CCR10,P46092,C-C chemokine receptor type 10,ENSG00000184451,experimental,False,NC:1-48;TM:49-69;CY:70-80;TM:81-103;NC:104-117;TM:118-139;CY:140-159;TM:160-179;NC:180-207;TM:208-230;CY:231-245;TM:246-269;NC:270-289;TM:290-314;CY:315-362,multi-pass (7 TM),7,110,48,94,False,3.0,Receptors,Cell membrane (Multi-pass membrane protein),0.738
CCR2,P41597,C-C chemokine receptor type 2,ENSG00000121807,machine_learning,False,NC:1-47;TM:48-68;CY:69-79;TM:80-99;NC:100-118;TM:119-141;CY:142-152;TM:153-177;NC:178-206;TM:207-229;CY:230-241;TM:242-265;NC:266-288;TM:289-308;CY:309-374,multi-pass (7 TM),7,118,47,100,False,5.0,Unclassified,Cell membrane (Multi-pass membrane protein),0.9641
CCR3,P51677,C-C chemokine receptor type 3,ENSG00000183625,machine_learning,False,NC:1-39;TM:40-60;CY:61-71;TM:72-91;NC:92-110;TM:111-134;CY:135-145;TM:146-169;NC:170-201;TM:202-225;CY:226-238;TM:239-261;NC:262-280;TM:281-304;CY:305-355,multi-pass (7 TM),7,109,39,86,False,4.0,Receptors,Cell membrane (Multi-pass membrane protein),0.7385
CCR4,P51679,C-C chemokine receptor type 4,ENSG00000183813,experimental,True,NC:1-44;TM:45-65;CY:66-76;TM:77-99;NC:100-111;TM:112-133;CY:134-150;TM:151-174;NC:175-205;TM:206-225;CY:226-242;TM:243-264;NC:265-283;TM:284-307;CY:308-360,multi-pass (7 TM),7,106,44,98,False,9.0,Receptors,Cell membrane (Multi-pass membrane protein),0.9798
CCR5,P51681,C-C chemokine receptor type 5,ENSG00000160791,machine_learning,False,NC:1-35;TM:36-56;CY:57-67;TM:68-87;NC:88-105;TM:106-128;CY:129-141;TM:142-166;NC:167-197;TM:198-221;CY:222-233;TM:234-257;NC:258-279;TM:280-300;CY:301-352,multi-pass (7 TM),7,106,35,88,False,4.0,Unclassified,Cell membrane (Multi-pass membrane protein),0.9741
CCR6,P51684,C-C chemokine receptor type 6,ENSG00000112486;ENSG00000272980,experimental,False,NC:1-50;TM:51-73;CY:74-83;TM:84-104;NC:105-123;TM:124-145;CY:146-165;TM:166-185;NC:186-216;TM:217-240;CY:241-253;TM:254-279;NC:280-299;TM:300-319;CY:320-374,multi-pass (7 TM),7,120,50,98,False,3.0,Receptors,Cell membrane (Multi-pass membrane protein),0.989
CCR7,P32248,C-C chemokine receptor type 7,ENSG00000126353,experimental,True,SP:1-24;NC:25-59;TM:60-85;CY:86-95;TM:96-117;NC:118-130;TM:131-151;CY:152-170;TM:171-192;NC:193-225;TM:226-249;CY:250-260;TM:261-279;NC:280-309;TM:310-331;CY:332-378,multi-pass (7 TM),7,111,35,87,True,5.0,Receptors,Cell membrane (Multi-pass membrane protein),0.9548
CCR8,P51685,C-C chemokine receptor type 8,ENSG00000179934,experimental,False,NC:1-36;TM:37-62;CY:63-72;TM:73-94;NC:95-110;TM:111-130;CY:131-150;TM:151-172;NC:173-201;TM:202-219;CY:220-238;TM:239-260;NC:261-279;TM:280-303;CY:304-355,multi-pass (7 TM),7,100,36,101,False,2.0,Receptors,Cell membrane (Multi-pass membrane protein),0.7861
CCR9,P51686,C-C chemokine receptor type 9,ENSG00000173585,experimental,False,NC:1-53;TM:54-75;CY:76-85;TM:86-108;NC:109-127;TM:128-147;CY:148-166;TM:167-186;NC:187-218;TM:219-241;CY:242-253;TM:254-277;NC:278-299;TM:300-320;CY:321-369,multi-pass (7 TM),7,126,53,90,False,5.0,Receptors,Cell membrane (Multi-pass membrane protein),0.9485
CCRL2,O00421,C-C chemokine receptor-like 2,ENSG00000121797,machine_learning,False,NC:1-39;TM:40-64;CY:65-75;TM:76-95;NC:96-106;TM:107-126;CY:127-145;TM:146-165;NC:166-201;TM:202-222;CY:223-234;TM:235-260;NC:261-282;TM:283-303;CY:304-344,multi-pass (7 TM),7,108,39,83,False,6.0,Receptors,Cell membrane (Multi-pass membrane protein),0.8822
CD101,Q93033,Immunoglobulin superfamily member 2,ENSG00000134256,machine_learning,True,SP:1-20;NC:21-954;TM:955-979;CY:980-1021,type I,1,934,934,42,True,42.0,Receptors,Membrane (Single-pass type I membrane protein),0.8463
CD109,Q6YHK3,CD109 antigen,ENSG00000156535,experimental,True,SP:1-21;NC:22-1445,no TM (GPI/peripheral),0,1424,1424,0,True,60.0,,"Cell membrane (Lipid-anchor, GPI-anchor)",0.7305
CD14,P08571,Monocyte differentiation antigen CD14,ENSG00000170458,experimental,True,SP:1-19;NC:20-375,no TM (GPI/peripheral),0,356,356,0,True,9.0,,"Cell membrane (Lipid-anchor, GPI-anchor)",0.7585
CD151,P48509,CD151 antigen,ENSG00000177697,machine_learning,False,CY:1-20;TM:21-43;NC:44-57;TM:58-81;CY:82-91;TM:92-115;NC:116-221;TM:222-245;CY:246-253,multi-pass (4 TM),4,120,106,38,False,6.0,Miscellaneous,Membrane (Multi-pass membrane protein),0.7465
CD160,O95971,CD160 antigen,ENSG00000117281,experimental,True,SP:1-23;NC:24-181,no TM (GPI/peripheral),0,158,158,0,True,6.0,,"Cell membrane (Lipid-anchor, GPI-anchor)",0.6188
CD163,Q86VB7,Scavenger receptor cysteine-rich type 1 protein M130,ENSG00000177575,experimental,True,SP:1-45;NC:46-1050;TM:1051-1071;CY:1072-1156,type I,1,1005,1005,85,True,39.0,Unclassified,Cell membrane (Single-pass type I membrane protein);Secreted,0.9465
CD163L1,Q9NR16,Scavenger receptor cysteine-rich type 1 protein M160,ENSG00000177675,machine_learning,False,SP:1-37;NC:38-1359;TM:1360-1382;CY:1383-1453,type I,1,1322,1322,71,True,53.0,Unclassified,Cell membrane (Single-pass type I membrane protein);Cell membrane (Single-pass type I membrane protein);Secreted,0.9521
CD164,Q04900,Sialomucin core protein 24,ENSG00000135535,experimental,True,SP:1-23;NC:24-162;TM:163-184;CY:185-197,type I,1,139,139,13,True,4.0,Unclassified,Cell membrane (Single-pass type I membrane protein);Endosome membrane (Single-pass type I membrane protein);Lysosome membrane (Single-pass type I membrane protein);Secreted,0.8689
CD164L2,Q6UWJ8,CD164 sialomucin-like 2 protein,ENSG00000174950,machine_learning,False,SP:1-29;NC:30-139;TM:140-163;CY:164-174,type I,1,110,110,11,True,6.0,Unclassified,Membrane (Single-pass type I membrane protein),0.7725
CD177,Q8N6Q3,CD177 antigen,ENSG00000204936,experimental,False,SP:1-21;NC:22-437,no TM (GPI/peripheral),0,416,416,0,True,8.0,,"Cell membrane (Lipid-anchor, GPI-anchor)",0.7944
CD180,Q99467,CD180 antigen,ENSG00000134061,experimental,True,SP:1-18;NC:19-626;TM:627-653;CY:654-661,type I,1,608,608,8,True,14.0,Receptors,Cell membrane (Single-pass type I membrane protein),0.6457
CD19,P15391,B-lymphocyte antigen CD19,ENSG00000177455,experimental,True,SP:1-20;NC:21-292;TM:293-315;CY:316-556,type I,1,272,272,241,True,13.0,Unclassified,Membrane (Single-pass type I membrane protein),0.8621
CD1A,P06126,T-cell surface glycoprotein CD1a,ENSG00000158477,machine_learning,False,SP:1-18;NC:19-299;TM:300-321;CY:322-327,type I,1,281,281,6,True,15.0,Receptors,Cell membrane (Single-pass type I membrane protein);Endosome membrane,0.7605
CD1B,P29016,T-cell surface glycoprotein CD1b,ENSG00000158485,experimental,True,SP:1-18;NC:19-300;TM:301-323;CY:324-333,type I,1,282,282,10,True,13.0,Receptors,Cell membrane (Single-pass type I membrane protein);Endosome membrane;Lysosome membrane,0.8156
CD1C,P29017,T-cell surface glycoprotein CD1c,ENSG00000158481,experimental,True,SP:1-21;NC:22-303;TM:304-323;CY:324-333,type I,1,282,282,10,True,10.0,Receptors,Cell membrane (Single-pass type I membrane protein);Endosome membrane,0.776
CD1D,P15813,Antigen-presenting glycoprotein CD1d,ENSG00000158473,experimental,True,SP:1-17;NC:18-300;TM:301-321;CY:322-335,type I,1,283,283,14,True,14.0,Receptors,Cell membrane (Single-pass type I membrane protein);Endosome membrane;Lysosome membrane,0.8542
CD1E,P15812,"T-cell surface glycoprotein CD1e, membrane-associated",ENSG00000158488,machine_learning,False,SP:1-19;NC:20-300;TM:301-325;CY:326-388,type I,1,281,281,63,True,11.0,Receptors,Early endosome;Golgi apparatus membrane (Single-pass type I membrane protein);Late endosome;Lysosome lumen,0.9022
CD2,P06729,T-cell surface antigen CD2,ENSG00000116824,machine_learning,True,SP:1-24;NC:25-209;TM:210-234;CY:235-351,type I,1,185,185,117,True,7.0,Unclassified,Membrane (Single-pass type I membrane protein),0.9401
CD200,P41217,OX-2 membrane glycoprotein,ENSG00000091972,experimental,True,SP:1-32;NC:33-233;TM:234-259;CY:260-278,type I,1,201,201,19,True,11.0,Miscellaneous,Cell membrane (Single-pass type I membrane protein),0.8914
CD200R1,Q8TD46,Cell surface glycoprotein CD200 receptor 1,ENSG00000163606,experimental,True,SP:1-28;NC:29-243;TM:244-264;CY:265-325,type I,1,215,215,61,True,15.0,Receptors,Cell membrane (Single-pass type I membrane protein);Secreted;Secreted;Cell membrane (Single-pass type I membrane protein),0.9111
CD200R1L,Q6Q8B3,Cell surface glycoprotein CD200 receptor 2,ENSG00000206531,machine_learning,False,SP:1-21;NC:22-235;TM:236-261;CY:262-271,type I,1,214,214,10,True,13.0,Receptors,Membrane (Single-pass type I membrane protein),0.7246
CD22,P20273,B-cell receptor CD22,ENSG00000012124,experimental,True,SP:1-19;NC:20-687;TM:688-707;CY:708-847,type I,1,668,668,140,True,32.0,Miscellaneous,Cell membrane (Single-pass type I membrane protein),0.7556
CD226,Q15762,CD226 antigen,ENSG00000150637,machine_learning,True,SP:1-18;NC:19-250;TM:251-275;CY:276-336,type I,1,232,232,61,True,18.0,Receptors,Membrane (Single-pass type I membrane protein),0.9641
CD24,P25063,Signal transducer CD24,,experimental,False,SP:1-26;NC:27-80,no TM (GPI/peripheral),0,54,54,0,True,1.0,,"Cell membrane (Lipid-anchor, GPI-anchor)",0.6727
CD244,Q9BZW8,Natural killer cell receptor 2B4,ENSG00000122223,machine_learning,True,SP:1-18;NC:19-227;TM:228-251;CY:252-370,type I,1,209,209,119,True,8.0,Unclassified,Membrane (Single-pass type I membrane protein),0.9541
CD248,Q9HCU0,Endosialin,ENSG00000174807,machine_learning,False,SP:1-17;NC:18-685;TM:686-711;CY:712-757,type I,1,668,668,46,True,13.0,Receptors,Membrane (Single-pass type I membrane protein),0.6008
CD27,P26842,CD27 antigen,ENSG00000139193,experimental,True,SP:1-22;NC:23-188;TM:189-211;CY:212-260,type I,1,166,166,49,True,6.0,Receptors,Membrane (Single-pass type I membrane protein),0.9198
CD274,Q9NZQ7,Programmed cell death 1 ligand 1,ENSG00000120217,experimental,True,SP:1-18;NC:19-239;TM:240-261;CY:262-290,type I,1,221,221,29,True,14.0,Unclassified,Cell membrane (Single-pass type I membrane protein);Endomembrane system (Single-pass type I membrane protein),0.9067
CD276,Q5ZPR3,CD276 antigen,ENSG00000103855,machine_learning,True,SP:1-28;NC:29-465;TM:466-488;CY:489-534,type I,1,437,437,46,True,13.0,Miscellaneous,Membrane (Single-pass type I membrane protein),0.9521
CD28,P10747,T-cell-specific surface glycoprotein CD28,ENSG00000178562,machine_learning,True,SP:1-18;NC:19-152;TM:153-179;CY:180-220,type I,1,134,134,41,True,9.0,Unclassified,Membrane (Single-pass type I membrane protein),0.8762
CD300A,Q9UGN4,CMRF35-like molecule 8,ENSG00000167851,machine_learning,False,SP:1-17;NC:18-180;TM:181-201;CY:202-299,type I,1,163,163,98,True,3.0,Receptors,Cell membrane (Single-pass type I membrane protein),0.8623
CD300C,Q08708,CMRF35-like molecule 6,ENSG00000167850,machine_learning,False,SP:1-21;NC:22-183;TM:184-205;CY:206-224,type I,1,162,162,19,True,3.0,Receptors,Cell membrane (Single-pass type I membrane protein),0.8483
CD300E,Q496F6,CMRF35-like molecule 2,ENSG00000186407,machine_learning,False,SP:1-17;NC:18-173;TM:174-195;CY:196-205,type I,1,156,156,10,True,8.0,Receptors,Cell membrane (Single-pass type I membrane protein),0.6487
CD300LD,Q6UXZ3,CMRF35-like molecule 4,ENSG00000204345,machine_learning,False,SP:1-18;NC:19-165;TM:166-187;CY:188-194,type I,1,147,147,7,True,9.0,Receptors,Cell membrane (Single-pass type I membrane protein),0.6467
CD300LF,Q8TDQ1,CMRF35-like molecule 1,ENSG00000186074,machine_learning,False,SP:1-17;NC:18-156;TM:157-178;CY:179-290,type I,1,139,139,112,True,5.0,Receptors,Cell membrane (Single-pass type I membrane protein),0.8723
CD300LG,Q6UXG3,CMRF35-like molecule 9,ENSG00000161649,machine_learning,False,SP:1-19;NC:20-247;TM:248-273;CY:274-332,type I,1,228,228,59,True,7.0,Receptors,"Apical cell membrane (Single-pass type I membrane protein);Basolateral cell membrane (Single-pass type I membrane protein);Endosome, multivesicular body membrane (Single-pass type I membrane protein)",0.7645
CD302,Q8IX05,CD302 antigen,ENSG00000241399,machine_learning,True,SP:1-22;NC:23-168;TM:169-193;CY:194-232,type I,1,146,146,39,True,6.0,Receptors,"Cell projection, filopodium;Cell projection, microvillus;Cytoplasm, cell cortex;Membrane (Single-pass type I membrane protein)",0.8403
CD320,Q9NPF0,CD320 antigen,ENSG00000167775,machine_learning,False,SP:1-35;NC:36-227;TM:228-252;CY:253-282,type I,1,192,192,30,True,2.0,Unclassified,Membrane (Single-pass type I membrane protein),0.7285
CD33,P20138,Myeloid cell surface antigen CD33,ENSG00000105383,experimental,True,SP:1-16;NC:17-257;TM:258-282;CY:283-364,type I,1,241,241,82,True,10.0,Miscellaneous,Cell membrane (Single-pass type I membrane protein),0.9753
CD34,P28906,Hematopoietic progenitor cell antigen CD34,ENSG00000174059,machine_learning,True,SP:1-32;NC:33-290;TM:291-311;CY:312-385,type I,1,258,258,74,True,3.0,Unclassified,Membrane (Single-pass type I membrane protein),0.9301
CD36,P16671,Platelet glycoprotein 4,ENSG00000135218,machine_learning,False,CY:1-6;TM:7-28;NC:29-439;TM:440-465;CY:466-472,multi-pass (2 TM),2,411,411,13,False,22.0,Receptors,Cell membrane (Multi-pass membrane protein),0.7325
CD37,P11049,Leukocyte antigen CD37,ENSG00000104894,machine_learning,False,CY:1-11;TM:12-36;NC:37-55;TM:56-77;CY:78-86;TM:87-109;NC:110-241;TM:242-267;CY:268-281,multi-pass (4 TM),4,151,132,34,False,9.0,Miscellaneous,Membrane (Multi-pass membrane protein),0.5988
CD38,P28907,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,ENSG00000004468,machine_learning,False,CY:1-23;TM:24-43;NC:44-300,type II,1,257,257,23,False,16.0,Enzymes,Membrane (Single-pass type II membrane protein),0.6926
CD3D,P04234,T-cell surface glycoprotein CD3 delta chain,ENSG00000167286,machine_learning,True,SP:1-21;NC:22-103;TM:104-126;CY:127-171,type I,1,82,82,45,True,5.0,,Membrane (Single-pass type I membrane protein),0.7804
CD3G,P09693,T-cell surface glycoprotein CD3 gamma chain,ENSG00000160654,machine_learning,True,SP:1-22;NC:23-115;TM:116-137;CY:138-182,type I,1,93,93,45,True,6.0,Unclassified,Membrane (Single-pass type I membrane protein),0.8044
CD4,P01730,T-cell surface glycoprotein CD4,ENSG00000010610,experimental,True,SP:1-25;NC:26-396;TM:397-420;CY:421-458,type I,1,371,371,38,True,13.0,Unclassified,Cell membrane (Single-pass type I membrane protein),0.9091
CD40,P25942,Tumor necrosis factor receptor superfamily member 5,ENSG00000101017,experimental,True,SP:1-20;NC:21-193;TM:194-215;CY:216-277,type I,1,173,173,62,True,7.0,Receptors,Cell membrane (Single-pass type I membrane protein);Secreted,0.9942
CD40LG,P29965,CD40 ligand,ENSG00000102245,experimental,False,CY:1-22;TM:23-46;NC:47-261,type II,1,215,215,22,False,3.0,Unclassified,Cell membrane (Single-pass type II membrane protein);Secreted,0.5912
CD44,P16070,CD44 antigen,ENSG00000026508,experimental,True,SP:1-20;NC:21-649;TM:650-671;CY:672-742,type I,1,629,629,71,True,16.0,Unclassified,Cell membrane (Single-pass type I membrane protein),0.9609
CD46,P15529,Membrane cofactor protein,ENSG00000117335,machine_learning,True,SP:1-32;NC:33-343;TM:344-366;CY:367-392,type I,1,311,311,26,True,9.0,Unclassified,"Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane (Single- pass type I membrane protein)",0.8802
CD47,Q08722,Leukocyte surface antigen CD47,ENSG00000196776,experimental,True,SP:1-18;NC:19-142;TM:143-165;CY:166-176;TM:177-198;NC:199-208;TM:209-227;CY:228-234;TM:235-258;NC:259-269;TM:270-289;CY:290-323,multi-pass (5 TM),5,145,124,52,True,9.0,Unclassified,Cell membrane (Multi-pass membrane protein),0.9769
CD48,P09326,CD48 antigen,ENSG00000117091,experimental,True,SP:1-28;NC:29-243,no TM (GPI/peripheral),0,215,215,0,True,16.0,Unclassified,"Cell membrane (Lipid-anchor, GPI-anchor)",0.7764
CD5,P06127,T-cell surface glycoprotein CD5,ENSG00000110448,experimental,True,SP:1-24;NC:25-378;TM:379-402;CY:403-495,type I,1,354,354,93,True,14.0,Unclassified,Cell membrane (Single-pass type I membrane protein),0.984
CD52,P31358,CAMPATH-1 antigen,ENSG00000169442,experimental,False,SP:1-24;NC:25-61,no TM (GPI/peripheral),0,37,37,0,True,0.0,Unclassified,"Cell membrane (Lipid-anchor, GPI-anchor)",0.6966
CD53,P19397,Leukocyte surface antigen CD53,ENSG00000143119,experimental,False,CY:1-11;TM:12-36;NC:37-51;TM:52-72;CY:73-80;TM:81-106;NC:107-181;TM:182-205;CY:206-219,multi-pass (4 TM),4,90,75,33,False,7.0,Miscellaneous,Cell junction;Cell membrane;Membrane (Multi-pass membrane protein),0.8361
CD55,P08174,Complement decay-accelerating factor,ENSG00000196352,experimental,True,SP:1-34;NC:35-381,no TM (GPI/peripheral),0,347,347,0,True,12.0,,"Cell membrane (Single-pass type I membrane protein);Cell membrane (Lipid-anchor, GPI- anchor);Secreted;Secreted;Secreted;Cell membrane (Lipid-anchor, GPI-anchor);Cell membrane (Lipid-anchor, GPI-anchor)",0.5988
CD58,P19256,Lymphocyte function-associated antigen 3,ENSG00000116815,experimental,True,SP:1-30;NC:31-216;TM:217-237;CY:238-250,type I,1,186,186,13,True,10.0,Unclassified,"Cell membrane (Single-pass type I membrane protein);Cell membrane (Lipid-anchor, GPI- anchor)",0.8588
CD59,P13987,CD59 glycoprotein,ENSG00000085063,experimental,True,SP:1-25;NC:26-128,no TM (GPI/peripheral),0,103,103,0,True,5.0,,"Cell membrane (Lipid-anchor, GPI-anchor);Secreted",0.7505
CD6,P30203,T-cell differentiation antigen CD6,ENSG00000013725,experimental,True,SP:1-19;NC:20-400;TM:401-424;CY:425-668,type I,1,381,381,244,True,15.0,Unclassified,Cell membrane (Single-pass type I membrane protein),0.9551
CD63,P08962,CD63 antigen,ENSG00000135404,machine_learning,True,CY:1-11;TM:12-34;NC:35-51;TM:52-73;CY:74-81;TM:82-107;NC:108-203;TM:204-228;CY:229-238,multi-pass (4 TM),4,113,96,29,False,6.0,Miscellaneous,"Cell membrane (Multi-pass membrane protein);Endosome, multivesicular body;Late endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein);Melanosome",0.7904
CD68,P34810,Macrosialin,ENSG00000129226,experimental,True,SP:1-21;NC:22-319;TM:320-344;CY:345-354,type I,1,298,298,10,True,11.0,Receptors,Endosome membrane (Single-pass type I membrane protein);Lysosome membrane (Single-pass type I membrane protein);Cell membrane (Single-pass type I membrane protein),0.843
