ensembl_gene,ot_symbol,ab_tractability_bucket,ab_druggability,ot_surface_localisation,ot_locations,ot_is_essential,ot_n_drugs,ot_drugs,ot_max_clinical_stage
ENSG00000087085,ACHE,GO CC high conf,0.65,True,"uniprot:Synapse; uniprot:Secreted; uniprot:Cell membrane ; Peripheral membrane protein; uniprot:Nucleus; uniprot:Cell membrane ; Lipid- anchor, GPI-anchor ; Extracellular side; HPA_main:Golgi apparatus",False,32,BENZGALANTAMINE; GALANTAMINE; PROPANIDID; NEOSTIGMINE METHYLSULFATE; MINAPRINE; TACRINE,UNKNOWN
ENSG00000087128,TMPRSS11E,UniProt loc med conf,0.55,True,uniprot:Cell membrane ; Single-pass type II membrane protein; uniprot:Secreted; HPA_main:Golgi apparatus; HPA_extracellular_location:Predicted to be secreted,False,0,,
ENSG00000088386,SLC15A1,UniProt loc high conf,0.7,True,uniprot:Apical cell membrane ; Multi-pass membrane protein; HPA_main:Cytosol; HPA_main:Nucleoplasm,False,0,,
ENSG00000088812,ATRN,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Secreted; uniprot:Secreted; HPA_main:Cytosol; HPA_extracellular_location:Predicted to be secreted,False,0,,
ENSG00000088827,SIGLEC1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Secreted,False,0,,
ENSG00000089012,SIRPG,GO CC high conf,0.65,False,uniprot:Membrane ; Single- pass type I membrane protein,False,0,,
ENSG00000089041,P2RX7,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein,False,5,JNJ-54175446; AZD9056; CE-224535; GSK1482160; EVT401,PHASE_2_3
ENSG00000089057,SLC23A2,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Vesicles; HPA_additional:Golgi apparatus,False,0,,
ENSG00000089060,SLC8B1,GO CC high conf,0.65,False,uniprot:Mitochondrion inner membrane ; Multi-pass membrane protein,False,0,,
ENSG00000089472,HEPH,UniProt loc high conf,0.7,True,uniprot:Basolateral cell membrane ; Single-pass type I membrane protein,False,0,,
ENSG00000089692,LAG3,Approved Drug,1.0,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Secreted,False,6,FIANLIMAB; EFTILAGIMOD ALFA; IERAMILIMAB; FAVEZELIMAB; RELATLIMAB; TEBOTELIMAB,PHASE_3
ENSG00000090020,SLC9A1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Basolateral cell membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_additional:Nucleoplasm,False,0,,
ENSG00000090339,ICAM1,Advanced Clinical,0.9,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Plasma membrane; HPA_additional:Cytosol; HPA_additional:Vesicles,False,3,BI-505; ENLIMOMAB PEGOL; ALICAFORSEN,PHASE_3
ENSG00000090554,FLT3LG,GO CC high conf,0.65,True,uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Secreted,False,0,,
ENSG00000090674,MCOLN1,UniProt loc high conf,0.7,True,"uniprot:Late endosome membrane ; Multi-pass membrane protein; uniprot:Lysosome membrane ; Multi-pass membrane protein; uniprot:Cytoplasmic vesicle membrane ; Multi-pass membrane protein; uniprot:Cell projection, phagocytic cup; uniprot:Cytoplasmic vesicle, phagosome membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein",False,0,,
ENSG00000090776,EFNB1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Membrane raft; uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Nucleus; HPA_main:Plasma membrane,False,0,,
ENSG00000090932,DLL3,UniProt SigP or TMHMM,0.45,True,uniprot:Membrane ; Single-pass type I membrane protein; HPA_main:Nucleoplasm; HPA_additional:Golgi apparatus; HPA_additional:Plasma membrane,False,2,ROVALPITUZUMAB TESIRINE; TARLATAMAB,PHASE_3
ENSG00000091129,NRCAM,GO CC high conf,0.65,True,"uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cell projection, axon; uniprot:Secreted; HPA_main:Nucleoplasm; HPA_additional:Cytosol; HPA_additional:Plasma membrane",False,0,,
ENSG00000091137,SLC26A4,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Apical cell membrane ; Multi-pass membrane protein,False,0,,
ENSG00000091138,SLC26A3,UniProt loc high conf,0.7,True,uniprot:Apical cell membrane ; Multi-pass membrane protein; uniprot:Membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Acrosome,False,0,,
ENSG00000091181,IL5RA,Approved Drug,1.0,False,uniprot:Membrane; Single-pass type I membrane protein,False,1,BENRALIZUMAB,APPROVAL
ENSG00000091409,ITGA6,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cell membrane ; Lipid-anchor,False,0,,
ENSG00000091972,CD200,Advanced Clinical,0.9,True,uniprot:Cell membrane; Single-pass type I membrane protein,False,1,SAMALIZUMAB,PHASE_2
ENSG00000092096,SLC22A17,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Vacuole membrane ; Multi-pass membrane protein,False,0,,
ENSG00000092421,SEMA6A,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Nucleoplasm; HPA_additional:Intermediate filaments; HPA_additional:Nuclear bodies,False,0,,
ENSG00000092445,TYRO3,UniProt loc med conf,0.55,True,uniprot:Cell membrane; Single-pass type I membrane protein,False,0,,
ENSG00000093134,VNN3P,no antibody tractability bucket,0.0,False,,,0,,
ENSG00000094661,OR1I1,UniProt loc med conf,0.55,True,uniprot:Cell membrane; Multi-pass membrane protein,False,0,,
ENSG00000094755,GABRP,UniProt loc med conf,0.55,True,uniprot:Cell membrane; Multi-pass membrane protein; uniprot:Apical cell membrane ; Multi-pass membrane protein,False,71,ACAMPROSATE CALCIUM; METHOHEXITAL; REMIMAZOLAM BESYLATE; QUAZEPAM; LORAZEPAM; ESTAZOLAM,PHASE_3
ENSG00000095539,SEMA4G,UniProt loc med conf,0.55,True,uniprot:Cell membrane; Single-pass type I membrane protein; HPA_main:Lipid droplets; HPA_main:Vesicles,False,0,,
ENSG00000095739,BAMBI,GO CC high conf,0.65,False,uniprot:Membrane ; Single-pass type I membrane protein; HPA_main:Vesicles; HPA_additional:Lipid droplets; HPA_additional:Nucleoli fibrillar center,False,0,,
ENSG00000095970,TREM2,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Secreted; uniprot:Secreted; HPA_main:Vesicles; HPA_extracellular_location:Predicted to be secreted,False,0,,
ENSG00000096264,NCR2,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein,False,0,,
ENSG00000096996,IL12RB1,GO CC high conf,0.65,True,uniprot:Membrane; Single-pass type I membrane protein; HPA_main:Plasma membrane,False,0,,
ENSG00000099250,NRP1,Advanced Clinical,0.9,True,uniprot:Secreted; uniprot:Mitochondrion membrane ; Single-pass type I membrane protein; uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cytoplasm; uniprot:Secreted; HPA_main:Mitochondria,False,1,VESENCUMAB,PHASE_1
ENSG00000099282,TSPAN15,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Late endosome membrane; HPA_main:Nuclear bodies; HPA_main:Plasma membrane; HPA_additional:Cytosol; HPA_additional:Vesicles,False,0,,
ENSG00000099338,CATSPERG,GO CC high conf,0.65,False,"uniprot:Cell projection, cilium, flagellum membrane ; Single-pass type I membrane protein; HPA_main:Mid piece; HPA_additional:Principal piece; HPA_extracellular_location:Predicted to be secreted",False,0,,
ENSG00000099617,EFNA2,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Lipid-anchor, GPI- anchor; HPA_main:Cytosol; HPA_main:Mitochondria",False,0,,
ENSG00000099957,P2RX6,GO CC high conf,0.65,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Endoplasmic reticulum; uniprot:Nucleus; uniprot:Nucleus inner membrane ; Multi-pass membrane protein; HPA_main:Cytosol; HPA_main:Nucleoli,False,0,,
ENSG00000099960,SLC7A4,UniProt SigP or TMHMM,0.45,True,uniprot:Membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_main:Vesicles; HPA_additional:Nucleoplasm,False,0,,
ENSG00000099994,SUSD2,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Plasma membrane,False,0,,
ENSG00000100031,GGT1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type II membrane protein; HPA_main:Vesicles,False,0,,
ENSG00000100100,PIK3IP1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein,False,0,,
ENSG00000100170,SLC5A1,UniProt loc high conf,0.7,True,uniprot:Apical cell membrane ; Multi-pass membrane protein; HPA_main:Golgi apparatus; HPA_main:Plasma membrane; HPA_additional:Nuclear membrane,False,2,LICOGLIFLOZIN; SOTAGLIFLOZIN,PHASE_2
ENSG00000100191,SLC5A4,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein,False,0,,
ENSG00000100346,CACNA1I,GO CC high conf,0.65,True,uniprot:Membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_additional:Acrosome; HPA_additional:Cell Junctions,False,19,GABAPENTIN; PHLOROGLUCINOL; MIBEFRADIL; BEPRIDIL; PREGABALIN; TRIMETHADIONE,PHASE_3
ENSG00000100368,CSF2RB,Advanced Clinical,0.9,False,uniprot:Membrane; Single-pass type I membrane protein; HPA_main:Golgi apparatus,False,3,MAVRILIMUMAB; SARGRAMOSTIM; CIBINETIDE,PHASE_2_3
ENSG00000100385,IL2RB,Phase 1 Clinical,0.8,True,uniprot:Cell membrane ; Single-pass type I membrane protein,False,10,SIMLUKAFUSP ALFA; PEGENZILEUKIN; ALDESLEUKIN; NOGAPENDEKIN ALFA INBAKICEPT; BASILIXIMAB; DENILEUKIN DIFTITOX,PHASE_3
ENSG00000100647,SUSD6,UniProt SigP or TMHMM,0.45,True,uniprot:Membrane ; Single-pass type I membrane protein; HPA_main:Plasma membrane; HPA_additional:Cytosol,False,0,,
ENSG00000100678,SLC8A3,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Perikaryon; uniprot:Cell projection, dendrite; uniprot:Cell projection, dendritic spine; uniprot:Cell membrane, sarcolemma; uniprot:Cytoplasm, sarcoplasm",False,0,,
ENSG00000100731,PCNX1,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane ; Multi-pass membrane protein; HPA_main:Nucleoplasm,False,0,,
ENSG00000100739,BDKRB1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein,False,3,SAFOTIBANT; MK0686; BI113823,PHASE_2
ENSG00000101000,PROCR,GO CC high conf,0.65,False,uniprot:Membrane; Single-pass type I membrane protein,False,0,,
ENSG00000101017,CD40,Advanced Clinical,0.9,True,uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Secreted; HPA_main:Vesicles; HPA_additional:Plasma membrane; HPA_extracellular_location:Predicted to be secreted,False,10,LUCATUMUMAB; SELICRELUMAB; SOTIGALIMAB; PG-102; DACETUZUMAB; CD40 LIGAND,PHASE_2
ENSG00000101180,HRH3,GO CC high conf,0.65,True,uniprot:Cell membrane; Multi-pass membrane protein,False,16,GSK189254; BETAHISTINE; BAVISANT; PITOLISANT HYDROCHLORIDE; SUVN-G3031; CIPRALISANT,PHASE_3
ENSG00000101187,SLCO4A1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Cell Junctions,False,0,,
ENSG00000101188,NTSR1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Membrane raft; HPA_main:Plasma membrane,False,1,REMINERTANT,PHASE_2_3
ENSG00000101194,SLC17A9,UniProt SigP or TMHMM,0.45,False,"uniprot:Cytoplasmic vesicle, secretory vesicle, chromaffin granule membrane ; Multi-pass membrane protein; uniprot:Cytoplasmic vesicle, secretory vesicle membrane ; Multi-pass membrane protein; uniprot:Lysosome membrane ; Multi- pass membrane protein; HPA_main:Nucleoplasm",False,0,,
ENSG00000101204,CHRNA4,GO CC high conf,0.65,True,uniprot:Synaptic cell membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Vesicles,False,16,SIMPINICLINE; ABT-560; POZANICLINE; DEXMECAMYLAMINE; NICOTINE; NICOTINE POLACRILEX,UNKNOWN
ENSG00000101276,SLC52A3,UniProt loc high conf,0.7,True,uniprot:Apical cell membrane ; Multi-pass membrane protein; uniprot:Cell membrane; uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Nucleus membrane ; Multi- pass membrane protein; uniprot:Cytoplasm; uniprot:Cytoplasm,False,0,,
ENSG00000101292,PROKR2,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein,False,0,,
ENSG00000101294,HM13,UniProt loc med conf,0.55,True,uniprot:Endoplasmic reticulum membrane ; Multi-pass membrane protein; uniprot:Membrane ; Multi-pass membrane protein ; Lumenal side; uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Endoplasmic reticulum,False,0,,
ENSG00000101307,SIRPB1,UniProt loc high conf,0.7,True,uniprot:Membrane; Single-pass type I membrane protein; uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Vesicles; HPA_additional:Centrosome,False,0,,
ENSG00000101337,TM9SF4,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane ; Multi-pass membrane protein; uniprot:Golgi apparatus; uniprot:Early endosome,False,0,,
ENSG00000101384,JAG1,UniProt loc high conf,0.7,True,uniprot:Membrane; Single-pass type I membrane protein; uniprot:Cell membrane; HPA_main:Golgi apparatus; HPA_main:Plasma membrane,False,0,,
ENSG00000101542,CDH20,UniProt loc med conf,0.55,True,uniprot:Cell membrane; Single-pass type I membrane protein,False,0,,
ENSG00000101842,VSIG1,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane ; Single-pass type I membrane protein; HPA_main:Cytosol; HPA_main:Vesicles,False,0,,
ENSG00000101850,GPR143,UniProt loc high conf,0.7,True,uniprot:Melanosome membrane ; Multi-pass membrane protein; uniprot:Lysosome membrane ; Multi-pass membrane protein; uniprot:Apical cell membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_additional:Golgi apparatus; HPA_additional:Nuclear bodies,False,0,,
ENSG00000101916,TLR8,UniProt loc high conf,0.7,False,uniprot:Endosome membrane ; Single-pass type I membrane protein,False,7,AFIMETORAN; MOTOLIMOD; RESIQUIMOD; ENPATORAN; SELGANTOLIMOD; BAZLITORAN,PHASE_3
ENSG00000101958,GLRA2,UniProt loc high conf,0.7,True,uniprot:Postsynaptic cell membrane ; Multi-pass membrane protein; uniprot:Synapse; uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell projection; HPA_main:Plasma membrane; HPA_main:Vesicles,False,0,,
ENSG00000102076,OPN1LW,GO CC high conf,0.65,False,uniprot:Membrane; Multi-pass membrane protein; uniprot:Photoreceptor outer segment membrane; Multi-pass membrane protein,False,0,,
ENSG00000102174,PHEX,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type II membrane protein; HPA_main:Plasma membrane; HPA_main:Vesicles,False,0,,
ENSG00000102195,GPR50,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Postsynaptic density; uniprot:Nucleus; HPA_main:Plasma membrane; HPA_additional:Nucleoplasm; HPA_additional:Primary cilium,False,0,,
ENSG00000102239,BRS3,UniProt loc med conf,0.55,True,uniprot:Cell membrane; Multi-pass membrane protein,False,0,,
ENSG00000102245,CD40LG,Advanced Clinical,0.9,True,uniprot:Cell membrane ; Single-pass type II membrane protein; uniprot:Cell surface; uniprot:Secreted; HPA_main:Golgi apparatus; HPA_main:Plasma membrane; HPA_extracellular_location:Predicted to be secreted,False,6,DAZODALIBEP; DAPIROLIZUMAB PEGOL; RAVAGALIMAB; TEGOPRUBART; TORALIZUMAB; RUPLIZUMAB,PHASE_3
ENSG00000102287,GABRE,UniProt loc med conf,0.55,True,uniprot:Cell membrane; Multi-pass membrane protein; uniprot:Postsynaptic cell membrane; Multi-pass membrane protein,False,71,REMIMAZOLAM; ALPRAZOLAM; MEPROBAMATE; TRIAZOLAM; TETRAZEPAM; METHOXYFLURANE,PHASE_3
ENSG00000102290,PCDH11X,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Plasma membrane; HPA_additional:Cytosol; HPA_additional:Vesicles,False,0,,
ENSG00000102452,NALCN,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Cytosol; HPA_main:Microtubules; HPA_main:Primary cilium; HPA_additional:Cytokinetic bridge; HPA_additional:Mitotic spindle,False,0,,
ENSG00000102468,HTR2A,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell projection, dendrite; uniprot:Cell projection, axon; uniprot:Cytoplasmic vesicle; uniprot:Membrane, caveola; uniprot:Presynapse",False,74,ZIMELDINE; TRIFLUOPERAZINE HYDROCHLORIDE; SB-773812; BREXPIPRAZOLE; HALOPERIDOL DECANOATE; TEDATIOXETINE,PHASE_3
ENSG00000102524,TNFSF13B,Approved Drug,1.0,True,uniprot:Cell membrane; Single-pass type II membrane protein; uniprot:Secreted; HPA_main:Plasma membrane; HPA_additional:Focal adhesion sites; HPA_additional:Vesicles; HPA_extracellular_location:Predicted to be secreted,False,7,TIBULIZUMAB; BLISIBIMOD; ATACICEPT; ROZIBAFUSP ALFA; TABALUMAB; BRIOBACEPT,PHASE_3
ENSG00000102539,MLNR,GO CC high conf,0.65,True,uniprot:Cell membrane; Multi-pass membrane protein; HPA_main:Cytosol; HPA_main:Plasma membrane,False,2,CAMICINAL; MITEMCINAL FUMARATE,PHASE_2
ENSG00000102755,FLT1,Advanced Clinical,0.9,True,uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Endosome; uniprot:Secreted; uniprot:Secreted; uniprot:Secreted; uniprot:Cytoplasm,False,48,PAZOPANIB HYDROCHLORIDE; LUCITANIB; 4SC-203; IBCASERTIB; TELBERMIN; PAZOPANIB,UNKNOWN
ENSG00000102854,MSLN,Advanced Clinical,0.9,True,"uniprot:Cell membrane; Lipid-anchor, GPI-anchor; uniprot:Golgi apparatus; uniprot:Secreted; uniprot:Secreted; HPA_main:Plasma membrane; HPA_main:Vesicles",False,5,SS1(DSFV)-PE38; ANETUMAB RAVTANSINE; LMB-100; AMATUXIMAB; RG-7600,PHASE_2
ENSG00000103064,SLC7A6,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Vesicles; HPA_additional:Plasma membrane,False,0,,
ENSG00000103310,ZP2,GO CC high conf,0.65,True,uniprot:Zona pellucida; uniprot:Cell membrane ; Single-pass type I membrane protein,False,0,,
ENSG00000103335,PIEZO1,UniProt loc high conf,0.7,True,"uniprot:Endoplasmic reticulum membrane ; Multi-pass membrane protein; uniprot:Endoplasmic reticulum-Golgi intermediate compartment membrane; uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell projection, lamellipodium membrane",False,0,,
ENSG00000103522,IL21R,GO CC high conf,0.65,True,uniprot:Membrane; Single-pass type I membrane protein; HPA_main:Cytosol; HPA_main:Plasma membrane,False,0,,
ENSG00000103546,SLC6A2,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell projection, axon; uniprot:Synapse, synaptosome; HPA_main:Cytosol; HPA_additional:Mitochondria",False,104,TAPENTADOL; AMITRIPTYLINE; AMITIFADINE; BENZPHETAMINE HYDROCHLORIDE; SIBUTRAMINE HYDROCHLORIDE; NS-2359,PHASE_3
ENSG00000103569,AQP9,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Basolateral cell membrane ; Multi-pass membrane protein; HPA_main:Mid piece,False,0,,
ENSG00000103742,IGDCC4,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Cytosol; HPA_main:Nucleoplasm,False,0,,
ENSG00000103855,CD276,Advanced Clinical,0.9,False,uniprot:Membrane ; Single-pass type I membrane protein; HPA_main:Vesicles,False,2,ENOBLITUZUMAB; 8H9 131I,PHASE_2_3
ENSG00000103978,TMEM87A,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Golgi apparatus membrane ; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell projection, ruffle; HPA_main:Golgi apparatus",False,0,,
ENSG00000104290,FZD3,GO CC high conf,0.65,True,uniprot:Membrane; Multi-pass membrane protein; uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cell surface; uniprot:Apical cell membrane ; Multi-pass membrane protein; HPA_main:Nucleoplasm; HPA_additional:Nuclear membrane,False,0,,
ENSG00000104361,NIPAL2,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane ; Multi-pass membrane protein,False,0,,
ENSG00000104499,GML,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Lipid-anchor, GPI- anchor",False,0,,
ENSG00000104635,SLC39A14,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Apical cell membrane ; Multi-pass membrane protein; uniprot:Basolateral cell membrane ; Multi-pass membrane protein; uniprot:Early endosome membrane ; Multi-pass membrane protein; uniprot:Late endosome membrane ; Multi-pass membrane protein; uniprot:Lysosome membrane ; Multi- pass membrane protein,False,0,,
ENSG00000104689,TNFRSF10A,Advanced Clinical,0.9,True,"uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Membrane raft; uniprot:Cytoplasm, cytosol",False,2,MAPATUMUMAB; DULANERMIN,PHASE_2
ENSG00000104870,FCGRT,Approved Drug,1.0,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Endosome membrane,False,5,ORILANOLIMAB; BATOCLIMAB; EFGARTIGIMOD ALFA; ROZANOLIXIZUMAB; NIPOCALIMAB,PHASE_3
ENSG00000104894,CD37,Advanced Clinical,0.9,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Golgi apparatus; HPA_additional:Plasma membrane,False,3,NARATUXIMAB EMTANSINE; BI-836826; OTLERTUZUMAB,PHASE_2
ENSG00000104938,CLEC4M,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single- pass type II membrane protein; uniprot:Cell membrane ; Single- pass type II membrane protein; uniprot:Cell membrane ; Single- pass type II membrane protein; uniprot:Secreted; uniprot:Secreted; uniprot:Secreted,False,0,,
ENSG00000104998,IL27RA,GO CC high conf,0.65,False,uniprot:Membrane; Single-pass type I membrane protein; HPA_main:Vesicles,False,0,,
ENSG00000105143,SLC1A6,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_additional:Intermediate filaments,False,0,,
ENSG00000105281,SLC1A5,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Apical cell membrane ; Multi-pass membrane protein; uniprot:Melanosome; HPA_main:Plasma membrane; HPA_additional:Basal body; HPA_additional:Centriolar satellite,False,0,,
ENSG00000105290,APLP1,GO CC high conf,0.65,True,uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Cytoplasm; HPA_main:Golgi apparatus; HPA_main:Plasma membrane; HPA_additional:Nucleoplasm,False,0,,
ENSG00000105366,SIGLEC8,Advanced Clinical,0.9,False,uniprot:Membrane; Single-pass type I membrane protein; HPA_main:Cytosol,False,1,LIRENTELIMAB,PHASE_3
ENSG00000105369,CD79A,GO CC high conf,0.65,True,uniprot:Cell membrane; Single-pass type I membrane protein,False,0,,
ENSG00000105370,LIM2,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane; Multi-pass membrane protein,False,0,,
ENSG00000105371,ICAM4,UniProt loc high conf,0.7,True,uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Secreted; uniprot:Cell membrane ; Single-pass type I membrane protein,False,0,,
ENSG00000105376,ICAM5,GO CC high conf,0.65,True,"uniprot:Cell membrane ; Single-pass membrane protein; uniprot:Cell projection; uniprot:Cell projection, uropodium; uniprot:Cell projection, dendritic spine membrane",False,0,,
ENSG00000105383,CD33,Advanced Clinical,0.9,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Peroxisome; HPA_main:Plasma membrane; HPA_additional:Cytosol,False,5,LINTUZUMAB; GEMTUZUMAB; ONCOLYSIN M; GEMTUZUMAB OZOGAMICIN; AVE-9633,PHASE_3
ENSG00000105388,CEACAM5,Approved Drug,1.0,True,"uniprot:Cell membrane ; Lipid-anchor, GPI-anchor ; Extracellular side; uniprot:Apical cell membrane; uniprot:Cell surface; HPA_main:Plasma membrane",False,5,ARCITUMOMAB; LABETUZUMAB; LABETUZUMAB GOVITECAN; MEDI-565; TUSAMITAMAB RAVTANSINE,PHASE_3
ENSG00000105409,ATP1A3,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein,False,6,ACETYLDIGITOXIN; ISTAROXIME; DESLANOSIDE; DIGOXIN; LANATOSIDE C; DIGITOXIN,PHASE_2_3
ENSG00000105426,PTPRS,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cell projection, axon; uniprot:Perikaryon; uniprot:Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; uniprot:Synapse, synaptosome; uniprot:Postsynaptic density",False,0,,
ENSG00000105428,ZNRF4,UniProt SigP or TMHMM,0.45,False,uniprot:Endoplasmic reticulum membrane ; Single-pass type I membrane protein,False,0,,
ENSG00000105429,MEGF8,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane ; Single-pass type I membrane protein,False,0,,
ENSG00000105464,GRIN2D,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Postsynaptic cell membrane; Multi-pass membrane protein,False,27,NERAMEXANE MESYLATE; ORPHENADRINE CITRATE; RALFINAMIDE; LANICEMINE; RAPASTINEL; NERAMEXANE,PHASE_3
ENSG00000105492,SIGLEC6,GO CC high conf,0.65,True,uniprot:Cell membrane; Single-pass type I membrane protein; uniprot:Secreted; HPA_main:Cytosol; HPA_main:Plasma membrane; HPA_extracellular_location:Predicted to be secreted,False,0,,
ENSG00000105605,CACNG7,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein,False,10,TERODILINE HYDROCHLORIDE; PREGABALIN; GABAPENTIN; SULOCTIDIL; BEPRIDIL; PHLOROGLUCINOL,PHASE_3
ENSG00000105641,SLC5A5,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Cytoplasm,False,0,,
ENSG00000105668,UPK1A,GO CC high conf,0.65,False,uniprot:Membrane; Multi-pass membrane protein,False,0,,
ENSG00000105695,MAG,Advanced Clinical,0.9,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Membrane raft; HPA_main:Equatorial segment; HPA_main:Perinuclear theca,False,1,REFANEZUMAB,PHASE_2
