ensembl_id,symbol,baseline_K562,baseline_RPE1,baseline_HepG2,baseline_Jurkat,response_sd_K562,response_sd_RPE1,response_sd_HepG2,response_sd_Jurkat,shared_response_fraction
ENSG00000113163,CERT1,0.6190,0.3438,0.2836,0.3976,0.0843,0.0891,0.0656,0.0753,0.3217
ENSG00000113194,FAF2,0.4776,0.3991,0.3797,0.5118,0.0667,0.0767,0.0792,0.0780,0.3674
ENSG00000113240,CLK4,0.1468,0.0733,0.0779,0.1392,0.0376,0.0490,0.0442,0.0511,0.3523
ENSG00000113269,RNF130,0.4036,0.2700,0.2068,0.7643,0.0567,0.0578,0.0537,0.1088,0.3077
ENSG00000113272,THG1L,0.2754,0.1966,0.2043,0.1193,0.0487,0.0583,0.0606,0.0466,0.3473
ENSG00000113282,CLINT1,0.6468,0.6398,0.4748,0.8937,0.0590,0.0894,0.0753,0.0959,0.2887
ENSG00000113300,CNOT6,0.3300,0.2070,0.2021,0.3043,0.0510,0.0539,0.0542,0.0638,0.2826
ENSG00000113312,TTC1,0.6052,0.6058,0.4276,0.7608,0.0640,0.1017,0.0840,0.0812,0.4311
ENSG00000113318,MSH3,0.3213,0.3059,0.2173,0.3966,0.0467,0.0677,0.0547,0.0744,0.3090
ENSG00000113328,CCNG1,0.5232,0.5726,0.7709,0.4289,0.0673,0.1365,0.0975,0.0781,0.2790
ENSG00000113356,POLR3G,0.3015,0.2132,0.0876,0.4180,0.0591,0.0672,0.0369,0.0829,0.3804
ENSG00000113360,DROSHA,0.2726,0.2017,0.1873,0.2897,0.0434,0.0517,0.0507,0.0633,0.3033
ENSG00000113368,LMNB1,0.9058,0.5133,0.6242,1.1618,0.0801,0.1785,0.1638,0.1062,0.3300
ENSG00000113384,GOLPH3,0.3639,0.2421,0.4585,0.2027,0.0535,0.0621,0.0741,0.0554,0.3388
ENSG00000113387,SUB1,2.2803,1.4685,1.9420,2.0822,0.0609,0.0883,0.1041,0.0805,0.3946
ENSG00000113407,TARS,1.2492,0.9954,0.8748,1.0588,0.0707,0.1342,0.1110,0.0995,0.3802
ENSG00000113441,LNPEP,0.3139,0.3340,0.1800,0.5663,0.0523,0.0692,0.0545,0.0904,0.2829
ENSG00000113456,RAD1,0.5326,0.2330,0.2946,0.4738,0.0612,0.0587,0.0642,0.0728,0.2699
ENSG00000113460,BRIX1,1.1386,0.5348,0.5909,1.0000,0.0963,0.1108,0.1090,0.1040,0.3636
ENSG00000113522,RAD50,0.6292,0.7480,0.5386,0.6838,0.0714,0.1078,0.1003,0.0936,0.4340
ENSG00000113552,GNPDA1,0.4810,0.4152,0.4193,0.6011,0.0595,0.0974,0.0787,0.0817,0.3538
ENSG00000113558,SKP1,1.7027,1.9033,1.6318,1.7628,0.0757,0.1059,0.0924,0.0921,0.5022
ENSG00000113569,NUP155,0.6503,0.2903,0.2601,0.4373,0.0597,0.0781,0.0636,0.0732,0.3140
ENSG00000113575,PPP2CA,0.8206,0.7626,0.6528,0.8493,0.0645,0.1015,0.0847,0.0808,0.2917
ENSG00000113580,NR3C1,0.1585,0.5057,0.2649,0.2495,0.0418,0.0984,0.0852,0.0617,0.3492
ENSG00000113583,C5orf15,0.2546,0.3168,0.3343,0.2452,0.0437,0.0679,0.0696,0.0572,0.3133
ENSG00000113593,PPWD1,0.2563,0.1371,0.1350,0.2740,0.0454,0.0404,0.0452,0.0618,0.2758
ENSG00000113595,TRIM23,0.0788,0.1181,0.0636,0.1363,0.0289,0.0494,0.0350,0.0496,0.3121
ENSG00000113597,TRAPPC13,0.1391,0.1101,0.0709,0.1888,0.0356,0.0395,0.0337,0.0539,0.3063
ENSG00000113615,SEC24A,0.1221,0.1509,0.2511,0.1118,0.0316,0.0655,0.1034,0.0433,0.2838
ENSG00000113621,TXNDC15,0.1382,0.3317,0.2482,0.2285,0.0327,0.0707,0.0563,0.0539,0.3001
ENSG00000113638,TTC33,0.1467,0.0860,0.1055,0.2199,0.0349,0.0356,0.0400,0.0574,0.2784
ENSG00000113643,RARS,0.7443,0.7606,0.5706,0.7224,0.0709,0.0968,0.0784,0.0818,0.3592
ENSG00000113648,H2AFY,1.1220,1.1344,1.1324,1.6580,0.0710,0.1192,0.0895,0.0906,0.3339
ENSG00000113649,TCERG1,0.8450,0.6162,0.5699,0.8880,0.0633,0.0968,0.0901,0.0863,0.3674
ENSG00000113658,SMAD5,0.4528,0.5666,0.4540,0.4104,0.0550,0.0949,0.0991,0.0684,0.3714
ENSG00000113712,CSNK1A1,1.0148,1.1183,0.8816,1.2389,0.0810,0.0945,0.1001,0.1091,0.5033
ENSG00000113716,HMGXB3,0.3505,0.3819,0.2268,0.3124,0.0475,0.0690,0.0552,0.0656,0.2663
ENSG00000113719,ERGIC1,0.2036,0.5094,0.3932,0.4949,0.0504,0.0906,0.0842,0.1029,0.4124
ENSG00000113732,ATP6V0E1,0.8382,1.3396,1.0509,0.8635,0.0704,0.2104,0.1512,0.0934,0.3373
ENSG00000113734,BNIP1,0.1240,0.1100,0.1133,0.1763,0.0413,0.0453,0.0439,0.0597,0.3478
ENSG00000113742,CPEB4,0.4157,0.4287,0.1604,0.1128,0.1040,0.1202,0.1083,0.0523,0.4259
ENSG00000113758,DBN1,0.3644,0.8086,0.4080,0.6696,0.0513,0.1005,0.0832,0.0909,0.3371
ENSG00000113761,ZNF346,0.1737,0.0962,0.1238,0.2750,0.0397,0.0396,0.0442,0.0613,0.2931
ENSG00000113810,SMC4,1.0917,1.3303,0.5864,1.4265,0.0814,0.3358,0.1580,0.1334,0.2326
ENSG00000113811,SELENOK,0.6007,0.5269,0.6382,0.6604,0.0651,0.1089,0.1104,0.0852,0.4387
ENSG00000113812,ACTR8,0.1952,0.1624,0.1264,0.1545,0.0413,0.0503,0.0432,0.0504,0.3374
ENSG00000113845,TIMMDC1,0.7399,0.5755,0.5634,0.5958,0.0758,0.0848,0.0855,0.0714,0.4444
ENSG00000113851,CRBN,0.4508,0.2676,0.2299,0.4876,0.0606,0.0831,0.0643,0.0816,0.3996
ENSG00000114021,NIT2,0.3620,0.5441,0.3716,0.8344,0.0673,0.0966,0.0811,0.1018,0.4328
ENSG00000114023,FAM162A,0.8159,0.8163,0.6412,1.0875,0.0685,0.1604,0.1237,0.0918,0.3024
ENSG00000114026,OGG1,0.0788,0.1342,0.1936,0.1545,0.0306,0.0434,0.0631,0.0489,0.2707
ENSG00000114030,KPNA1,0.3719,0.3213,0.2441,0.2797,0.0500,0.0677,0.0664,0.0628,0.3202
ENSG00000114054,PCCB,0.5049,0.1769,0.3155,0.5703,0.0639,0.0489,0.0619,0.0813,0.3586
ENSG00000114062,UBE3A,0.3962,0.7569,0.6051,1.1516,0.0490,0.0828,0.0739,0.1010,0.3056
ENSG00000114098,ARMC8,0.3065,0.1490,0.1484,0.2573,0.0435,0.0440,0.0450,0.0589,0.2740
ENSG00000114107,CEP70,0.1255,0.2381,0.1296,0.9153,0.0325,0.0634,0.0463,0.1112,0.2906
ENSG00000114120,SLC25A36,0.5093,0.3897,0.3470,0.4272,0.0547,0.0820,0.0968,0.0768,0.3597
ENSG00000114125,RNF7,1.0008,1.0829,1.0062,1.0069,0.0727,0.1209,0.0982,0.0813,0.3847
ENSG00000114126,TFDP2,0.4030,0.2886,0.3644,1.1087,0.0740,0.0821,0.0690,0.1256,0.3148
ENSG00000114127,XRN1,0.2678,0.3571,0.1683,0.3731,0.0520,0.0759,0.0538,0.0769,0.3180
ENSG00000114209,PDCD10,0.7501,0.5918,0.3657,0.6116,0.0614,0.0803,0.0802,0.0768,0.3259
ENSG00000114302,PRKAR2A,0.8411,0.6392,0.5782,0.3972,0.0848,0.1034,0.0772,0.0724,0.2947
ENSG00000114315,HES1,0.1483,0.4674,0.4206,0.1000,0.0475,0.1243,0.1212,0.0605,0.2945
ENSG00000114316,USP4,0.1882,0.1597,0.1586,0.2333,0.0386,0.0460,0.0453,0.0573,0.3067
ENSG00000114331,ACAP2,0.4108,0.3352,0.1787,0.4155,0.0628,0.0754,0.0562,0.0790,0.3582
ENSG00000114346,ECT2,0.3701,0.7325,0.4526,0.5668,0.0575,0.2025,0.1291,0.1004,0.2589
ENSG00000114353,GNAI2,0.4549,1.4852,0.6693,1.3778,0.0711,0.1028,0.0858,0.0869,0.3634
ENSG00000114354,TFG,0.6230,0.8661,0.6203,0.4747,0.0649,0.0974,0.0864,0.0758,0.3737
ENSG00000114383,TUSC2,0.5104,0.4815,0.5618,0.5371,0.0594,0.1133,0.1109,0.0770,0.3668
ENSG00000114388,NPRL2,0.1454,0.1122,0.1394,0.2442,0.0360,0.0568,0.0436,0.0602,0.2860
ENSG00000114391,RPL24,3.0372,2.9866,2.6254,2.9741,0.0781,0.1182,0.1044,0.0949,0.5939
ENSG00000114395,CYB561D2,0.2220,0.1943,0.1872,0.2659,0.0426,0.0739,0.0537,0.0610,0.3683
ENSG00000114416,FXR1,0.9121,0.9384,0.7849,0.8977,0.0636,0.1038,0.0936,0.0891,0.3881
ENSG00000114439,BBX,0.3824,0.8284,0.3925,0.4889,0.0710,0.1029,0.0727,0.0920,0.3937
ENSG00000114446,IFT57,0.2309,0.5979,0.1503,0.3574,0.0494,0.0813,0.0500,0.0701,0.3406
ENSG00000114491,UMPS,0.5452,0.3403,0.3591,0.5287,0.0519,0.0813,0.0635,0.0720,0.2958
ENSG00000114503,NCBP2,0.5419,0.5165,0.5044,0.8602,0.0612,0.0788,0.0827,0.0874,0.3960
ENSG00000114520,SNX4,0.4641,0.2288,0.3004,0.4403,0.0637,0.0573,0.0620,0.0771,0.3221
ENSG00000114554,PLXNA1,0.1518,0.0975,0.0745,0.0969,0.0416,0.0390,0.0333,0.0376,0.2633
ENSG00000114573,ATP6V1A,0.5067,0.3287,0.3492,0.2381,0.0579,0.0969,0.0725,0.0592,0.3674
ENSG00000114648,KLHL18,0.3383,0.1430,0.1199,0.1779,0.0495,0.0463,0.0487,0.0542,0.3137
ENSG00000114650,SCAP,0.2845,0.1087,0.2086,0.1841,0.0439,0.0378,0.0627,0.0478,0.2807
ENSG00000114686,MRPL3,1.1893,0.9855,0.8502,1.2407,0.0897,0.1312,0.0943,0.1090,0.4161
ENSG00000114738,MAPKAPK3,0.2938,0.2406,0.2957,0.4695,0.0473,0.0613,0.0675,0.0837,0.3326
ENSG00000114742,WDR48,0.2921,0.1880,0.1837,0.3090,0.0488,0.0627,0.0528,0.0632,0.3237
ENSG00000114744,COMMD2,0.4414,0.3522,0.3370,0.3631,0.0573,0.0698,0.0683,0.0666,0.3034
ENSG00000114767,RRP9,0.6697,0.2467,0.2930,0.5329,0.0925,0.0644,0.0730,0.0924,0.4023
ENSG00000114770,ABCC5,0.2490,0.1016,0.1000,0.1417,0.0448,0.0439,0.0407,0.0511,0.2822
ENSG00000114779,ABHD14B,0.4728,0.1827,0.6845,0.2842,0.0785,0.0590,0.1086,0.0696,0.4364
ENSG00000114784,EIF1B,0.9101,0.4872,0.6907,0.7170,0.0991,0.1454,0.1027,0.1144,0.5029
ENSG00000114850,SSR3,1.0211,2.0101,1.1727,0.8995,0.0745,0.1434,0.1350,0.0819,0.4151
ENSG00000114857,NKTR,0.8632,0.5881,0.5834,0.9960,0.0705,0.0888,0.0816,0.1040,0.4052
ENSG00000114861,FOXP1,0.2485,0.6113,0.6247,0.4816,0.0554,0.1014,0.0983,0.0762,0.2917
ENSG00000114867,EIF4G1,1.3508,1.3918,1.0522,1.1714,0.0883,0.1295,0.0959,0.1005,0.4854
ENSG00000114902,SPCS1,1.3542,1.3730,1.2708,1.5219,0.0756,0.0826,0.0834,0.1172,0.3801
ENSG00000114904,NEK4,0.1494,0.1439,0.1285,0.2258,0.0332,0.0433,0.0423,0.0568,0.2427
ENSG00000114933,INO80D,0.2387,0.1610,0.2129,0.1890,0.0439,0.0521,0.0610,0.0626,0.3071
ENSG00000114942,EEF1B2,2.8112,2.5885,2.9911,2.9001,0.1097,0.1367,0.1387,0.1563,0.6875
ENSG00000114956,DGUOK,0.9408,0.8674,0.8762,1.0472,0.0801,0.1019,0.1037,0.1022,0.5588
ENSG00000114978,MOB1A,0.5363,0.4951,0.6318,0.7863,0.0576,0.0733,0.0752,0.0761,0.2923
ENSG00000114982,KANSL3,0.1784,0.1244,0.1227,0.2136,0.0377,0.0428,0.0449,0.0541,0.2713
ENSG00000114999,TTL,0.2352,0.3639,0.3231,0.2327,0.0471,0.0771,0.0690,0.0571,0.2782
ENSG00000115020,PIKFYVE,0.1746,0.1240,0.1345,0.3738,0.0404,0.0551,0.0502,0.0766,0.3347
ENSG00000115042,FAHD2A,0.1471,0.1640,0.3168,0.2536,0.0365,0.0491,0.0681,0.0604,0.3237
ENSG00000115053,NCL,2.9981,2.5788,2.7222,2.9883,0.1121,0.2440,0.1627,0.1297,0.4319
ENSG00000115073,ACTR1B,0.1230,0.2364,0.2845,0.1159,0.0351,0.0608,0.0686,0.0458,0.2879
ENSG00000115084,SLC35F5,0.1969,0.2545,0.4264,0.1264,0.0386,0.0665,0.0782,0.0499,0.3243
ENSG00000115091,ACTR3,1.0900,1.4379,1.0455,1.4207,0.0711,0.1208,0.1043,0.0992,0.3165
ENSG00000115128,SF3B6,1.3423,1.3545,1.1073,1.3952,0.0722,0.0970,0.1160,0.0835,0.3985
ENSG00000115129,TP53I3,0.0752,0.3355,0.3686,0.0906,0.0301,0.1456,0.2856,0.0405,0.3257
ENSG00000115145,STAM2,0.1347,0.2684,0.1557,0.1696,0.0346,0.0653,0.0487,0.0515,0.2892
ENSG00000115163,CENPA,0.3773,0.3212,0.3780,0.4942,0.0620,0.1212,0.1297,0.1144,0.3069
ENSG00000115204,MPV17,0.3873,0.4103,0.4622,0.3413,0.0591,0.0768,0.0789,0.0645,0.3541
ENSG00000115207,GTF3C2,0.3447,0.1756,0.2805,0.2619,0.0463,0.0484,0.0577,0.0551,0.2834
ENSG00000115211,EIF2B4,0.2481,0.1669,0.2496,0.2361,0.0561,0.0546,0.0622,0.0653,0.3452
ENSG00000115216,NRBP1,0.2372,0.4899,0.6797,0.3121,0.0455,0.0898,0.0868,0.0684,0.3448
ENSG00000115233,PSMD14,0.8917,0.9740,0.8836,1.0376,0.0770,0.1227,0.1172,0.0910,0.3958
ENSG00000115234,SNX17,0.4268,0.6102,0.6085,0.6787,0.0592,0.0853,0.0921,0.0835,0.4225
ENSG00000115239,ASB3,0.1486,0.1160,0.1277,0.2267,0.0374,0.0417,0.0430,0.0587,0.2804
ENSG00000115241,PPM1G,1.5672,1.4099,1.5572,1.5316,0.0794,0.1866,0.1085,0.0932,0.3710
ENSG00000115268,RPS15,3.6533,3.2726,3.0625,3.4262,0.0686,0.0969,0.0937,0.0900,0.6402
ENSG00000115274,INO80B,0.0803,0.0881,0.0674,0.1485,0.0252,0.0424,0.0366,0.0489,0.3217
ENSG00000115275,MOGS,0.1922,0.1802,0.3081,0.2003,0.0365,0.0530,0.0626,0.0540,0.2913
ENSG00000115282,TTC31,0.1048,0.1133,0.1563,0.1633,0.0305,0.0386,0.0460,0.0505,0.2567
ENSG00000115286,NDUFS7,1.3712,0.7661,0.7041,1.1668,0.1000,0.1012,0.1016,0.1150,0.5773
ENSG00000115306,SPTBN1,0.6232,1.4921,1.4321,1.6472,0.0787,0.1356,0.1810,0.1265,0.2395
ENSG00000115307,AUP1,0.9381,0.6633,0.9973,0.7766,0.1063,0.1041,0.1243,0.1012,0.4934
ENSG00000115310,RTN4,1.5615,2.3012,1.4910,1.2555,0.0983,0.1541,0.1146,0.1133,0.3253
ENSG00000115317,HTRA2,0.4306,0.3251,0.2768,0.4292,0.0623,0.0719,0.0672,0.0739,0.3402
ENSG00000115350,POLE4,0.7294,0.9980,1.1577,0.3823,0.0697,0.1092,0.0992,0.0681,0.3854
ENSG00000115355,CCDC88A,0.6494,0.8081,0.5647,0.9336,0.0682,0.1261,0.0870,0.0855,0.2761
ENSG00000115364,MRPL19,0.5947,0.5656,0.8058,0.7176,0.0594,0.0794,0.0854,0.0791,0.3824
ENSG00000115365,LANCL1,0.0865,0.2276,0.2143,0.2596,0.0275,0.0563,0.0546,0.0595,0.2797
ENSG00000115368,WDR75,0.5610,0.2929,0.2860,0.4354,0.0636,0.0648,0.0657,0.0758,0.3300
ENSG00000115392,FANCL,0.2750,0.1849,0.2317,0.1983,0.0464,0.0597,0.0599,0.0567,0.2715
ENSG00000115415,STAT1,0.3965,0.4632,0.2554,0.3400,0.0574,0.1001,0.0734,0.0787,0.3941
ENSG00000115419,GLS,0.5712,0.5266,0.7576,0.6422,0.0634,0.0965,0.1401,0.0967,0.3323
ENSG00000115446,UNC50,0.4003,0.2786,0.4360,0.4046,0.0601,0.0662,0.0766,0.0742,0.3637
ENSG00000115459,ELMOD3,0.1106,0.0803,0.0886,0.1488,0.0335,0.0361,0.0365,0.0488,0.2993
ENSG00000115464,USP34,0.5302,0.6165,0.6673,0.6589,0.0590,0.0833,0.0826,0.0759,0.3479
ENSG00000115484,CCT4,1.6487,1.3895,1.3783,1.7461,0.0772,0.1337,0.1073,0.1013,0.3649
ENSG00000115486,GGCX,0.1878,0.2305,0.3946,0.2443,0.0374,0.0598,0.0834,0.0587,0.3300
ENSG00000115504,EHBP1,0.1552,0.3050,0.7521,0.2389,0.0366,0.0644,0.1334,0.0587,0.2000
ENSG00000115514,TXNDC9,0.4672,0.5840,0.5296,0.4997,0.0599,0.0791,0.0880,0.0741,0.3645
ENSG00000115520,COQ10B,0.1774,0.2578,0.3222,0.2718,0.0420,0.0851,0.0930,0.0631,0.3743
ENSG00000115524,SF3B1,1.4407,1.0239,1.2330,1.5772,0.0826,0.1280,0.1321,0.1011,0.5030
ENSG00000115539,PDCL3,0.3548,0.3464,0.3517,0.5755,0.0526,0.0731,0.0689,0.0779,0.3149
ENSG00000115540,MOB4,0.4464,0.4997,0.4899,0.5922,0.0689,0.0791,0.0913,0.0952,0.4306
ENSG00000115541,HSPE1,2.6375,1.7491,2.6339,2.4740,0.1213,0.1944,0.1420,0.1762,0.5645
ENSG00000115548,KDM3A,0.1633,0.2023,0.2583,0.2307,0.0418,0.0577,0.0710,0.0647,0.3154
ENSG00000115561,CHMP3,0.4674,0.6218,0.6805,0.3526,0.0588,0.0938,0.0974,0.0657,0.3971
ENSG00000115649,CNPPD1,0.1509,0.1315,0.2452,0.2075,0.0369,0.0472,0.0578,0.0554,0.3133
ENSG00000115652,UXS1,0.1103,0.2568,0.5327,0.2420,0.0292,0.0616,0.0818,0.0563,0.3027
ENSG00000115661,STK16,0.2345,0.2815,0.2498,0.1949,0.0434,0.0654,0.0607,0.0583,0.3570
ENSG00000115677,HDLBP,1.0853,1.5373,1.4043,0.9186,0.0719,0.1210,0.1043,0.0947,0.4339
ENSG00000115685,PPP1R7,0.5967,0.7551,0.5595,0.8269,0.0718,0.0927,0.0849,0.0870,0.4375
ENSG00000115694,STK25,0.3358,0.4676,0.6135,0.3835,0.0537,0.0774,0.0900,0.0716,0.4244
ENSG00000115750,TAF1B,0.1621,0.2963,0.2129,0.2953,0.0347,0.0664,0.0525,0.0641,0.2861
ENSG00000115756,HPCAL1,0.1324,1.0788,0.3586,0.2787,0.0410,0.1444,0.0729,0.0636,0.2242
ENSG00000115758,ODC1,1.7550,1.6299,1.7972,1.5099,0.1187,0.1932,0.1508,0.1068,0.3757
ENSG00000115760,BIRC6,0.6979,0.5998,0.6131,0.3728,0.0646,0.0874,0.0843,0.0664,0.3505
ENSG00000115761,NOL10,0.5634,0.3678,0.3761,0.5285,0.0667,0.0705,0.0711,0.0766,0.3349
ENSG00000115762,PLEKHB2,0.4719,0.5524,0.7083,0.7001,0.0577,0.1166,0.1200,0.0985,0.4244
ENSG00000115806,GORASP2,0.4950,0.5054,0.8072,0.4822,0.0535,0.0850,0.0790,0.0674,0.3048
ENSG00000115808,STRN,0.2738,0.2634,0.1719,0.1809,0.0439,0.0593,0.0514,0.0558,0.2541
ENSG00000115816,CEBPZ,0.8967,0.5431,0.5823,0.5048,0.0677,0.1094,0.0915,0.0781,0.4028
ENSG00000115825,PRKD3,0.3099,0.1854,0.1575,0.1341,0.0457,0.0522,0.0483,0.0464,0.2585
ENSG00000115827,DCAF17,0.1391,0.1075,0.1400,0.1389,0.0383,0.0452,0.0469,0.0496,0.3320
ENSG00000115839,RAB3GAP1,0.3158,0.3330,0.2865,0.2384,0.0497,0.0753,0.0704,0.0665,0.3525
ENSG00000115840,SLC25A12,0.1361,0.1042,0.0771,0.1694,0.0330,0.0383,0.0374,0.0490,0.2836
ENSG00000115866,DARS,0.9318,0.6671,0.7440,0.8431,0.0710,0.0948,0.0846,0.1031,0.3577
ENSG00000115875,SRSF7,1.6926,1.3415,1.2666,1.7266,0.0801,0.2601,0.1696,0.1015,0.3840
ENSG00000115904,SOS1,0.2606,0.2881,0.4098,0.1638,0.0478,0.0647,0.0824,0.0517,0.3086
ENSG00000115942,ORC2,0.2868,0.1949,0.2412,0.2343,0.0452,0.0539,0.0579,0.0596,0.2800
ENSG00000115944,COX7A2L,1.1684,1.0534,1.1759,0.6364,0.0767,0.1023,0.0973,0.0886,0.4441
ENSG00000115946,PNO1,0.6369,0.3193,0.5489,0.5711,0.0726,0.0786,0.0991,0.0855,0.3692
ENSG00000115947,ORC4,0.3262,0.2230,0.2620,0.2983,0.0539,0.0618,0.0697,0.0690,0.4013
ENSG00000115966,ATF2,0.2647,0.1736,0.3849,0.2787,0.0441,0.0514,0.0693,0.0691,0.2863
ENSG00000115970,THADA,0.2238,0.1397,0.1274,0.1367,0.0403,0.0431,0.0431,0.0471,0.2540
ENSG00000115977,AAK1,0.2008,0.5380,0.3200,0.5429,0.0667,0.0942,0.1124,0.0988,0.4042
ENSG00000116001,TIA1,0.3893,0.2272,0.3721,0.6023,0.0531,0.0604,0.0695,0.0839,0.2917
ENSG00000116005,PCYOX1,0.2841,0.4323,0.7609,0.2005,0.0523,0.0852,0.1061,0.0538,0.3269
ENSG00000116030,SUMO1,1.3000,1.1558,1.0866,1.4232,0.0565,0.0775,0.0840,0.0731,0.3434
ENSG00000116044,NFE2L2,0.5881,0.6093,1.1108,0.4730,0.0701,0.1057,0.1000,0.0758,0.3122
ENSG00000116062,MSH6,0.8568,0.7152,0.5513,0.4934,0.0759,0.1662,0.1339,0.0861,0.3585
ENSG00000116095,PLEKHA3,0.2253,0.4669,0.3274,0.4086,0.0427,0.0899,0.0813,0.0736,0.3955
ENSG00000116096,SPR,0.2744,0.1238,0.3988,0.1663,0.0489,0.0503,0.0758,0.0517,0.3424
ENSG00000116120,FARSB,0.6892,0.4421,0.3158,0.5360,0.0866,0.0915,0.0653,0.0932,0.3594
ENSG00000116127,ALMS1,0.1237,0.1360,0.1445,0.2229,0.0325,0.0461,0.0456,0.0582,0.2568
ENSG00000116133,DHCR24,0.7782,0.3890,1.0673,0.4539,0.0979,0.1090,0.1514,0.1070,0.4218
ENSG00000116138,DNAJC16,0.1671,0.1446,0.2035,0.1248,0.0383,0.0564,0.0576,0.0466,0.3322
ENSG00000116161,CACYBP,1.8030,1.2193,1.0439,1.7610,0.0862,0.2049,0.1273,0.1055,0.4071
ENSG00000116171,SCP2,0.7832,0.5633,0.6703,0.7452,0.0658,0.0831,0.1075,0.0835,0.3713
ENSG00000116191,RALGPS2,0.1999,0.2067,0.2311,0.1035,0.0458,0.0580,0.0567,0.0419,0.2727
ENSG00000116198,CEP104,0.2218,0.2355,0.3733,0.4374,0.0437,0.0584,0.0663,0.0707,0.3149
ENSG00000116199,FAM20B,0.5056,0.2831,0.1774,0.2081,0.0620,0.0590,0.0497,0.0515,0.2814
ENSG00000116209,TMEM59,0.8524,0.8158,0.7524,0.6740,0.0895,0.2047,0.1334,0.1044,0.5041
ENSG00000116212,LRRC42,0.2380,0.2913,0.2934,0.2828,0.0450,0.0622,0.0621,0.0598,0.2688
ENSG00000116213,WRAP73,0.1691,0.0916,0.2721,0.2952,0.0372,0.0355,0.0713,0.0564,0.2769
ENSG00000116221,MRPL37,1.0405,0.6250,0.8622,0.9822,0.0900,0.0837,0.0937,0.0991,0.3689
ENSG00000116237,ICMT,0.3812,0.4908,0.6026,0.4235,0.0507,0.0922,0.0894,0.0683,0.3071
ENSG00000116251,RPL22,2.7100,2.4604,3.1319,2.4512,0.0683,0.1124,0.1006,0.1029,0.5612
ENSG00000116266,STXBP3,0.2476,0.2757,0.1749,0.3044,0.0471,0.0665,0.0579,0.0675,0.3762
ENSG00000116273,PHF13,0.1835,0.1100,0.1867,0.1305,0.0360,0.0414,0.0533,0.0449,0.2670
ENSG00000116288,PARK7,1.9755,1.8036,2.1567,1.8056,0.0638,0.0893,0.0879,0.0852,0.4663
ENSG00000116337,AMPD2,0.0807,0.1518,0.0701,0.1219,0.0251,0.0525,0.0330,0.0437,0.2863
ENSG00000116350,SRSF4,1.4948,0.7116,0.7586,1.0808,0.0675,0.1008,0.0822,0.0947,0.2971
ENSG00000116353,MECR,0.3113,0.1723,0.1956,0.2648,0.0518,0.0499,0.0542,0.0636,0.3624
ENSG00000116406,EDEM3,0.2699,0.2593,0.1379,0.2768,0.0467,0.0633,0.0490,0.0659,0.2747
ENSG00000116455,WDR77,0.4594,0.2264,0.4030,0.3890,0.0628,0.0601,0.0751,0.0735,0.3990
ENSG00000116459,ATP5PB,1.5781,1.0619,1.0427,1.2505,0.0654,0.0761,0.0785,0.0832,0.3736
ENSG00000116473,RAP1A,0.4132,0.3957,0.2594,0.3628,0.0546,0.0647,0.0584,0.0667,0.2800
ENSG00000116478,HDAC1,1.1426,0.4828,0.6510,1.4334,0.0855,0.0890,0.0886,0.0839,0.3475
ENSG00000116489,CAPZA1,0.9619,0.8679,0.6058,0.9809,0.0583,0.0824,0.0760,0.0775,0.3305
ENSG00000116497,S100PBP,0.3488,0.1966,0.1082,0.3223,0.0533,0.0530,0.0390,0.0685,0.2665
ENSG00000116521,SCAMP3,0.2972,0.2888,0.2602,0.3665,0.0542,0.0638,0.0582,0.0655,0.3125
ENSG00000116539,ASH1L,0.6064,0.5432,0.3545,0.7073,0.0775,0.0898,0.0827,0.1045,0.4597
ENSG00000116560,SFPQ,2.0281,1.5073,1.5184,2.0495,0.0768,0.2302,0.1674,0.0997,0.3666
ENSG00000116580,GON4L,0.3877,0.2800,0.2022,0.4377,0.0521,0.0659,0.0520,0.0721,0.3037
ENSG00000116584,ARHGEF2,0.1828,0.1507,0.0456,0.3958,0.0472,0.0677,0.0431,0.0691,0.3392
ENSG00000116586,LAMTOR2,0.5622,0.5688,0.5999,0.8448,0.0668,0.0850,0.0815,0.0923,0.4160
ENSG00000116641,DOCK7,0.2076,0.5471,0.2908,0.2141,0.0387,0.0822,0.0631,0.0581,0.2844
ENSG00000116649,SRM,1.6696,1.4903,1.7434,1.6892,0.1299,0.1338,0.1559,0.1315,0.5279
ENSG00000116670,MAD2L2,0.5930,0.3226,0.7270,0.8266,0.0745,0.0738,0.0932,0.1000,0.2794
ENSG00000116679,IVNS1ABP,0.3164,0.3127,0.1777,0.3289,0.0512,0.0753,0.0543,0.0673,0.3352
ENSG00000116685,KIAA2013,0.3664,0.3994,1.0109,0.3652,0.0509,0.0674,0.0986,0.0661,0.2826
ENSG00000116688,MFN2,0.2358,0.1902,0.3101,0.1024,0.0421,0.0522,0.0623,0.0393,0.2788
ENSG00000116691,MIIP,0.2852,0.0959,0.3575,0.3035,0.0675,0.0375,0.0694,0.0771,0.3639
ENSG00000116698,SMG7,0.4143,0.2417,0.2517,0.4255,0.0579,0.0650,0.0611,0.0751,0.3540
ENSG00000116704,SLC35D1,0.1143,0.1352,0.2041,0.0952,0.0328,0.0446,0.0553,0.0400,0.2612
ENSG00000116717,GADD45A,0.8162,0.5936,0.6721,0.1119,0.0885,0.3166,0.2228,0.0449,0.3168
