cell_line,knockdown,n_cells,effect_l2,relative_effect,n_de_genes,on_target_residual,mean_cross_line_r
RPE1,COG1,66,8.4177,1.0610,85,0.0000,0.1140
RPE1,COG2,40,7.1780,0.9048,1,0.0000,0.1427
RPE1,COG3,15,14.2784,1.7997,11,,0.1780
RPE1,COG4,66,6.7960,0.8566,44,0.1535,0.0721
RPE1,COG6,96,4.0965,0.5164,8,,0.0664
RPE1,COG8,20,10.9726,1.3830,3,,0.0283
RPE1,COPA,30,8.0375,1.0131,40,0.8176,0.0986
RPE1,COPB1,30,10.9818,1.3842,164,0.5454,0.1807
RPE1,COPB2,31,7.9846,1.0064,37,0.5604,0.1701
RPE1,COPE,17,11.6165,1.4642,78,0.1713,0.0698
RPE1,COPG1,54,3.4991,0.4410,1,0.7931,0.0393
RPE1,COPS2,49,11.6689,1.4708,99,0.1035,0.1678
RPE1,COPS3,47,11.6581,1.4695,105,0.0885,0.1973
RPE1,COPS4,51,11.5959,1.4616,62,0.3405,0.2046
RPE1,COPS5,32,12.2550,1.5447,8,0.1638,0.0911
RPE1,COPS6,55,14.4120,1.8166,658,0.0525,0.1574
RPE1,COPS8,74,11.3770,1.4340,436,0.0203,0.0964
RPE1,COPZ1,72,3.1375,0.3955,0,0.8593,0.0614
RPE1,COQ2,195,2.6408,0.3329,3,0.0902,0.0184
RPE1,COQ4,41,7.4404,0.9378,16,0.0300,0.1057
RPE1,COQ5,78,3.9349,0.4960,0,0.0724,0.0188
RPE1,COX10,167,2.9461,0.3713,1,,0.0741
RPE1,COX11,116,7.8071,0.9840,94,0.0228,0.1085
RPE1,COX15,48,6.2004,0.7815,14,0.0546,0.1047
RPE1,COX17,80,4.3006,0.5421,3,0.0640,0.1188
RPE1,COX5A,193,2.9244,0.3686,4,0.0689,0.2067
RPE1,COX5B,84,4.2763,0.5390,1,0.0311,0.1873
RPE1,COX6C,132,3.3457,0.4217,2,0.0439,0.1402
RPE1,COX7B,70,4.0182,0.5065,1,0.0335,0.1216
RPE1,COX7C,176,3.0295,0.3819,1,0.0915,0.2105
RPE1,CPAMD8,208,3.0051,0.3788,4,,0.0492
RPE1,CPNE7,185,3.8099,0.4802,17,,0.1133
RPE1,CPOX,48,4.4925,0.5663,0,0.0623,0.0045
RPE1,CPSF1,50,11.9099,1.5012,359,0.0000,0.3556
RPE1,CPSF2,28,7.3690,0.9288,3,0.0958,0.1266
RPE1,CPSF3,188,9.8504,1.2416,1761,0.1909,0.4622
RPE1,CPSF4,32,13.4981,1.7014,226,0.0000,0.4601
RPE1,CPSF6,27,14.4626,1.8229,348,0.1148,0.4231
RPE1,CRCP,91,4.6414,0.5850,10,0.0000,0.0173
RPE1,CRKL,37,6.1270,0.7723,0,0.3171,-0.0043
RPE1,CRLS1,51,4.8139,0.6068,2,0.1445,0.0323
RPE1,CRNKL1,12,14.2450,1.7955,47,0.0000,0.2293
RPE1,CS,105,3.8766,0.4886,9,0.1189,0.0557
RPE1,CSE1L,276,12.9618,1.6338,3110,0.0886,0.4643
RPE1,CSH2,164,2.1393,0.2696,0,,-0.0096
RPE1,CSNK1A1,13,11.3579,1.4316,5,0.1130,0.1119
RPE1,CSNK2B,78,6.5867,0.8302,28,0.0963,0.2419
RPE1,CSTF1,119,10.5037,1.3239,1124,0.1056,0.2617
RPE1,CSTF3,67,8.9417,1.1271,220,0.3169,0.4397
RPE1,CTBP2,97,3.8978,0.4913,3,,0.0342
RPE1,CTCF,22,10.1697,1.2818,1,0.0581,0.1549
RPE1,CTDP1,25,10.0044,1.2610,18,,0.2617
RPE1,CTNNBL1,80,6.5665,0.8277,16,0.1062,0.3004
RPE1,CTPS1,26,11.7889,1.4859,65,0.0398,0.2442
RPE1,CTR9,41,9.2647,1.1678,91,0.2044,0.3440
RPE1,CTU2,82,7.1523,0.9015,96,0.0806,0.2902
RPE1,CUL1,73,6.6216,0.8346,110,0.0975,0.1317
RPE1,CUL2,32,14.8333,1.8697,53,0.0959,0.2090
RPE1,CUL3,102,6.7210,0.8471,198,0.0443,0.0838
RPE1,CUL7,36,7.7719,0.9796,13,,0.1370
RPE1,CWC15,74,12.0246,1.5156,1027,0.2429,0.5002
RPE1,CWC22,23,17.0359,2.1473,623,0.3068,0.3968
RPE1,CWC25,31,8.3922,1.0578,0,0.0000,0.1008
RPE1,CWF19L2,58,8.0087,1.0095,13,0.0000,0.3344
RPE1,CXXC1,93,8.0569,1.0155,389,0.0354,0.3225
RPE1,CYC1,92,4.7447,0.5980,15,0.1680,0.0371
RPE1,CYCS,120,3.3570,0.4231,1,0.0360,0.1568
RPE1,CYFIP1,27,8.9148,1.1237,3,0.0000,0.0211
RPE1,CYP2A13,94,3.5058,0.4419,2,,0.0063
RPE1,CYP4F11,90,3.8793,0.4890,0,,-0.0191
RPE1,CYS1,177,2.8642,0.3610,7,,0.0438
RPE1,DAD1,39,10.3270,1.3017,54,0.1598,0.3194
RPE1,DAP3,142,3.3203,0.4185,8,0.0435,0.1246
RPE1,DARS,32,15.8910,2.0030,419,0.0610,0.4180
RPE1,DBF4,87,3.7121,0.4679,0,0.0713,0.0379
RPE1,DBR1,131,11.6841,1.4727,2066,,0.4301
RPE1,DCAF6,133,3.3049,0.4166,2,0.0596,0.0289
RPE1,DCLRE1B,14,12.8447,1.6190,0,,0.0663
RPE1,DCTN1,156,2.7869,0.3513,1,0.2888,0.0777
RPE1,DCTN2,102,10.0806,1.2706,549,0.0216,0.1668
RPE1,DCTN3,159,7.7147,0.9724,426,0.0592,0.1149
RPE1,DCTN4,114,11.3431,1.4297,1417,0.0950,0.0927
RPE1,DCTN5,19,11.8667,1.4957,0,0.0958,0.0449
RPE1,DCTN6,74,9.6223,1.2128,105,0.0782,0.0698
RPE1,DCUN1D5,87,10.5655,1.3317,793,0.1027,0.4235
RPE1,DDB1,62,5.2685,0.6641,0,0.6113,0.1670
RPE1,DDN,266,2.1282,0.2682,1,,0.0200
RPE1,DDOST,58,8.1829,1.0314,61,0.0632,0.2643
RPE1,DDX1,135,4.5727,0.5764,47,0.1133,0.0863
RPE1,DDX10,37,12.1012,1.5253,0,0.3109,0.3400
RPE1,DDX11,95,3.4774,0.4383,0,0.0784,0.0017
RPE1,DDX18,14,15.1870,1.9143,37,0.1515,0.4233
RPE1,DDX19A,400,2.2310,0.2812,11,0.0733,0.0100
RPE1,DDX19B,184,1.8018,0.2271,0,,0.0023
RPE1,DDX20,44,9.6106,1.2114,39,0.0000,0.3997
RPE1,DDX21,28,15.4949,1.9531,52,0.0451,0.3033
RPE1,DDX23,184,13.1062,1.6520,3146,0.1849,0.4837
RPE1,DDX24,20,10.8684,1.3699,0,0.4361,0.2403
RPE1,DDX27,35,12.1095,1.5263,5,0.1780,0.2022
RPE1,DDX3X,24,10.8071,1.3622,23,0.2084,0.1518
RPE1,DDX41,32,11.5798,1.4596,178,0.1489,0.5707
RPE1,DDX42,118,3.3337,0.4202,1,0.4637,0.0346
RPE1,DDX46,112,4.1334,0.5210,2,0.6219,0.4214
RPE1,DDX47,93,12.8021,1.6136,1284,,0.4910
RPE1,DDX49,6,18.5850,2.3426,0,0.0000,0.1289
RPE1,DDX5,203,3.8140,0.4807,17,0.0499,0.2867
RPE1,DDX51,57,8.6450,1.0897,3,0.2235,0.2659
RPE1,DDX52,35,13.0141,1.6404,18,0.0405,0.3184
RPE1,DDX54,60,3.9341,0.4959,0,0.5502,0.1672
RPE1,DDX55,78,9.7484,1.2287,118,0.0759,0.2464
RPE1,DDX56,28,12.8220,1.6162,3,0.0898,0.2863
RPE1,DDX59,49,7.2477,0.9135,8,0.3275,0.1583
RPE1,DDX6,22,11.9011,1.5001,9,0.2015,0.2816
RPE1,DENR,79,5.4503,0.6870,23,0.0291,0.3031
RPE1,DERL2,147,10.6181,1.3384,810,0.0888,0.4907
RPE1,DHDDS,60,14.1214,1.7799,1111,0.0992,0.4593
RPE1,DHFR,63,4.0004,0.5042,0,0.4298,0.0028
RPE1,DHODH,92,2.4620,0.3103,0,,0.0588
RPE1,DHPS,77,4.8850,0.6157,3,0.1289,0.0694
RPE1,DHX15,82,13.8815,1.7497,1789,0.0704,0.4891
RPE1,DHX16,73,12.6048,1.5888,1481,0.0985,0.5483
RPE1,DHX33,45,9.1495,1.1533,2,0.0468,0.1999
RPE1,DHX36,72,8.5143,1.0732,557,0.0257,0.4083
RPE1,DHX37,40,10.0363,1.2650,4,0.0000,0.3358
RPE1,DHX8,95,12.7976,1.6131,2053,0.4193,0.4537
RPE1,DHX9,89,4.3693,0.5507,11,0.0542,0.1544
RPE1,DICER1,94,5.8803,0.7412,149,0.0000,0.2073
RPE1,DIMT1,36,11.9767,1.5096,16,0.0516,0.3988
RPE1,DIS3,11,14.8324,1.8696,3,0.5430,0.2555
RPE1,DKC1,27,12.3465,1.5562,3,0.1411,0.2088
RPE1,DLD,76,10.2079,1.2867,373,0.1709,0.3586
RPE1,DMAP1,43,13.4899,1.7003,442,0.0000,0.3247
RPE1,DMRTA2,116,3.1814,0.4010,2,,0.0067
RPE1,DNAJA1,88,2.7390,0.3452,1,0.2102,0.1255
RPE1,DNAJA3,158,5.0780,0.6401,16,0.0747,0.3924
RPE1,DNAJC11,89,3.4003,0.4286,1,0.0627,0.0006
RPE1,DNAJC17,73,14.0810,1.7748,1941,0.0000,0.5688
RPE1,DNAJC19,127,2.9987,0.3780,1,0.0540,0.0294
RPE1,DNAJC8,153,3.7277,0.4699,10,0.0640,0.2830
RPE1,DNAJC9,22,9.7703,1.2315,2,0.0418,0.0538
RPE1,DNLZ,144,2.8985,0.3653,0,,-0.0065
RPE1,DNM1,319,2.2694,0.2860,0,,-0.0008
RPE1,DNM1L,99,3.4721,0.4376,6,0.0466,0.0514
RPE1,DNM2,53,9.8431,1.2407,129,0.0410,0.1288
RPE1,DNMT1,113,6.4074,0.8076,153,0.1113,0.1524
RPE1,DNTTIP2,22,14.9076,1.8790,110,0.0000,0.4691
RPE1,DOHH,120,4.5977,0.5795,33,0.1234,0.2746
RPE1,DOLK,121,4.5641,0.5753,37,0.0000,0.0687
RPE1,DONSON,25,8.5561,1.0785,4,0.2450,0.1952
RPE1,DPAGT1,62,8.0543,1.0152,84,0.1430,0.0681
RPE1,DPH1,120,3.1642,0.3988,2,,0.0865
RPE1,DPH2,57,8.2809,1.0438,69,0.0000,0.2950
RPE1,DPH3,63,5.7985,0.7309,12,0.1139,0.0417
RPE1,DPH6,127,3.0115,0.3796,2,0.0903,0.0340
RPE1,DPM2,89,3.7945,0.4783,3,0.1668,0.0540
RPE1,DPPA2,89,3.4683,0.4372,1,,0.0277
RPE1,DPY19L2,95,3.4688,0.4372,2,,0.0444
RPE1,DR1,39,9.8809,1.2454,3,0.0832,0.1079
RPE1,DRAP1,148,4.0711,0.5131,17,0.0852,0.2572
RPE1,DRG1,130,3.7029,0.4667,3,0.0400,0.0935
RPE1,DSN1,40,8.6873,1.0950,27,0.1175,0.3213
RPE1,DTL,49,8.4293,1.0625,8,0.1518,0.2398
RPE1,DTYMK,107,3.6922,0.4654,2,0.0931,0.1747
RPE1,DUT,55,7.4472,0.9387,0,0.0859,0.1693
RPE1,DYNC1H1,35,7.7601,0.9781,4,0.2403,0.0897
RPE1,DYNC1I2,60,8.9089,1.1229,44,0.1201,0.2357
RPE1,DYNLL1,69,5.8214,0.7338,2,0.1096,0.2834
RPE1,DYNLRB1,121,3.4002,0.4286,1,0.4434,0.1397
RPE1,E2F6,156,2.7611,0.3480,0,0.1937,0.0089
RPE1,E4F1,51,8.6323,1.0881,96,,0.3077
RPE1,EARS2,129,5.5511,0.6997,221,,0.1646
RPE1,EBNA1BP2,43,12.2024,1.5381,11,0.1516,0.2598
RPE1,ECD,53,8.4319,1.0628,58,0.2835,0.2471
RPE1,ECT2,24,13.0050,1.6392,0,0.0827,0.0610
RPE1,EDC4,96,5.9812,0.7539,15,0.0929,0.1318
RPE1,EEF1A1,52,5.1993,0.6554,3,0.5900,0.0663
RPE1,EEF1B2,87,4.2763,0.5390,2,0.0881,0.1031
RPE1,EEF1G,61,8.7638,1.1046,110,0.0941,0.4473
RPE1,EEF2,54,8.9226,1.1247,108,0.3451,0.3357
RPE1,EFTUD2,104,14.0681,1.7732,2294,0.1437,0.3754
RPE1,EGLN2,162,2.7733,0.3496,6,0.0415,0.0179
RPE1,EIF1,165,5.0030,0.6306,79,0.1315,0.2825
RPE1,EIF1AD,20,11.1513,1.4056,12,0.0000,0.0856
RPE1,EIF1AX,62,11.8353,1.4918,487,0.1834,0.2712
RPE1,EIF2B1,102,10.4680,1.3194,873,0.0673,0.5015
RPE1,EIF2B2,148,12.2716,1.5468,1975,0.0368,0.6225
RPE1,EIF2B3,104,14.6755,1.8498,1851,0.0293,0.5629
RPE1,EIF2B4,67,16.0903,2.0281,1688,0.1794,0.5493
RPE1,EIF2B5,116,13.9509,1.7584,1977,0.0569,0.5883
RPE1,EIF2S1,83,16.3720,2.0636,2254,0.1377,0.5167
RPE1,EIF2S2,39,11.6641,1.4702,219,0.2488,0.3321
RPE1,EIF2S3,70,13.8222,1.7422,1220,0.1439,0.3733
RPE1,EIF3A,62,12.9425,1.6313,597,0.1501,0.5385
RPE1,EIF3B,123,13.2831,1.6743,1732,0.0890,0.4667
RPE1,EIF3CL,337,12.7145,1.6026,3077,,0.4964
RPE1,EIF3D,55,15.8967,2.0037,1309,0.0780,0.5603
RPE1,EIF3E,50,14.4282,1.8186,604,0.0806,0.4626
RPE1,EIF3F,17,13.6951,1.7262,43,0.0121,0.3247
RPE1,EIF3G,8,17.9183,2.2585,18,0.0000,0.3059
RPE1,EIF3H,19,10.4068,1.3117,7,0.0135,0.3127
RPE1,EIF3I,80,14.0057,1.7654,1212,0.0996,0.4881
RPE1,EIF3J,66,6.3135,0.7958,18,0.0250,0.3298
RPE1,EIF3L,120,4.5280,0.5707,32,0.0264,0.2734
RPE1,EIF3M,82,10.2903,1.2970,526,0.1265,0.5704
RPE1,EIF4A1,51,11.0958,1.3986,232,0.0553,0.3402
RPE1,EIF4A3,32,11.2882,1.4228,53,0.2939,0.2254
RPE1,EIF4B,397,3.6376,0.4585,111,0.0670,0.3121
RPE1,EIF4E,66,11.8758,1.4969,661,0.0318,0.5817
RPE1,EIF4G1,77,8.9339,1.1261,247,0.1401,0.4703
RPE1,EIF4G2,88,5.1231,0.6457,11,0.1610,0.3915
RPE1,EIF5,16,8.2457,1.0393,0,0.4581,0.1491
RPE1,EIF5A,65,11.8340,1.4916,611,0.0636,0.3221
RPE1,EIF6,57,14.1631,1.7852,592,0.0110,0.2752
RPE1,ELAC2,104,6.2175,0.7837,87,0.1213,0.1709
RPE1,ELL,171,8.5716,1.0804,1007,,0.2774
RPE1,ELOVL1,106,3.4467,0.4344,3,0.0546,0.0630
RPE1,ELP2,74,7.4607,0.9404,68,0.0678,0.1839
RPE1,ELP3,110,9.0597,1.1419,554,0.1281,0.4114
RPE1,ELP5,103,6.2450,0.7872,54,0.0595,0.3974
RPE1,ELP6,84,7.9513,1.0022,115,0.1611,0.1278
RPE1,EMC1,22,12.4512,1.5694,1,0.1610,0.0476
RPE1,EMC3,76,3.4218,0.4313,0,0.6080,0.0704
RPE1,EMC4,87,4.2123,0.5309,1,0.0681,0.0897
RPE1,EMC7,140,3.6902,0.4651,1,0.0328,0.1102
RPE1,ENO1,112,4.2251,0.5326,1,0.0362,0.2198
RPE1,EP400,68,6.7907,0.8559,46,0.2806,0.3046
RPE1,EPRS,47,12.6781,1.5980,310,0.1107,0.4054
RPE1,ERAL1,129,3.2010,0.4035,9,0.1480,0.0466
RPE1,ERCC2,97,7.8762,0.9928,167,0.1156,0.3488
RPE1,ERCC3,30,11.2629,1.4196,49,0.3599,0.1646
RPE1,ERH,34,9.5800,1.2075,68,0.3731,0.2864
RPE1,ERVW-1,66,2.9487,0.3717,0,,0.0110
RPE1,ESF1,47,4.5710,0.5762,0,0.3519,0.2108
RPE1,ESPL1,26,10.7653,1.3569,0,,0.2949
RPE1,ESPN,175,2.1979,0.2770,2,,0.0202
RPE1,ETF1,94,14.1356,1.7817,1860,0.1114,0.4521
RPE1,EWSR1,116,3.6520,0.4603,1,0.2298,0.0767
RPE1,EXOC1,48,9.2169,1.1618,75,0.1284,0.1204
RPE1,EXOC2,86,8.0860,1.0192,102,0.0651,0.0376
RPE1,EXOC3,54,6.9605,0.8773,12,0.1312,0.0646
RPE1,EXOC4,29,10.6156,1.3380,28,0.4189,0.1222
RPE1,EXOC5,94,7.5508,0.9517,171,0.0650,0.1569
RPE1,EXOC7,33,10.1694,1.2818,17,0.0729,0.2902
RPE1,EXOC8,46,5.2437,0.6609,3,,0.0213
RPE1,EXOSC1,48,10.6664,1.3444,14,0.0351,0.0551
RPE1,EXOSC10,24,14.1425,1.7826,2,0.1171,0.0477
RPE1,EXOSC2,45,9.5661,1.2058,53,0.2058,0.4825
RPE1,EXOSC3,60,12.2241,1.5408,297,0.1491,0.4401
RPE1,EXOSC4,61,12.8020,1.6136,417,0.0899,0.5032
RPE1,EXOSC5,64,11.3599,1.4319,312,0.1963,0.4601
RPE1,EXOSC6,7,16.4049,2.0678,17,0.5511,0.1772
RPE1,EXOSC7,47,11.6371,1.4668,108,0.1246,0.3749
RPE1,EXOSC8,47,11.5249,1.4527,81,0.0679,0.4639
RPE1,EXOSC9,28,14.9304,1.8819,103,0.1055,0.4405
RPE1,F8A1,85,3.5060,0.4419,0,,0.0060
RPE1,FAF2,118,3.9223,0.4944,13,0.0475,0.1221
RPE1,FAM133B,33,6.9200,0.8722,3,0.4277,0.0596
RPE1,FAM136A,176,1.7567,0.2214,1,0.0421,0.2449
RPE1,FAM207A,208,2.5835,0.3256,2,0.1759,0.0441
RPE1,FAM229A,206,2.5887,0.3263,0,,0.0073
RPE1,FAM32A,45,12.6523,1.5948,420,0.0214,0.4428
RPE1,FAM50A,123,6.9796,0.8797,604,0.0852,0.4385
RPE1,FAM72D,51,5.1210,0.6455,0,,0.0160
RPE1,FARS2,29,8.8817,1.1195,1,0.3003,0.0887
RPE1,FARSA,60,12.5600,1.5831,570,0.0713,0.5223
RPE1,FARSB,34,9.9753,1.2573,38,0.5152,0.4117
RPE1,FASTKD5,119,4.3468,0.5479,17,,0.3258
RPE1,FAU,60,9.8510,1.2417,220,0.2110,0.4746
RPE1,FBL,10,17.6965,2.2306,5,0.0611,0.3867
RPE1,FBLIM1,197,2.5564,0.3222,3,,0.0270
RPE1,FBXO5,10,12.3788,1.5603,1,0.1056,0.0466
RPE1,FCF1,19,14.0369,1.7693,1,0.0000,0.2741
RPE1,FDPS,63,4.3836,0.5525,1,0.0182,0.0601
RPE1,FDXR,116,3.5506,0.4475,7,0.0000,0.0046
RPE1,FEN1,50,7.9795,1.0058,43,0.0897,0.1465
RPE1,FGFR1OP,22,12.7747,1.6102,108,0.0000,0.0928
RPE1,FIP1L1,13,12.6429,1.5936,0,0.4325,0.2289
RPE1,FNBP4,116,8.0143,1.0102,323,0.0214,0.2021
RPE1,FNTA,40,13.1407,1.6563,298,0.1787,0.2888
RPE1,FNTB,140,2.9706,0.3744,1,,0.0506
RPE1,FOLR3,110,2.3998,0.3025,0,,0.1298
RPE1,FOXD4,117,3.3236,0.4189,1,,-0.0145
RPE1,FOXL2,80,3.7732,0.4756,0,,0.0132
RPE1,FRG2,67,4.0039,0.5047,0,,-0.0069
RPE1,FTSJ3,45,16.2987,2.0544,1221,0.2092,0.3833
RPE1,FXN,35,11.7660,1.4830,0,0.1659,0.1137
RPE1,GAB2,782,1.2044,0.1518,1,,0.0269
RPE1,GABPA,67,9.2438,1.1651,136,0.2528,0.2350
RPE1,GAK,80,4.2328,0.5335,1,0.2253,0.0516
RPE1,GAPDH,66,3.3457,0.4217,1,0.3284,0.0834
RPE1,GAR1,32,9.1906,1.1584,2,0.3021,0.1430
RPE1,GARS,120,6.5743,0.8287,210,0.1669,0.3002
RPE1,GATA1,64,4.5134,0.5689,1,,0.0043
RPE1,GBF1,100,14.5802,1.8378,2146,0.0719,0.4284
RPE1,GCOM1,169,2.7377,0.3451,0,,0.0203
RPE1,GEMIN4,82,9.7845,1.2333,762,0.1852,0.3507
RPE1,GEMIN5,95,12.4046,1.5635,1695,0.0000,0.4861
RPE1,GEMIN6,48,6.4702,0.8155,4,0.1367,0.1290
RPE1,GEMIN7,12,11.2320,1.4157,5,0.0000,0.0606
RPE1,GEMIN8,45,8.2357,1.0381,25,,0.1381
RPE1,GET1,113,3.7522,0.4729,3,0.4297,0.0385
RPE1,GET3,175,3.4203,0.4311,16,0.0749,0.0689
RPE1,GFER,69,7.0686,0.8910,5,0.0624,0.1865
RPE1,GFM1,1699,2.7549,0.3472,121,0.0496,0.3621
RPE1,GGPS1,57,9.5809,1.2076,151,0.3330,0.0444
RPE1,GINS1,44,11.6115,1.4636,51,0.0894,0.4880
RPE1,GINS2,59,10.5821,1.3338,79,0.0295,0.4126
RPE1,GINS3,24,12.2207,1.5404,1,,0.2611
RPE1,GINS4,81,11.4833,1.4474,685,0.0599,0.4271
RPE1,GIT2,52,7.5660,0.9537,7,0.2747,0.2113
RPE1,GJA3,95,3.5582,0.4485,0,,0.0075
RPE1,GLE1,83,9.9220,1.2506,280,0.1274,0.2701
RPE1,GLI4,62,4.1592,0.5242,0,0.1136,-0.0049
RPE1,GLMN,13,8.8749,1.1186,0,0.0000,0.1001
RPE1,GLRX3,83,4.2838,0.5400,6,0.0410,0.0799
RPE1,GLRX5,257,2.4671,0.3110,10,0.0477,0.0975
RPE1,GMPPB,101,3.3669,0.4244,1,0.0304,0.1291
RPE1,GMPS,21,7.9135,0.9975,1,0.1383,0.1021
RPE1,GNB1L,105,4.3881,0.5531,3,,0.0919
RPE1,GNL2,57,11.9107,1.5013,185,0.3214,0.3192
RPE1,GNL3,46,12.3597,1.5579,27,0.1960,0.2804
RPE1,GNL3L,20,14.3009,1.8026,3,0.3988,0.2092
RPE1,GNPNAT1,189,2.5943,0.3270,3,0.0225,0.1070
RPE1,GOLGA6L1,121,3.3060,0.4167,3,,0.0022
RPE1,GOLT1B,148,6.6718,0.8410,339,0.0878,0.0721
RPE1,GON4L,61,4.2502,0.5357,1,0.2859,0.1387
RPE1,GOSR2,25,15.5582,1.9610,565,0.0653,0.1668
RPE1,GPKOW,42,15.0854,1.9014,1370,0.1874,0.4133
RPE1,GPN1,25,9.8945,1.2472,18,0.0874,0.3369
RPE1,GPN2,38,9.2464,1.1655,3,0.1158,0.3487
RPE1,GPN3,36,9.8708,1.2442,43,0.1515,0.5112
RPE1,GPR61,51,4.3679,0.5505,0,,-0.0085
RPE1,GPS1,242,11.2651,1.4199,2196,0.0854,0.2138
RPE1,GRB2,93,3.3483,0.4220,0,0.5081,0.0993
RPE1,GRPEL1,101,9.8210,1.2379,590,0.1411,0.4578
RPE1,GRSF1,133,3.8026,0.4793,11,0.0913,0.1626
RPE1,GRWD1,71,10.6412,1.3413,158,0.0649,0.0137
RPE1,GSDMA,114,3.5825,0.4516,1,,0.0523
RPE1,GSPT1,50,10.4762,1.3205,251,0.0798,0.5433
RPE1,GTF2A1,40,7.6221,0.9607,9,0.3452,0.3654
RPE1,GTF2A2,63,6.6250,0.8350,45,0.0744,0.3304
RPE1,GTF2B,22,10.6294,1.3398,2,0.2145,0.1792
RPE1,GTF2E1,47,9.8954,1.2473,52,,0.2427
RPE1,GTF2E2,280,9.6278,1.2135,2571,0.1690,0.4954
RPE1,GTF2F1,39,6.4110,0.8081,3,0.1351,0.0863
RPE1,GTF2F2,64,10.4965,1.3230,336,0.1775,0.4243
RPE1,GTF2H1,20,9.8723,1.2444,12,0.1182,0.4098
RPE1,GTF2H2,49,8.5120,1.0729,21,0.1678,0.1367
RPE1,GTF2H2C,22,10.0158,1.2624,3,,0.1186
RPE1,GTF2H3,67,7.5908,0.9568,34,0.0282,0.1207
RPE1,GTF2H4,57,10.0579,1.2677,46,0.1028,0.2991
RPE1,GTF3A,37,13.9012,1.7522,493,0.0670,0.2030
RPE1,GTF3C1,66,10.8046,1.3619,391,0.0000,0.1106
RPE1,GTF3C2,80,6.9291,0.8734,80,0.1839,0.1192
RPE1,GTF3C3,71,7.0773,0.8921,61,0.0967,0.0729
RPE1,GTF3C4,942,3.7873,0.4774,910,0.2074,0.2165
RPE1,GTF3C5,108,4.4833,0.5651,1,0.1989,0.0551
RPE1,GTF3C6,138,3.9098,0.4928,3,0.0499,0.1067
RPE1,GTPBP4,56,7.3589,0.9276,1,0.2479,0.1785
RPE1,GUCD1,58,10.3836,1.3088,246,0.2293,0.5139
RPE1,GUK1,138,3.8578,0.4863,1,0.0572,0.0931
RPE1,H2AFX,109,3.1373,0.3954,1,0.0309,0.0395
RPE1,H2AFZ,274,4.1394,0.5218,28,0.0471,0.3395
RPE1,H3F3A,137,3.1474,0.3967,1,0.1215,0.1805
RPE1,HAMP,172,2.9155,0.3675,9,,0.0537
RPE1,HAPLN2,67,4.0955,0.5162,1,,0.0048
RPE1,HARS,87,13.0831,1.6491,1407,0.0621,0.5843
RPE1,HARS2,24,12.1709,1.5341,76,,0.2523
RPE1,HAUS1,49,8.5501,1.0777,2,0.0811,0.0383
RPE1,HAUS3,40,8.9509,1.1282,0,0.4374,0.0586
RPE1,HAUS4,155,9.7905,1.2341,1288,0.0315,0.1647
RPE1,HAUS5,90,8.0503,1.0147,10,,0.1122
RPE1,HAUS6,62,6.9253,0.8729,1,0.0180,0.1168
RPE1,HAUS7,58,3.5058,0.4419,0,,0.0175
RPE1,HAUS8,172,7.0438,0.8878,250,0.1260,0.1093
RPE1,HBS1L,49,7.5144,0.9471,26,0.1437,0.3299
RPE1,HCFC1,19,13.3550,1.6833,100,0.5424,0.2060
RPE1,HCRTR1,67,3.8995,0.4915,0,,-0.0054
RPE1,HDAC3,59,7.0407,0.8874,19,0.0339,0.1575
RPE1,HDAC7,95,10.3520,1.3048,549,0.2061,0.2273
RPE1,HEATR1,13,13.5851,1.7123,0,0.3708,0.2637
RPE1,HECTD1,86,3.9076,0.4925,1,0.0716,0.0810
RPE1,HGS,46,9.1092,1.1482,25,0.0640,0.3264
RPE1,HINFP,10,12.6407,1.5933,0,,0.2340
RPE1,HIRA,122,4.4872,0.5656,11,,0.1462
RPE1,HIST1H2AB,50,4.5461,0.5730,0,,0.0012
RPE1,HIST1H2AE,85,3.8799,0.4890,0,,-0.0054
RPE1,HIST1H2AI,29,5.8257,0.7343,0,,0.0517
RPE1,HIST1H2BB,109,3.1031,0.3911,0,,0.0191
RPE1,HIST1H2BC,239,2.1363,0.2693,0,,0.0355
RPE1,HIST1H2BE,61,4.2638,0.5374,0,,-0.0173
RPE1,HIST1H2BJ,67,4.2805,0.5395,2,,-0.0014
RPE1,HIST1H2BL,106,3.4617,0.4363,0,,-0.0080
RPE1,HIST1H2BM,113,2.9805,0.3757,0,,0.0087
RPE1,HIST1H2BN,86,3.5790,0.4511,0,,0.0256
RPE1,HIST2H2AA3,45,4.5569,0.5744,0,,0.0034
RPE1,HIST2H2AC,25,6.7285,0.8481,1,0.3111,0.0166
RPE1,HIST2H2BE,111,3.0386,0.3830,1,,0.0047
RPE1,HIST2H2BF,67,3.9051,0.4922,0,,0.0029
RPE1,HIST2H3A,80,3.6428,0.4592,0,,-0.0064
RPE1,HIST2H3D,118,3.0064,0.3789,0,,0.0044
RPE1,HJURP,120,6.1918,0.7804,77,0.0628,0.1487
RPE1,HLA-C,67,4.0069,0.5050,1,0.0709,-0.0192
RPE1,HMGA1,71,5.7036,0.7189,10,0.0715,0.1634
RPE1,HMGB1,66,4.0424,0.5095,0,0.7856,0.0631
RPE1,HMGCR,45,5.4355,0.6851,0,0.0000,0.1031
RPE1,HMGCS1,259,3.0268,0.3815,6,,0.4038
RPE1,HMGN2,47,5.0618,0.6380,1,0.0572,0.0718
