AF_Score,BG,DCA_Score,Function,Gene Name,Interacting Partner,Protein Name,RF_Score,SP,Subcellular Locality,UP,confident,pdb,is_membrane,is_cell_surface,AF
0.02386,Y,0.109,Unfolded protein response,EDEM1,Q92611,ER degradation-enhancing alpha-mannosidase-like protein 1,0.10565,Y,"Endoplasmic reticulum, Membrane",N,Not confident,none,True,False,0.02386
0.02356,Y,0.136,"Host cell receptor for virus entry, Host-virus interaction, Ion transport, Lipid transport, Receptor, Sodium transport, Symport, Transport",SLC10A1,Q14973,Hepatic sodium/bile acid cotransporter,0.03226,N,"Cell membrane, Membrane",Y,Not confident,none,True,True,0.02356
0.02216,N,0.164,NA,TAF11L11,A0A1W2PQ09,TATA-box-binding protein-associated factor 11-like protein 11,9.85e-05,N,NA,N,Not confident,none,False,False,0.02216
0.02122,N,0.197,"Acute phase, Protease inhibitor, Serine protease inhibitor",SERPINF2,P08697,Alpha-2-antiplasmin,0.452,N,Secreted,N,Not confident,none,False,False,0.02122
0.02063,N,0.122,"G-protein coupled receptor, Olfaction, Receptor, Sensory transduction, Transducer",OR51A7,Q8NH64,Olfactory receptor 51A7,0.3645,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.02063
0.01768,Y,0.094,NA,GOLM1,Q8NBJ4,Golgi membrane protein 1,0.118,Y,"Golgi apparatus, Membrane",N,Not confident,none,True,False,0.01768
0.01762,N,0.918,"Cell adhesion, Immunity, Inflammatory response, Receptor",OLR1,P78380,Oxidized low-density lipoprotein receptor 1,0.1804,N,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.01762
0.01668,Y,0.095,"Kinase, Serine/threonine-protein kinase, Transferase",RAF1,P04049,RAF proto-oncogene serine/threonine-protein kinase,0.08545,N,"Cell membrane, Cytoplasm, Membrane, Mitochondrion, Nucleus",N,Not confident,none,True,True,0.01668
0.01648,N,0.105,NA,TNN,Q9UQP3,Tenascin-N,0.3445,N,"Extracellular matrix, Secreted",N,Not confident,none,False,False,0.01648
0.01627,Y,0.085,NA,PLVAP,Q9BX97,Plasmalemma vesicle-associated protein,0.1006,Y,"Cell membrane, Cytoplasm, Membrane",N,Not confident,none,True,True,0.01627
0.01625,Y,0.125,DNA-binding,LEUTX,A8MZ59,Paired-like homeodomain transcription factor LEUTX,0.0003612,N,Nucleus,Y,Not confident,none,False,False,0.01625
0.0161,Y,0.139,"Chaperone, Host-virus interaction",CANX,P27824,Calnexin,0.07184,Y,"Endoplasmic reticulum, Membrane, Mitochondrion",N,Not confident,none,True,False,0.0161
0.01494,Y,0.141,"Apoptosis, Cell cycle",BLCAP,P62952,Bladder cancer-associated protein,0.0005956,N,Membrane,Y,Not confident,none,True,False,0.01494
0.01339,Y,0.074,"Chaperone, Host-virus interaction, Hydrolase",HSPA5,P11021,Endoplasmic reticulum chaperone BiP,0.0855,Y,"Cytoplasm, Endoplasmic reticulum",N,Not confident,none,False,False,0.01339
0.012985,Y,0.082,Growth factor binding,IGFBP5,P24593,Insulin-like growth factor-binding protein 5,0.0268,Y,Secreted,Y,Not confident,none,False,False,0.012985
0.01298,Y,0.128,"DNA damage, DNA replication, Host-virus interaction, Transferase, Ubl conjugation pathway",RBBP6,Q7Z6E9,E3 ubiquitin-protein ligase RBBP6,0.064,N,"Chromosome, Cytoplasm, Cytoskeleton, Nucleus",N,Not confident,none,False,False,0.01298
0.01141,N,0.108,"Cell adhesion, Host cell receptor for virus entry, Host-virus interaction, Receptor",ICAM1,P05362,Intercellular adhesion molecule 1,0.2734,N,Membrane,N,Not confident,none,True,False,0.01141
0.01067,N,0.151,"Cell adhesion, Phagocytosis",PECAM1,P16284,Platelet endothelial cell adhesion molecule,0.2913,N,"Cell junction, Cell membrane, Membrane",N,Not confident,none,True,True,0.01067
0.00969,Y,0.107,"Apoptosis, Cell adhesion, Endocytosis, Heparin-binding, Notch signaling pathway, Protease inhibitor, Serine protease inhibitor",APP,P05067,Amyloid-beta precursor protein,0.0952,N,"Amyloid, Cell membrane, Cell projection, Coated pit, Cytoplasm, Cytoplasmic vesicle, Endoplasmic reticulum, Endosome, Golgi apparatus, Membrane, Nucleus, Secreted",N,Not confident,none,True,True,0.00969
0.004955,Y,0.11,NA,LMNA,P02545,Prelamin-A/C,0.06635,N,"Intermediate filament, Nucleus",N,Not confident,none,False,False,0.004955
0.00449,Y,0.089,"Exocytosis, Neurotransmitter transport, Sensory transduction, Transport, Vision",CPLX4,Q7Z7G2,Complexin-4,0.1654,N,"Cell membrane, Membrane, Synapse",Y,Not confident,none,True,True,0.00449
0.003618,N,0.086,Cilium biogenesis/degradation,OFD1,O75665,Centriole and centriolar satellite protein OFD1,0.11993,Y,"Cell projection, Cilium, Cytoplasm, Cytoskeleton, Nucleus",N,Not confident,none,False,False,0.003618
