group,cell_type,perturbation,is_vehicle,product_name,dose,target,pathway,n_cells,total_umi
A549|Lapatinib (GW-572016) Ditosylate__100.0,A549,Lapatinib (GW-572016) Ditosylate__100.0,False,Lapatinib (GW-572016) Ditosylate,100.0,"EGFR,HER2",Protein Tyrosine Kinase,263,369067
A549|Lapatinib (GW-572016) Ditosylate__1000.0,A549,Lapatinib (GW-572016) Ditosylate__1000.0,False,Lapatinib (GW-572016) Ditosylate,1000.0,"EGFR,HER2",Protein Tyrosine Kinase,229,306178
A549|Lapatinib (GW-572016) Ditosylate__10000.0,A549,Lapatinib (GW-572016) Ditosylate__10000.0,False,Lapatinib (GW-572016) Ditosylate,10000.0,"EGFR,HER2",Protein Tyrosine Kinase,124,133643
A549|Lenalidomide (CC-5013)__10.0,A549,Lenalidomide (CC-5013)__10.0,False,Lenalidomide (CC-5013),10.0,TNF-alpha,Apoptosis,233,393838
A549|Lenalidomide (CC-5013)__100.0,A549,Lenalidomide (CC-5013)__100.0,False,Lenalidomide (CC-5013),100.0,TNF-alpha,Apoptosis,237,337185
A549|Lenalidomide (CC-5013)__1000.0,A549,Lenalidomide (CC-5013)__1000.0,False,Lenalidomide (CC-5013),1000.0,TNF-alpha,Apoptosis,217,351136
A549|Lenalidomide (CC-5013)__10000.0,A549,Lenalidomide (CC-5013)__10000.0,False,Lenalidomide (CC-5013),10000.0,TNF-alpha,Apoptosis,164,261812
A549|Linifanib (ABT-869)__10.0,A549,Linifanib (ABT-869)__10.0,False,Linifanib (ABT-869),10.0,"CSF-1R,PDGFR,VEGFR",Protein Tyrosine Kinase,211,324583
A549|Linifanib (ABT-869)__100.0,A549,Linifanib (ABT-869)__100.0,False,Linifanib (ABT-869),100.0,"CSF-1R,PDGFR,VEGFR",Protein Tyrosine Kinase,233,353197
A549|Linifanib (ABT-869)__1000.0,A549,Linifanib (ABT-869)__1000.0,False,Linifanib (ABT-869),1000.0,"CSF-1R,PDGFR,VEGFR",Protein Tyrosine Kinase,236,342056
A549|Linifanib (ABT-869)__10000.0,A549,Linifanib (ABT-869)__10000.0,False,Linifanib (ABT-869),10000.0,"CSF-1R,PDGFR,VEGFR",Protein Tyrosine Kinase,226,406506
A549|Lomustine __10.0,A549,Lomustine __10.0,False,Lomustine ,10.0,DNA/RNA Synthesis,DNA Damage,198,290579
A549|Lomustine __100.0,A549,Lomustine __100.0,False,Lomustine ,100.0,DNA/RNA Synthesis,DNA Damage,191,277012
A549|Lomustine __1000.0,A549,Lomustine __1000.0,False,Lomustine ,1000.0,DNA/RNA Synthesis,DNA Damage,252,401161
A549|Lomustine __10000.0,A549,Lomustine __10000.0,False,Lomustine ,10000.0,DNA/RNA Synthesis,DNA Damage,172,267037
"A549|Luminespib (AUY-922, NVP-AUY922)__10.0",A549,"Luminespib (AUY-922, NVP-AUY922)__10.0",False,"Luminespib (AUY-922, NVP-AUY922)",10.0,HSP (e.g. HSP90),Cytoskeletal Signaling,213,353424
"A549|Luminespib (AUY-922, NVP-AUY922)__100.0",A549,"Luminespib (AUY-922, NVP-AUY922)__100.0",False,"Luminespib (AUY-922, NVP-AUY922)",100.0,HSP (e.g. HSP90),Cytoskeletal Signaling,148,269975
"A549|Luminespib (AUY-922, NVP-AUY922)__1000.0",A549,"Luminespib (AUY-922, NVP-AUY922)__1000.0",False,"Luminespib (AUY-922, NVP-AUY922)",1000.0,HSP (e.g. HSP90),Cytoskeletal Signaling,146,228299
"A549|Luminespib (AUY-922, NVP-AUY922)__10000.0",A549,"Luminespib (AUY-922, NVP-AUY922)__10000.0",False,"Luminespib (AUY-922, NVP-AUY922)",10000.0,HSP (e.g. HSP90),Cytoskeletal Signaling,193,285023
A549|M344__10.0,A549,M344__10.0,False,M344,10.0,HDAC,Cytoskeletal Signaling,237,392251
A549|M344__100.0,A549,M344__100.0,False,M344,100.0,HDAC,Cytoskeletal Signaling,203,336384
A549|M344__1000.0,A549,M344__1000.0,False,M344,1000.0,HDAC,Cytoskeletal Signaling,210,353001
A549|M344__10000.0,A549,M344__10000.0,False,M344,10000.0,HDAC,Cytoskeletal Signaling,148,315460
A549|MC1568__10.0,A549,MC1568__10.0,False,MC1568,10.0,HDAC,Cytoskeletal Signaling,678,1041802
A549|MC1568__100.0,A549,MC1568__100.0,False,MC1568,100.0,HDAC,Cytoskeletal Signaling,625,980801
A549|MC1568__1000.0,A549,MC1568__1000.0,False,MC1568,1000.0,HDAC,Cytoskeletal Signaling,735,1257905
A549|MC1568__10000.0,A549,MC1568__10000.0,False,MC1568,10000.0,HDAC,Cytoskeletal Signaling,714,1101962
A549|MK-0752__10.0,A549,MK-0752__10.0,False,MK-0752,10.0,"Beta Amyloid,Gamma-secretase",Proteases,277,447310
A549|MK-0752__100.0,A549,MK-0752__100.0,False,MK-0752,100.0,"Beta Amyloid,Gamma-secretase",Proteases,242,365957
A549|MK-0752__1000.0,A549,MK-0752__1000.0,False,MK-0752,1000.0,"Beta Amyloid,Gamma-secretase",Proteases,230,328846
A549|MK-0752__10000.0,A549,MK-0752__10000.0,False,MK-0752,10000.0,"Beta Amyloid,Gamma-secretase",Proteases,249,351936
A549|MK-5108 (VX-689)__10.0,A549,MK-5108 (VX-689)__10.0,False,MK-5108 (VX-689),10.0,Aurora Kinase,Cell Cycle,202,363163
A549|MK-5108 (VX-689)__100.0,A549,MK-5108 (VX-689)__100.0,False,MK-5108 (VX-689),100.0,Aurora Kinase,Cell Cycle,220,383077
A549|MK-5108 (VX-689)__1000.0,A549,MK-5108 (VX-689)__1000.0,False,MK-5108 (VX-689),1000.0,Aurora Kinase,Cell Cycle,225,393507
A549|MK-5108 (VX-689)__10000.0,A549,MK-5108 (VX-689)__10000.0,False,MK-5108 (VX-689),10000.0,Aurora Kinase,Cell Cycle,123,325190
A549|MLN8054__10.0,A549,MLN8054__10.0,False,MLN8054,10.0,Aurora Kinase,Cell Cycle,405,956667
A549|MLN8054__100.0,A549,MLN8054__100.0,False,MLN8054,100.0,Aurora Kinase,Cell Cycle,378,1108311
A549|MLN8054__1000.0,A549,MLN8054__1000.0,False,MLN8054,1000.0,Aurora Kinase,Cell Cycle,287,977693
A549|MLN8054__10000.0,A549,MLN8054__10000.0,False,MLN8054,10000.0,Aurora Kinase,Cell Cycle,275,865665
A549|Maraviroc__10.0,A549,Maraviroc__10.0,False,Maraviroc,10.0,CCR,Microbiology,226,373951
A549|Maraviroc__100.0,A549,Maraviroc__100.0,False,Maraviroc,100.0,CCR,Microbiology,203,314645
A549|Maraviroc__1000.0,A549,Maraviroc__1000.0,False,Maraviroc,1000.0,CCR,Microbiology,201,285395
A549|Maraviroc__10000.0,A549,Maraviroc__10000.0,False,Maraviroc,10000.0,CCR,Microbiology,242,396466
A549|Meprednisone__10.0,A549,Meprednisone__10.0,False,Meprednisone,10.0,Glucocorticoid Receptor,Endocrinology & Hormones,229,411097
A549|Meprednisone__100.0,A549,Meprednisone__100.0,False,Meprednisone,100.0,Glucocorticoid Receptor,Endocrinology & Hormones,226,358572
A549|Meprednisone__1000.0,A549,Meprednisone__1000.0,False,Meprednisone,1000.0,Glucocorticoid Receptor,Endocrinology & Hormones,222,316073
A549|Meprednisone__10000.0,A549,Meprednisone__10000.0,False,Meprednisone,10000.0,Glucocorticoid Receptor,Endocrinology & Hormones,228,347875
A549|Mercaptopurine (6-MP)__10.0,A549,Mercaptopurine (6-MP)__10.0,False,Mercaptopurine (6-MP),10.0,DNA/RNA Synthesis,DNA Damage,249,375595
A549|Mercaptopurine (6-MP)__100.0,A549,Mercaptopurine (6-MP)__100.0,False,Mercaptopurine (6-MP),100.0,DNA/RNA Synthesis,DNA Damage,309,426232
A549|Mercaptopurine (6-MP)__1000.0,A549,Mercaptopurine (6-MP)__1000.0,False,Mercaptopurine (6-MP),1000.0,DNA/RNA Synthesis,DNA Damage,248,375542
A549|Mercaptopurine (6-MP)__10000.0,A549,Mercaptopurine (6-MP)__10000.0,False,Mercaptopurine (6-MP),10000.0,DNA/RNA Synthesis,DNA Damage,153,200662
A549|Mesna __10.0,A549,Mesna __10.0,False,Mesna ,10.0,Others,Others,219,353201
A549|Mesna __100.0,A549,Mesna __100.0,False,Mesna ,100.0,Others,Others,213,314220
A549|Mesna __1000.0,A549,Mesna __1000.0,False,Mesna ,1000.0,Others,Others,167,270811
A549|Mesna __10000.0,A549,Mesna __10000.0,False,Mesna ,10000.0,Others,Others,233,372721
A549|Mocetinostat (MGCD0103)__10.0,A549,Mocetinostat (MGCD0103)__10.0,False,Mocetinostat (MGCD0103),10.0,HDAC,Epigenetics,596,937061
A549|Mocetinostat (MGCD0103)__100.0,A549,Mocetinostat (MGCD0103)__100.0,False,Mocetinostat (MGCD0103),100.0,HDAC,Epigenetics,602,1139598
A549|Mocetinostat (MGCD0103)__1000.0,A549,Mocetinostat (MGCD0103)__1000.0,False,Mocetinostat (MGCD0103),1000.0,HDAC,Epigenetics,629,1162514
A549|Mocetinostat (MGCD0103)__10000.0,A549,Mocetinostat (MGCD0103)__10000.0,False,Mocetinostat (MGCD0103),10000.0,HDAC,Epigenetics,160,330533
A549|Momelotinib (CYT387)__10.0,A549,Momelotinib (CYT387)__10.0,False,Momelotinib (CYT387),10.0,JAK,JAK/STAT,205,380301
A549|Momelotinib (CYT387)__100.0,A549,Momelotinib (CYT387)__100.0,False,Momelotinib (CYT387),100.0,JAK,JAK/STAT,237,354719
A549|Momelotinib (CYT387)__1000.0,A549,Momelotinib (CYT387)__1000.0,False,Momelotinib (CYT387),1000.0,JAK,JAK/STAT,267,441851
A549|Momelotinib (CYT387)__10000.0,A549,Momelotinib (CYT387)__10000.0,False,Momelotinib (CYT387),10000.0,JAK,JAK/STAT,137,441501
A549|Motesanib Diphosphate (AMG-706)__10.0,A549,Motesanib Diphosphate (AMG-706)__10.0,False,Motesanib Diphosphate (AMG-706),10.0,"VEGFR,PDGFR,c-Kit",Protein Tyrosine Kinase,217,305424
A549|Motesanib Diphosphate (AMG-706)__100.0,A549,Motesanib Diphosphate (AMG-706)__100.0,False,Motesanib Diphosphate (AMG-706),100.0,"VEGFR,PDGFR,c-Kit",Protein Tyrosine Kinase,247,393656
A549|Motesanib Diphosphate (AMG-706)__1000.0,A549,Motesanib Diphosphate (AMG-706)__1000.0,False,Motesanib Diphosphate (AMG-706),1000.0,"VEGFR,PDGFR,c-Kit",Protein Tyrosine Kinase,224,361189
A549|Motesanib Diphosphate (AMG-706)__10000.0,A549,Motesanib Diphosphate (AMG-706)__10000.0,False,Motesanib Diphosphate (AMG-706),10000.0,"VEGFR,PDGFR,c-Kit",Protein Tyrosine Kinase,248,437582
A549|NVP-BSK805 2HCl__10.0,A549,NVP-BSK805 2HCl__10.0,False,NVP-BSK805 2HCl,10.0,JAK,JAK/STAT,213,382007
A549|NVP-BSK805 2HCl__100.0,A549,NVP-BSK805 2HCl__100.0,False,NVP-BSK805 2HCl,100.0,JAK,JAK/STAT,254,385508
A549|NVP-BSK805 2HCl__1000.0,A549,NVP-BSK805 2HCl__1000.0,False,NVP-BSK805 2HCl,1000.0,JAK,JAK/STAT,235,438241
A549|NVP-BSK805 2HCl__10000.0,A549,NVP-BSK805 2HCl__10000.0,False,NVP-BSK805 2HCl,10000.0,JAK,JAK/STAT,213,361547
A549|Navitoclax (ABT-263)__10.0,A549,Navitoclax (ABT-263)__10.0,False,Navitoclax (ABT-263),10.0,Bcl-2,Apoptosis,190,258539
A549|Navitoclax (ABT-263)__100.0,A549,Navitoclax (ABT-263)__100.0,False,Navitoclax (ABT-263),100.0,Bcl-2,Apoptosis,246,349612
A549|Navitoclax (ABT-263)__1000.0,A549,Navitoclax (ABT-263)__1000.0,False,Navitoclax (ABT-263),1000.0,Bcl-2,Apoptosis,280,409275
A549|Navitoclax (ABT-263)__10000.0,A549,Navitoclax (ABT-263)__10000.0,False,Navitoclax (ABT-263),10000.0,Bcl-2,Apoptosis,136,187821
A549|Nilotinib (AMN-107)__10.0,A549,Nilotinib (AMN-107)__10.0,False,Nilotinib (AMN-107),10.0,Bcr-Abl,Angiogenesis,218,371248
A549|Nilotinib (AMN-107)__100.0,A549,Nilotinib (AMN-107)__100.0,False,Nilotinib (AMN-107),100.0,Bcr-Abl,Angiogenesis,213,345296
A549|Nilotinib (AMN-107)__1000.0,A549,Nilotinib (AMN-107)__1000.0,False,Nilotinib (AMN-107),1000.0,Bcr-Abl,Angiogenesis,243,405547
A549|Nilotinib (AMN-107)__10000.0,A549,Nilotinib (AMN-107)__10000.0,False,Nilotinib (AMN-107),10000.0,Bcr-Abl,Angiogenesis,208,325278
A549|Nintedanib (BIBF 1120)__10.0,A549,Nintedanib (BIBF 1120)__10.0,False,Nintedanib (BIBF 1120),10.0,"FGFR,PDGFR,VEGFR",Protein Tyrosine Kinase,263,401298
A549|Nintedanib (BIBF 1120)__100.0,A549,Nintedanib (BIBF 1120)__100.0,False,Nintedanib (BIBF 1120),100.0,"FGFR,PDGFR,VEGFR",Protein Tyrosine Kinase,269,345111
A549|Nintedanib (BIBF 1120)__1000.0,A549,Nintedanib (BIBF 1120)__1000.0,False,Nintedanib (BIBF 1120),1000.0,"FGFR,PDGFR,VEGFR",Protein Tyrosine Kinase,248,355485
A549|Nintedanib (BIBF 1120)__10000.0,A549,Nintedanib (BIBF 1120)__10000.0,False,Nintedanib (BIBF 1120),10000.0,"FGFR,PDGFR,VEGFR",Protein Tyrosine Kinase,182,290384
A549|Obatoclax Mesylate (GX15-070)__10.0,A549,Obatoclax Mesylate (GX15-070)__10.0,False,Obatoclax Mesylate (GX15-070),10.0,Bcl-2,Apoptosis,277,464588
A549|Obatoclax Mesylate (GX15-070)__100.0,A549,Obatoclax Mesylate (GX15-070)__100.0,False,Obatoclax Mesylate (GX15-070),100.0,Bcl-2,Apoptosis,235,376756
A549|Obatoclax Mesylate (GX15-070)__1000.0,A549,Obatoclax Mesylate (GX15-070)__1000.0,False,Obatoclax Mesylate (GX15-070),1000.0,Bcl-2,Apoptosis,253,426182
A549|Obatoclax Mesylate (GX15-070)__10000.0,A549,Obatoclax Mesylate (GX15-070)__10000.0,False,Obatoclax Mesylate (GX15-070),10000.0,Bcl-2,Apoptosis,186,265893
A549|Ofloxacin__10.0,A549,Ofloxacin__10.0,False,Ofloxacin,10.0,Topoisomerase,DNA Damage,567,954970
A549|Ofloxacin__100.0,A549,Ofloxacin__100.0,False,Ofloxacin,100.0,Topoisomerase,DNA Damage,596,928893
A549|Ofloxacin__1000.0,A549,Ofloxacin__1000.0,False,Ofloxacin,1000.0,Topoisomerase,DNA Damage,546,852348
A549|Ofloxacin__10000.0,A549,Ofloxacin__10000.0,False,Ofloxacin,10000.0,Topoisomerase,DNA Damage,607,951786
A549|PCI-34051__10.0,A549,PCI-34051__10.0,False,PCI-34051,10.0,HDAC,Epigenetics,562,1029407
A549|PCI-34051__100.0,A549,PCI-34051__100.0,False,PCI-34051,100.0,HDAC,Epigenetics,560,923398
A549|PCI-34051__1000.0,A549,PCI-34051__1000.0,False,PCI-34051,1000.0,HDAC,Epigenetics,550,915136
A549|PCI-34051__10000.0,A549,PCI-34051__10000.0,False,PCI-34051,10000.0,HDAC,Epigenetics,555,965868
A549|PD173074__10.0,A549,PD173074__10.0,False,PD173074,10.0,"FGFR,VEGFR",Angiogenesis,229,349336
A549|PD173074__100.0,A549,PD173074__100.0,False,PD173074,100.0,"FGFR,VEGFR",Angiogenesis,246,404278
A549|PD173074__1000.0,A549,PD173074__1000.0,False,PD173074,1000.0,"FGFR,VEGFR",Angiogenesis,211,333768
A549|PD173074__10000.0,A549,PD173074__10000.0,False,PD173074,10000.0,"FGFR,VEGFR",Angiogenesis,228,368841
A549|PD98059__10.0,A549,PD98059__10.0,False,PD98059,10.0,MEK,MAPK,223,346215
A549|PD98059__100.0,A549,PD98059__100.0,False,PD98059,100.0,MEK,MAPK,247,382964
A549|PD98059__1000.0,A549,PD98059__1000.0,False,PD98059,1000.0,MEK,MAPK,216,294393
A549|PD98059__10000.0,A549,PD98059__10000.0,False,PD98059,10000.0,MEK,MAPK,250,378785
A549|PF-3845__10.0,A549,PF-3845__10.0,False,PF-3845,10.0,FAAH,Metabolism,189,296715
A549|PF-3845__100.0,A549,PF-3845__100.0,False,PF-3845,100.0,FAAH,Metabolism,217,370002
A549|PF-3845__1000.0,A549,PF-3845__1000.0,False,PF-3845,1000.0,FAAH,Metabolism,223,333749
A549|PF-3845__10000.0,A549,PF-3845__10000.0,False,PF-3845,10000.0,FAAH,Metabolism,172,284839
A549|PF-573228__10.0,A549,PF-573228__10.0,False,PF-573228,10.0,FAK,Angiogenesis,93,195886
A549|PF-573228__100.0,A549,PF-573228__100.0,False,PF-573228,100.0,FAK,Angiogenesis,230,366505
A549|PF-573228__1000.0,A549,PF-573228__1000.0,False,PF-573228,1000.0,FAK,Angiogenesis,207,338441
A549|PF-573228__10000.0,A549,PF-573228__10000.0,False,PF-573228,10000.0,FAK,Angiogenesis,151,384417
A549|PFI-1 (PF-6405761)__10.0,A549,PFI-1 (PF-6405761)__10.0,False,PFI-1 (PF-6405761),10.0,Epigenetic Reader Domain,Epigenetics,590,1038172
A549|PFI-1 (PF-6405761)__100.0,A549,PFI-1 (PF-6405761)__100.0,False,PFI-1 (PF-6405761),100.0,Epigenetic Reader Domain,Epigenetics,670,1134296
A549|PFI-1 (PF-6405761)__1000.0,A549,PFI-1 (PF-6405761)__1000.0,False,PFI-1 (PF-6405761),1000.0,Epigenetic Reader Domain,Epigenetics,710,985661
A549|PFI-1 (PF-6405761)__10000.0,A549,PFI-1 (PF-6405761)__10000.0,False,PFI-1 (PF-6405761),10000.0,Epigenetic Reader Domain,Epigenetics,498,713405
A549|PHA-680632__10.0,A549,PHA-680632__10.0,False,PHA-680632,10.0,Aurora Kinase,Cell Cycle,594,1123522
A549|PHA-680632__100.0,A549,PHA-680632__100.0,False,PHA-680632,100.0,Aurora Kinase,Cell Cycle,476,978058
A549|PHA-680632__1000.0,A549,PHA-680632__1000.0,False,PHA-680632,1000.0,Aurora Kinase,Cell Cycle,356,1093412
A549|PHA-680632__10000.0,A549,PHA-680632__10000.0,False,PHA-680632,10000.0,Aurora Kinase,Cell Cycle,340,1021517
A549|PJ34__10.0,A549,PJ34__10.0,False,PJ34,10.0,PARP,DNA Damage,218,369128
A549|PJ34__100.0,A549,PJ34__100.0,False,PJ34,100.0,PARP,DNA Damage,198,304763
A549|PJ34__1000.0,A549,PJ34__1000.0,False,PJ34,1000.0,PARP,DNA Damage,221,346283
A549|PJ34__10000.0,A549,PJ34__10000.0,False,PJ34,10000.0,PARP,DNA Damage,194,347346
A549|Panobinostat (LBH589)__10.0,A549,Panobinostat (LBH589)__10.0,False,Panobinostat (LBH589),10.0,HDAC,Epigenetics,502,1019543
A549|Panobinostat (LBH589)__100.0,A549,Panobinostat (LBH589)__100.0,False,Panobinostat (LBH589),100.0,HDAC,Epigenetics,232,481246
A549|Panobinostat (LBH589)__1000.0,A549,Panobinostat (LBH589)__1000.0,False,Panobinostat (LBH589),1000.0,HDAC,Epigenetics,145,275595
A549|Panobinostat (LBH589)__10000.0,A549,Panobinostat (LBH589)__10000.0,False,Panobinostat (LBH589),10000.0,HDAC,Epigenetics,135,273353
"A549|Patupilone (EPO906, Epothilone B)__10.0",A549,"Patupilone (EPO906, Epothilone B)__10.0",False,"Patupilone (EPO906, Epothilone B)",10.0,Microtubule Associated,Cytoskeletal Signaling,93,197432
"A549|Patupilone (EPO906, Epothilone B)__100.0",A549,"Patupilone (EPO906, Epothilone B)__100.0",False,"Patupilone (EPO906, Epothilone B)",100.0,Microtubule Associated,Cytoskeletal Signaling,78,169444
"A549|Patupilone (EPO906, Epothilone B)__1000.0",A549,"Patupilone (EPO906, Epothilone B)__1000.0",False,"Patupilone (EPO906, Epothilone B)",1000.0,Microtubule Associated,Cytoskeletal Signaling,189,376807
"A549|Patupilone (EPO906, Epothilone B)__10000.0",A549,"Patupilone (EPO906, Epothilone B)__10000.0",False,"Patupilone (EPO906, Epothilone B)",10000.0,Microtubule Associated,Cytoskeletal Signaling,183,401383
A549|Pelitinib (EKB-569)__10.0,A549,Pelitinib (EKB-569)__10.0,False,Pelitinib (EKB-569),10.0,EGFR,Protein Tyrosine Kinase,236,369845
A549|Pelitinib (EKB-569)__100.0,A549,Pelitinib (EKB-569)__100.0,False,Pelitinib (EKB-569),100.0,EGFR,Protein Tyrosine Kinase,215,308094
A549|Pelitinib (EKB-569)__1000.0,A549,Pelitinib (EKB-569)__1000.0,False,Pelitinib (EKB-569),1000.0,EGFR,Protein Tyrosine Kinase,187,213879
A549|Pelitinib (EKB-569)__10000.0,A549,Pelitinib (EKB-569)__10000.0,False,Pelitinib (EKB-569),10000.0,EGFR,Protein Tyrosine Kinase,171,216418
A549|Pirarubicin__10.0,A549,Pirarubicin__10.0,False,Pirarubicin,10.0,Topoisomerase,DNA Damage,192,307765
A549|Pirarubicin__100.0,A549,Pirarubicin__100.0,False,Pirarubicin,100.0,Topoisomerase,DNA Damage,187,305587
A549|Pirarubicin__1000.0,A549,Pirarubicin__1000.0,False,Pirarubicin,1000.0,Topoisomerase,DNA Damage,113,221108
A549|Pirarubicin__10000.0,A549,Pirarubicin__10000.0,False,Pirarubicin,10000.0,Topoisomerase,DNA Damage,106,200965
A549|Pracinostat (SB939)__10.0,A549,Pracinostat (SB939)__10.0,False,Pracinostat (SB939),10.0,HDAC,Cytoskeletal Signaling,545,1117391
A549|Pracinostat (SB939)__100.0,A549,Pracinostat (SB939)__100.0,False,Pracinostat (SB939),100.0,HDAC,Cytoskeletal Signaling,492,979623
A549|Pracinostat (SB939)__1000.0,A549,Pracinostat (SB939)__1000.0,False,Pracinostat (SB939),1000.0,HDAC,Cytoskeletal Signaling,425,820996
A549|Pracinostat (SB939)__10000.0,A549,Pracinostat (SB939)__10000.0,False,Pracinostat (SB939),10000.0,HDAC,Cytoskeletal Signaling,139,319382
A549|Prednisone __10.0,A549,Prednisone __10.0,False,Prednisone ,10.0,"Glucocorticoid Receptor,Immunology & Inflammation related",Endocrinology & Hormones,217,364940
A549|Prednisone __100.0,A549,Prednisone __100.0,False,Prednisone ,100.0,"Glucocorticoid Receptor,Immunology & Inflammation related",Endocrinology & Hormones,222,327835
A549|Prednisone __1000.0,A549,Prednisone __1000.0,False,Prednisone ,1000.0,"Glucocorticoid Receptor,Immunology & Inflammation related",Endocrinology & Hormones,236,344839
A549|Prednisone __10000.0,A549,Prednisone __10000.0,False,Prednisone ,10000.0,"Glucocorticoid Receptor,Immunology & Inflammation related",Endocrinology & Hormones,211,352831
A549|Quercetin__10.0,A549,Quercetin__10.0,False,Quercetin,10.0,"Src,Sirtuin,PKC,PI3K",Epigenetics,219,397376
A549|Quercetin__100.0,A549,Quercetin__100.0,False,Quercetin,100.0,"Src,Sirtuin,PKC,PI3K",Epigenetics,237,354396
A549|Quercetin__1000.0,A549,Quercetin__1000.0,False,Quercetin,1000.0,"Src,Sirtuin,PKC,PI3K",Epigenetics,221,340554
A549|Quercetin__10000.0,A549,Quercetin__10000.0,False,Quercetin,10000.0,"Src,Sirtuin,PKC,PI3K",Epigenetics,211,359958
A549|Quisinostat (JNJ-26481585) 2HCl__10.0,A549,Quisinostat (JNJ-26481585) 2HCl__10.0,False,Quisinostat (JNJ-26481585) 2HCl,10.0,HDAC,Epigenetics,327,712863
A549|Quisinostat (JNJ-26481585) 2HCl__100.0,A549,Quisinostat (JNJ-26481585) 2HCl__100.0,False,Quisinostat (JNJ-26481585) 2HCl,100.0,HDAC,Epigenetics,245,508210
A549|Quisinostat (JNJ-26481585) 2HCl__1000.0,A549,Quisinostat (JNJ-26481585) 2HCl__1000.0,False,Quisinostat (JNJ-26481585) 2HCl,1000.0,HDAC,Epigenetics,112,247001
A549|Quisinostat (JNJ-26481585) 2HCl__10000.0,A549,Quisinostat (JNJ-26481585) 2HCl__10000.0,False,Quisinostat (JNJ-26481585) 2HCl,10000.0,HDAC,Epigenetics,109,237081
A549|RG108__10.0,A549,RG108__10.0,False,RG108,10.0,DNA Methyltransferase,Epigenetics,220,337713
A549|RG108__100.0,A549,RG108__100.0,False,RG108,100.0,DNA Methyltransferase,Epigenetics,223,371472
A549|RG108__1000.0,A549,RG108__1000.0,False,RG108,1000.0,DNA Methyltransferase,Epigenetics,272,461837
A549|RG108__10000.0,A549,RG108__10000.0,False,RG108,10000.0,DNA Methyltransferase,Epigenetics,255,419362
A549|Raltitrexed__10.0,A549,Raltitrexed__10.0,False,Raltitrexed,10.0,DNA/RNA Synthesis,DNA Damage,213,377536
A549|Raltitrexed__100.0,A549,Raltitrexed__100.0,False,Raltitrexed,100.0,DNA/RNA Synthesis,DNA Damage,190,332639
A549|Raltitrexed__1000.0,A549,Raltitrexed__1000.0,False,Raltitrexed,1000.0,DNA/RNA Synthesis,DNA Damage,130,319629
A549|Raltitrexed__10000.0,A549,Raltitrexed__10000.0,False,Raltitrexed,10000.0,DNA/RNA Synthesis,DNA Damage,197,524496
A549|Ramelteon__10.0,A549,Ramelteon__10.0,False,Ramelteon,10.0,MT Receptor,GPCR & G Protein,239,356569
A549|Ramelteon__100.0,A549,Ramelteon__100.0,False,Ramelteon,100.0,MT Receptor,GPCR & G Protein,293,397999
A549|Ramelteon__1000.0,A549,Ramelteon__1000.0,False,Ramelteon,1000.0,MT Receptor,GPCR & G Protein,253,339466
A549|Ramelteon__10000.0,A549,Ramelteon__10000.0,False,Ramelteon,10000.0,MT Receptor,GPCR & G Protein,207,315357
A549|Regorafenib (BAY 73-4506)__10.0,A549,Regorafenib (BAY 73-4506)__10.0,False,Regorafenib (BAY 73-4506),10.0,"c-RET,VEGFR",Protein Tyrosine Kinase,211,352341
A549|Regorafenib (BAY 73-4506)__100.0,A549,Regorafenib (BAY 73-4506)__100.0,False,Regorafenib (BAY 73-4506),100.0,"c-RET,VEGFR",Protein Tyrosine Kinase,240,370846
A549|Regorafenib (BAY 73-4506)__1000.0,A549,Regorafenib (BAY 73-4506)__1000.0,False,Regorafenib (BAY 73-4506),1000.0,"c-RET,VEGFR",Protein Tyrosine Kinase,230,347072
A549|Regorafenib (BAY 73-4506)__10000.0,A549,Regorafenib (BAY 73-4506)__10000.0,False,Regorafenib (BAY 73-4506),10000.0,"c-RET,VEGFR",Protein Tyrosine Kinase,99,129536
A549|Resminostat__10.0,A549,Resminostat__10.0,False,Resminostat,10.0,HDAC,Epigenetics,203,363419
A549|Resminostat__100.0,A549,Resminostat__100.0,False,Resminostat,100.0,HDAC,Epigenetics,212,368108
A549|Resminostat__1000.0,A549,Resminostat__1000.0,False,Resminostat,1000.0,HDAC,Epigenetics,198,396431
A549|Resminostat__10000.0,A549,Resminostat__10000.0,False,Resminostat,10000.0,HDAC,Epigenetics,155,344295
A549|Resveratrol__10.0,A549,Resveratrol__10.0,False,Resveratrol,10.0,"Autophagy,Sirtuin",Epigenetics,542,894092
A549|Resveratrol__100.0,A549,Resveratrol__100.0,False,Resveratrol,100.0,"Autophagy,Sirtuin",Epigenetics,623,1055671
A549|Resveratrol__1000.0,A549,Resveratrol__1000.0,False,Resveratrol,1000.0,"Autophagy,Sirtuin",Epigenetics,760,1207386
A549|Resveratrol__10000.0,A549,Resveratrol__10000.0,False,Resveratrol,10000.0,"Autophagy,Sirtuin",Epigenetics,564,959415
A549|Rigosertib (ON-01910)__10.0,A549,Rigosertib (ON-01910)__10.0,False,Rigosertib (ON-01910),10.0,PLK,Cell Cycle,222,391463
A549|Rigosertib (ON-01910)__100.0,A549,Rigosertib (ON-01910)__100.0,False,Rigosertib (ON-01910),100.0,PLK,Cell Cycle,215,342778
A549|Rigosertib (ON-01910)__1000.0,A549,Rigosertib (ON-01910)__1000.0,False,Rigosertib (ON-01910),1000.0,PLK,Cell Cycle,93,236099
