Interacting Partner,Gene Name,Protein Name,Subcellular Locality,AF_Score,RF_Score,DCA_Score,confident,Function,pdb
O00206,TLR4,Toll-like receptor 4,"Cell membrane, Cell projection, Endosome, Membrane",0.1019,0.2322,0.173,Not confident,"Immunity, Inflammatory response, Innate immunity, Receptor",none
P16234,PDGFRA,Platelet-derived growth factor receptor alpha,"Cell membrane, Cell projection, Golgi apparatus, Membrane",0.1017,0.2703,0.27,Not confident,"Chemotaxis, Developmental protein, Host-virus interaction, Kinase, Receptor, Transferase, Tyrosine-protein kinase",none
P60953,CDC42,Cell division control protein 42 homolog,"Cell membrane, Cell projection, Cytoplasm, Cytoskeleton, Membrane",0.1016,0.2544,0.14,medium,"Differentiation, Hydrolase, Neurogenesis","['P00533_S1__P60953_S0.pdb', 'P00533_S2__P60953_S0.pdb']"
Q00610,CLTC,Clathrin heavy chain 1,"Coated pit, Cytoplasm, Cytoplasmic vesicle, Cytoskeleton, Membrane",0.1012,0.195,0.14,Not confident,"Autophagy, Cell cycle, Cell division, Mitosis",none
P53675,CLTCL1,Clathrin heavy chain 2,"Coated pit, Cytoplasmic vesicle, Membrane",0.1012,0.1735,0.137,Not confident,NA,none
Q9UJS0,SLC25A13,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial","Membrane, Mitochondrion, Mitochondrion inner membrane",0.10114,0.2336,0.164,Not confident,Transport,none
Q96EB1,ELP4,Elongator complex protein 4,"Cytoplasm, Nucleus",0.101,0.1709,0.217,Not confident,tRNA processing,none
P27348,YWHAQ,14-3-3 protein theta,Cytoplasm,0.101,0.163,0.171,Not confident,NA,none
P20336,RAB3A,Ras-related protein Rab-3A,"Cell membrane, Cell projection, Cytoplasm, Cytoplasmic vesicle, Lysosome, Membrane, Synapse",0.1008,0.11945,0.167,Not confident,"Exocytosis, Protein transport, Transport",none
Q9BWF3,RBM4,RNA-binding protein 4,"Cytoplasm, Nucleus",0.10077,0.277,0.144,Not confident,"Activator, Differentiation, mRNA processing, mRNA splicing, RNA-binding, RNA-mediated gene silencing",none
Q96QG7,MTMR9,Myotubularin-related protein 9,"Cell membrane, Cell projection, Cytoplasm, Endoplasmic reticulum, Membrane",0.1005,0.1617,0.166,Not confident,Endocytosis,none
Q13492,PICALM,Phosphatidylinositol-binding clathrin assembly protein,"Cell membrane, Coated pit, Cytoplasmic vesicle, Golgi apparatus, Membrane, Nucleus",0.1004,0.5366,0.159,high,Endocytosis,"['P00533_S1__Q13492_S0.pdb', 'P00533_S2__Q13492_S0.pdb']"
Q15910,EZH2,Histone-lysine N-methyltransferase EZH2,Nucleus,0.10034,0.1711,0.193,Not confident,"Biological rhythms, Chromatin regulator, Methyltransferase, Repressor, Transcription, Transcription regulation, Transferase",none
Q9HBW0,LPAR2,Lysophosphatidic acid receptor 2,"Cell membrane, Membrane",0.1003,0.2037,0.092,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
Q96RS0,TGS1,Trimethylguanosine synthase,"Cytoplasm, Nucleus",0.0999,0.1692,0.181,Not confident,"Methyltransferase, Transcription, Transcription regulation, Transferase",none
P39023,RPL3,Large ribosomal subunit protein uL3,"Cytoplasm, Nucleus",0.0998,0.2578,0.129,Not confident,"Ribonucleoprotein, Ribosomal protein",none
Q8N7R7,CCNYL1,Cyclin-Y-like protein 1,"Cell membrane, Membrane",0.0998,0.1798,0.125,Not confident,"Cyclin, Differentiation, Neurogenesis, Spermatogenesis",none
O60341,KDM1A,Lysine-specific histone demethylase 1A,Nucleus,0.0997,0.2166,0.164,Not confident,"Chromatin regulator, Developmental protein, Oxidoreductase, Repressor, Transcription, Transcription regulation",none
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B,"Endoplasmic reticulum, Virion",0.0997,0.1136,0.191,Not confident,"Isomerase, Rotamase",none
Q8NCC5,SLC37A3,Sugar phosphate exchanger 3,"Endoplasmic reticulum, Lysosome, Membrane",0.0995,0.3394,0.165,Not confident,"Sugar transport, Transport",none
Q13206,DDX10,Probable ATP-dependent RNA helicase DDX10,NA,0.0994,0.2057,0.196,Not confident,"Helicase, Hydrolase, RNA-binding",none
P0DP25,CALM3,Calmodulin-3,"Cytoplasm, Cytoskeleton",0.0993,0.1196,0.13,Not confident,NA,none
P16118,PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1",NA,0.0991,0.317,0.153,Not confident,"Hydrolase, Kinase, Multifunctional enzyme, Transferase",none
P17844,DDX5,Probable ATP-dependent RNA helicase DDX5,"Cytoplasm, Nucleus, Spliceosome",0.0991,0.1904,0.169,Not confident,"Biological rhythms, Helicase, Hydrolase, mRNA processing, mRNA splicing, RNA-binding, Transcription, Transcription regulation",none
P56470,LGALS4,Galectin-4,NA,0.099,0.4272,0.155,Not confident,NA,none
O14733,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,"Cytoplasm, Nucleus",0.09875,0.52,0.209,Not confident,"Apoptosis, Kinase, Serine/threonine-protein kinase, Stress response, Transferase, Tyrosine-protein kinase",none
Q9NVR2,INTS10,Integrator complex subunit 10,Nucleus,0.09875,0.2156,0.096,Not confident,NA,none
P60604,UBE2G2,Ubiquitin-conjugating enzyme E2 G2,"Endoplasmic reticulum, Lipid droplet",0.09875,0.1798,0.171,Not confident,"Transferase, Ubl conjugation pathway",none
P07910,HNRNPC,Heterogeneous nuclear ribonucleoproteins C1/C2,"Nucleus, Spliceosome",0.0987,0.2502,0.127,Not confident,"mRNA processing, mRNA splicing, Ribonucleoprotein, RNA-binding",none
Q96JF0,ST6GAL2,"Beta-galactoside alpha-2,6-sialyltransferase 2","Golgi apparatus, Membrane",0.0986,0.4395,0.117,Not confident,"Glycosyltransferase, Transferase",none
P05141,SLC25A5,ADP/ATP translocase 2,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.0986,0.2463,0.161,Not confident,"Antiport, Chromosome partition, Host-virus interaction, Transport",none
P06730,EIF4E,Eukaryotic translation initiation factor 4E,"Cytoplasm, Nucleus",0.0986,0.1893,0.203,Not confident,"Host-virus interaction, Initiation factor, mRNA transport, Protein biosynthesis, RNA-binding, Translation regulation, Transport",none
P35813,PPM1A,Protein phosphatase 1A,"Cytoplasm, Membrane, Nucleus",0.0986,0.1755,0.199,Not confident,"Hydrolase, Protein phosphatase",none
P50281,MMP14,Matrix metalloproteinase-14,"Cytoplasm, Membrane",0.09845,0.1885,0.125,Not confident,"Hydrolase, Metalloprotease, Protease",none
Q9NP95,FGF20,Fibroblast growth factor 20,Secreted,0.09845,0.1561,0.098,Not confident,Growth factor,none
P62854,RPS26,Small ribosomal subunit protein eS26,"Cytoplasm, Endoplasmic reticulum",0.0983,0.1509,0.158,Not confident,"Ribonucleoprotein, Ribosomal protein",none
P61803,DAD1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,"Endoplasmic reticulum, Membrane",0.09827,0.1192,0.185,Not confident,Apoptosis,none
O60832,DKC1,H/ACA ribonucleoprotein complex subunit DKC1,"Cytoplasm, Nucleus",0.0982,0.2715,0.127,Not confident,"Isomerase, Ribonucleoprotein, Ribosome biogenesis, RNA-binding, rRNA processing",none
P55201,BRPF1,Peregrin,"Chromosome, Cytoplasm, Nucleus",0.09814,0.303,0.143,Not confident,"Activator, Chromatin regulator, DNA-binding, Transcription, Transcription regulation",none
P09661,SNRPA1,U2 small nuclear ribonucleoprotein A',"Nucleus, Spliceosome",0.0981,0.164,0.178,Not confident,"mRNA processing, mRNA splicing, Ribonucleoprotein, RNA-binding",none
Q9NS93,TM7SF3,Transmembrane 7 superfamily member 3,"Cell membrane, Membrane",0.0978,0.3484,0.146,Not confident,Stress response,none
Q8TAI7,RHEBL1,GTPase RhebL1,"Cytoplasm, Membrane",0.09766,0.2764,0.178,Not confident,NA,none
Q9Y217,MTMR6,Myotubularin-related protein 6,"Cell membrane, Cell projection, Cytoplasm, Endoplasmic reticulum, Membrane",0.0973,0.1736,0.17,Not confident,"Endocytosis, Hydrolase, Lipid metabolism",none
P63096,GNAI1,Guanine nucleotide-binding protein G(i) subunit alpha-1,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane, Nucleus",0.097,0.3909,0.146,Not confident,"Cell cycle, Cell division, Host-virus interaction, Mitosis, Transducer, Transport",none
Q14642,INPP5A,Inositol polyphosphate-5-phosphatase A,"Cell membrane, Cell projection, Membrane",0.0968,0.306,0.126,Not confident,Hydrolase,none
P30530,AXL,Tyrosine-protein kinase receptor UFO,"Cell membrane, Membrane",0.0968,0.2634,0.343,Not confident,"Differentiation, Host cell receptor for virus entry, Host-virus interaction, Immunity, Innate immunity, Kinase, Receptor, Transferase, Tyrosine-protein kinase",none
Q9NS82,SLC7A10,Asc-type amino acid transporter 1,"Cell membrane, Membrane",0.0966,0.329,0.149,Not confident,"Amino-acid transport, Transport",none
Q6ZW49,PAXIP1,PAX-interacting protein 1,"Chromosome, Nucleus",0.0965,0.4033,0.195,Not confident,"DNA damage, DNA recombination, DNA repair, Transcription, Transcription regulation",none
Q8N475,FSTL5,Follistatin-related protein 5,Secreted,0.0965,0.32,0.126,Not confident,NA,none
Q9NS00,C1GALT1,Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1,Membrane,0.0963,0.403,0.155,Not confident,"Angiogenesis, Developmental protein, Differentiation, Glycosyltransferase, Transferase",none
Q02223,TNFRSF17,Tumor necrosis factor receptor superfamily member 17,"Cell membrane, Membrane",0.09625,0.289,0.026,Not confident,"Adaptive immunity, Immunity, Receptor",none
P11387,TOP1,DNA topoisomerase 1,Nucleus,0.09625,0.1389,0.174,Not confident,"Biological rhythms, DNA-binding, Host-virus interaction, Isomerase, Topoisomerase",none
Q9Y5Q8,GTF3C5,General transcription factor 3C polypeptide 5,Nucleus,0.0962,0.1647,0.214,Not confident,"DNA-binding, Transcription",none
O43709,BUD23,Probable 18S rRNA (guanine-N(7))-methyltransferase,"Cytoplasm, Nucleus",0.0962,0.1403,0.188,Not confident,"Chromatin regulator, Methyltransferase, Ribosome biogenesis, rRNA processing, Transcription, Transcription regulation, Transferase",none
O94929,ABLIM3,Actin-binding LIM protein 3,Cytoplasm,0.0959,0.1483,0.126,Not confident,NA,none
Q9H5Y7,SLITRK6,SLIT and NTRK-like protein 6,"Cell membrane, Membrane",0.0957,0.2761,0.128,Not confident,"Hearing, Sensory transduction, Vision",none
Q86V24,ADIPOR2,Adiponectin receptor protein 2,"Cell membrane, Membrane",0.09564,0.468,0.203,Not confident,"Fatty acid metabolism, Lipid metabolism, Receptor",none
Q9NXS2,QPCTL,Glutaminyl-peptide cyclotransferase-like protein,"Golgi apparatus, Membrane",0.0955,0.4338,0.21,Not confident,"Acyltransferase, Transferase",none
Q9Y6I7,WSB1,WD repeat and SOCS box-containing protein 1,NA,0.0955,0.3032,0.147,Not confident,Ubl conjugation pathway,none
Q92730,RND1,Rho-related GTP-binding protein Rho6,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane",0.0955,0.2866,0.187,Not confident,NA,none
Q8NBZ7,UXS1,UDP-glucuronic acid decarboxylase 1,"Golgi apparatus, Membrane",0.0955,0.2478,0.133,Not confident,"Decarboxylase, Lyase",none
P35368,ADRA1B,Alpha-1B adrenergic receptor,"Cell membrane, Cytoplasm, Membrane, Nucleus",0.09546,0.2932,0.12,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
P00558,PGK1,Phosphoglycerate kinase 1,Cytoplasm,0.09534,0.1984,0.159,Not confident,"Glycolysis, Kinase, Transferase",none
P13489,RNH1,Ribonuclease inhibitor,Cytoplasm,0.0952,0.1602,0.125,Not confident,NA,none
Q6IQ23,PLEKHA7,Pleckstrin homology domain-containing family A member 7,"Cell junction, Cytoplasm, Cytoskeleton",0.0951,0.2129,0.098,Not confident,NA,none
P84085,ARF5,ADP-ribosylation factor 5,"Cytoplasm, Golgi apparatus, Membrane",0.095,0.398,0.157,Not confident,"ER-Golgi transport, Protein transport, Transport",none
Q9NV66,TYW1,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1,NA,0.09485,0.3027,0.122,Not confident,"Lyase, tRNA processing",none
P53582,METAP1,Methionine aminopeptidase 1,Cytoplasm,0.09485,0.1757,0.173,Not confident,"Aminopeptidase, Hydrolase, Protease",none
P62072,TIMM10,Mitochondrial import inner membrane translocase subunit Tim10,"Membrane, Mitochondrion, Mitochondrion inner membrane",0.0947,0.1046,0.171,Not confident,"Chaperone, Protein transport, Translocation, Transport",none
Q9NV70,EXOC1,Exocyst complex component 1,"Cell membrane, Cytoplasm, Membrane",0.09454,0.3162,0.158,Not confident,"Antiviral defense, Exocytosis, Host-virus interaction, Protein transport, Transport",none
P11362,FGFR1,Fibroblast growth factor receptor 1,"Cell membrane, Cytoplasm, Cytoplasmic vesicle, Membrane, Nucleus",0.09454,0.3103,0.271,Not confident,"Heparin-binding, Kinase, Receptor, Transcription, Transcription regulation, Transferase, Tyrosine-protein kinase",none
Q9UMX9,SLC45A2,Membrane-associated transporter protein,Membrane,0.09454,0.2502,0.152,Not confident,"Melanin biosynthesis, Sensory transduction, Symport, Transport, Vision",none
Q02297,NRG1,"Pro-neuregulin-1, membrane-bound isoform","Cell membrane, Membrane, Nucleus, Secreted",0.09454,0.1469,0.059,Not confident,Growth factor,none
P56381,ATP5F1E,"ATP synthase subunit epsilon, mitochondrial","CF(1), Membrane, Mitochondrion, Mitochondrion inner membrane",0.0945,0.0208,0.129,Not confident,"ATP synthesis, Hydrogen ion transport, Hydrolase, Ion transport, Transport",none
Q5EB52,MEST,Mesoderm-specific transcript homolog protein,"Endoplasmic reticulum, Membrane",0.09424,0.3604,0.102,Not confident,Hydrolase,none
P68400,CSNK2A1,Casein kinase II subunit alpha,Nucleus,0.09424,0.1168,0.148,Not confident,"Apoptosis, Biological rhythms, Cell cycle, Kinase, Serine/threonine-protein kinase, Transcription, Transcription regulation, Transferase, Wnt signaling pathway",none
P24864,CCNE1,G1/S-specific cyclin-E1,Nucleus,0.0941,0.1293,0.166,Not confident,"Cell cycle, Cell division, Cyclin",none
P04181,OAT,"Ornithine aminotransferase, mitochondrial",Mitochondrion,0.09406,0.2888,0.187,Not confident,"Aminotransferase, Transferase",none
P48729,CSNK1A1,Casein kinase I isoform alpha,"Cell projection, Centromere, Chromosome, Cytoplasm, Cytoskeleton, Kinetochore, Nucleus",0.09406,0.1106,0.112,Not confident,"Cell cycle, Cell division, Kinase, Mitosis, Serine/threonine-protein kinase, Transferase, Wnt signaling pathway",none
Q9BWW7,SCRT1,Transcriptional repressor scratch 1,Nucleus,0.09393,0.4917,0.175,Not confident,"DNA-binding, Repressor, Transcription, Transcription regulation",none
O60462,NRP2,Neuropilin-2,"Membrane, Secreted",0.0936,0.265,0.105,Not confident,"Developmental protein, Differentiation, Heparin-binding, Host-virus interaction, Neurogenesis, Receptor",none
Q14184,DOC2B,Double C2-like domain-containing protein beta,"Cell membrane, Cytoplasm, Membrane",0.0935,0.3447,0.158,Not confident,NA,none
P46087,NOP2,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,Nucleus,0.0933,0.1958,0.154,Not confident,"Methyltransferase, Ribosome biogenesis, RNA-binding, rRNA processing, Transferase",none
P61966,AP1S1,AP-1 complex subunit sigma-1A,"Coated pit, Cytoplasmic vesicle, Golgi apparatus, Membrane",0.0933,0.0846,0.149,Not confident,"Protein transport, Transport",none
P54687,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",Cytoplasm,0.0932,0.308,0.222,Not confident,"Amino-acid biosynthesis, Aminotransferase, Branched-chain amino acid biosynthesis, Lipid metabolism, Transferase",none
Q9P086,MED11,Mediator of RNA polymerase II transcription subunit 11,Nucleus,0.0931,0.0857,0.097,Not confident,"Activator, Transcription, Transcription regulation",none
Q13263,TRIM28,Transcription intermediary factor 1-beta,Nucleus,0.0929,0.1648,0.124,Not confident,"Chromatin regulator, Host-virus interaction, Repressor, Transcription, Transcription regulation, Transferase, Ubl conjugation pathway",none
Q9UBE0,SAE1,SUMO-activating enzyme subunit 1,Nucleus,0.0928,0.183,0.21,Not confident,"Ligase, Ubl conjugation pathway",none
Q96GD4,AURKB,Aurora kinase B,"Centromere, Chromosome, Cytoplasm, Cytoskeleton, Kinetochore, Nucleus",0.0928,0.1311,0.199,Not confident,"Cell cycle, Cell division, Kinase, Mitosis, Serine/threonine-protein kinase, Transferase",none
P24941,CDK2,Cyclin-dependent kinase 2,"Cytoplasm, Cytoskeleton, Endosome, Nucleus",0.0927,0.2461,0.2,Not confident,"Cell cycle, Cell division, DNA damage, DNA repair, Kinase, Meiosis, Mitosis, Serine/threonine-protein kinase, Transferase",none
Q9UBT2,UBA2,SUMO-activating enzyme subunit 2,"Cytoplasm, Nucleus",0.0926,0.159,0.221,Not confident,"Transferase, Ubl conjugation pathway",none
Q14145,KEAP1,Kelch-like ECH-associated protein 1,"Cytoplasm, Nucleus",0.0925,0.1891,0.116,Not confident,"Host-virus interaction, Ubl conjugation pathway",none
P61586,RHOA,Transforming protein RhoA,"Cell membrane, Cell projection, Cytoplasm, Cytoskeleton, Membrane, Nucleus",0.0925,0.1704,0.148,Not confident,"Cell cycle, Cell division, Host-virus interaction, Hydrolase",none
Q12887,COX10,"Protoheme IX farnesyltransferase, mitochondrial","Membrane, Mitochondrion",0.09247,0.4883,0.195,Not confident,"Heme biosynthesis, Lipid metabolism, Transferase",none
Q8NET6,CHST13,Carbohydrate sulfotransferase 13,"Golgi apparatus, Membrane",0.09247,0.317,0.123,Not confident,"Carbohydrate metabolism, Transferase",none
P62304,SNRPE,Small nuclear ribonucleoprotein E,"Cytoplasm, Nucleus, Spliceosome",0.09247,0.04825,0.154,Not confident,"mRNA processing, mRNA splicing, Ribonucleoprotein, RNA-binding",none
P12268,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2,"Cytoplasm, Nucleus",0.0924,0.3352,0.161,Not confident,"DNA-binding, GMP biosynthesis, Oxidoreductase, Purine biosynthesis, RNA-binding",none
O60244,MED14,Mediator of RNA polymerase II transcription subunit 14,Nucleus,0.0923,0.2056,0.139,Not confident,"Activator, Transcription, Transcription regulation",none
Q9H4M9,EHD1,EH domain-containing protein 1,"Cell membrane, Cell projection, Cilium, Endosome, Membrane",0.09204,0.249,0.104,Not confident,"Cilium biogenesis/degradation, Protein transport, Transport",none
P18433,PTPRA,Receptor-type tyrosine-protein phosphatase alpha,"Cell junction, Cell membrane, Membrane",0.092,0.2646,0.184,Not confident,"Hydrolase, Protein phosphatase",none
P08631,HCK,Tyrosine-protein kinase HCK,"Cell junction, Cell membrane, Cell projection, Cytoplasm, Cytoplasmic vesicle, Cytoskeleton, Golgi apparatus, Lysosome, Membrane, Nucleus",0.0918,0.1671,0.247,Not confident,"Exocytosis, Host-virus interaction, Immunity, Inflammatory response, Innate immunity, Kinase, Phagocytosis, Transferase, Tyrosine-protein kinase",none
Q16763,UBE2S,Ubiquitin-conjugating enzyme E2 S,NA,0.0915,0.2043,0.207,Not confident,"Cell cycle, Cell division, Transferase, Ubl conjugation pathway",none
Q9HBX8,LGR6,Leucine-rich repeat-containing G-protein coupled receptor 6,"Cell membrane, Membrane",0.0914,0.3838,0.263,Not confident,"G-protein coupled receptor, Receptor, Transducer, Wnt signaling pathway",none
P25101,EDNRA,Endothelin-1 receptor,"Cell membrane, Membrane",0.0912,0.275,0.11,Not confident,"G-protein coupled receptor, Receptor, Transducer",none
Q9P287,BCCIP,BRCA2 and CDKN1A-interacting protein,"Cytoplasm, Cytoskeleton, Nucleus",0.0912,0.11365,0.188,Not confident,"Cell cycle, DNA damage, DNA repair",none
Q9NRC8,SIRT7,NAD-dependent protein deacetylase sirtuin-7,"Chromosome, Cytoplasm, Nucleus",0.0911,0.3428,0.172,Not confident,"Chromatin regulator, DNA damage, DNA repair, Hydrolase, Repressor, Transcription, Transcription regulation, Transferase",none
Q8IZX4,TAF1L,Transcription initiation factor TFIID subunit 1-like,Nucleus,0.09094,0.2744,0.135,Not confident,"Cell cycle, DNA-binding, Transcription, Transcription regulation",none
Q9BS91,SLC35A5,UDP-sugar transporter protein SLC35A5,"Golgi apparatus, Membrane",0.0908,0.2406,0.145,Not confident,"Antiport, Sugar transport, Transport",none
Q7Z6V5,ADAT2,tRNA-specific adenosine deaminase 2,NA,0.0907,0.5034,0.233,Not confident,"Hydrolase, tRNA processing",none
Q7RTT9,SLC29A4,Equilibrative nucleoside transporter 4,"Cell membrane, Membrane",0.0905,0.5386,0.129,Not confident,Transport,none
A6NK58,LIPT2,"Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial",Mitochondrion,0.09045,0.2527,0.218,Not confident,"Acyltransferase, Ligase, Transferase",none
Q16566,CAMK4,Calcium/calmodulin-dependent protein kinase type IV,"Cytoplasm, Nucleus",0.0904,0.2805,0.198,Not confident,"Adaptive immunity, Calmodulin-binding, Immunity, Inflammatory response, Kinase, Serine/threonine-protein kinase, Transferase",none
O00487,PSMD14,26S proteasome non-ATPase regulatory subunit 14,Proteasome,0.0904,0.095,0.158,Not confident,"DNA damage, DNA repair, Hydrolase, Metalloprotease, Protease, Ubl conjugation pathway",none
Q01968,OCRL,Inositol polyphosphate 5-phosphatase OCRL,"Cell projection, Cilium, Coated pit, Cytoplasmic vesicle, Endosome, Golgi apparatus, Lysosome, Membrane",0.09033,0.1986,0.173,Not confident,"Cilium biogenesis/degradation, Hydrolase, Lipid metabolism",none
P23634,ATP2B4,Plasma membrane calcium-transporting ATPase 4,"Cell membrane, Cell projection, Cilium, Flagellum, Membrane",0.0903,0.2,0.242,Not confident,"Calcium transport, Calmodulin-binding, Ion transport, Translocase, Transport",none
Q5T1V6,DDX59,Probable ATP-dependent RNA helicase DDX59,"Cytoplasm, Nucleus",0.0903,0.1575,0.175,Not confident,"Helicase, Hydrolase, RNA-binding",none
Q99558,MAP3K14,Mitogen-activated protein kinase kinase kinase 14,Cytoplasm,0.0901,0.1576,0.123,Not confident,"Kinase, Serine/threonine-protein kinase, Transferase",none
Q92913,FGF13,Fibroblast growth factor 13,"Cell membrane, Cell projection, Cytoplasm, Membrane, Microtubule, Nucleus",0.08997,0.1609,0.09,Not confident,Neurogenesis,none
Q9NWZ3,IRAK4,Interleukin-1 receptor-associated kinase 4,Cytoplasm,0.0898,0.2374,0.211,Not confident,"Immunity, Innate immunity, Kinase, Serine/threonine-protein kinase, Transferase",none
O60645,EXOC3,Exocyst complex component 3,"Cell projection, Cytoplasm, Golgi apparatus",0.0898,0.183,0.155,Not confident,"Exocytosis, Protein transport, Transport",none
Q96AE7,TTC17,Tetratricopeptide repeat protein 17,"Cell membrane, Cytoplasm, Cytoskeleton, Membrane",0.08954,0.255,0.137,Not confident,Cilium biogenesis/degradation,none
O94875,SORBS2,Sorbin and SH3 domain-containing protein 2,"Cell junction, Cell membrane, Cell projection, Cytoplasm, Membrane",0.0895,0.1929,0.135,Not confident,NA,none
Q9UPT9,USP22,Ubiquitin carboxyl-terminal hydrolase 22,Nucleus,0.0894,0.187,0.202,Not confident,"Activator, Cell cycle, Chromatin regulator, Hydrolase, Protease, Thiol protease, Transcription, Transcription regulation, Ubl conjugation pathway",none
Q9UPN9,TRIM33,E3 ubiquitin-protein ligase TRIM33,Nucleus,0.08936,0.1708,0.192,Not confident,"DNA-binding, Repressor, Transcription, Transcription regulation, Transferase, Ubl conjugation pathway",none
Q9Y2S7,POLDIP2,Polymerase delta-interacting protein 2,"Mitochondrion, Nucleus",0.0893,0.2512,0.121,Not confident,"DNA damage, DNA repair",none
P26006,ITGA3,Integrin alpha-3,"Cell junction, Cell membrane, Cell projection, Membrane",0.08923,0.3389,0.156,Not confident,"Cell adhesion, Integrin, Receptor",none
P49427,CDC34,Ubiquitin-conjugating enzyme E2 R1,"Cytoplasm, Nucleus",0.08923,0.1985,0.17,Not confident,"Cell cycle, Transferase, Ubl conjugation pathway",none
P04439,HLA-A,"HLA class I histocompatibility antigen, A alpha chain","Cell membrane, Endoplasmic reticulum, Membrane, MHC I",0.08923,0.1216,0.078,Not confident,"Adaptive immunity, Host-virus interaction, Immunity, Innate immunity",none
Q92854,SEMA4D,Semaphorin-4D,"Cell membrane, Membrane",0.0892,0.353,0.088,Not confident,"Developmental protein, Differentiation, Neurogenesis, Receptor",none
O60566,BUB1B,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,"Centromere, Chromosome, Cytoplasm, Cytoskeleton, Kinetochore, Nucleus",0.0888,0.2776,0.191,Not confident,"Apoptosis, Cell cycle, Cell division, Kinase, Mitosis, Serine/threonine-protein kinase, Transferase",none
P20339,RAB5A,Ras-related protein Rab-5A,"Cell membrane, Cell projection, Cytoplasm, Cytoplasmic vesicle, Endosome, Membrane",0.0887,0.1493,0.173,Not confident,"Endocytosis, Hydrolase, Phagocytosis, Protein transport, Transport",none
P61081,UBE2M,NEDD8-conjugating enzyme Ubc12,NA,0.08844,0.1637,0.184,Not confident,"Transferase, Ubl conjugation pathway",none
O60513,B4GALT4,"Beta-1,4-galactosyltransferase 4","Golgi apparatus, Membrane, Secreted",0.0884,0.3035,0.153,Not confident,"Glycosyltransferase, Lipid metabolism, Transferase",none
Q9P2T1,GMPR2,GMP reductase 2,NA,0.0883,0.1796,0.126,Not confident,"Oxidoreductase, Purine metabolism",none
Q9Y3C8,UFC1,Ubiquitin-fold modifier-conjugating enzyme 1,NA,0.08813,0.1064,0.142,Not confident,Ubl conjugation pathway,none
A6NIZ1,RAP1BL,Ras-related protein Rap-1b-like protein,"Cell membrane, Cytoplasm, Membrane",0.0881,0.3533,0.178,Not confident,Hydrolase,none
P06239,LCK,Tyrosine-protein kinase Lck,"Cell membrane, Cytoplasm, Membrane",0.0881,0.242,0.238,Not confident,"Host-virus interaction, Kinase, Transferase, Tyrosine-protein kinase",none
Q02127,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial","Membrane, Mitochondrion, Mitochondrion inner membrane",0.0881,0.1903,0.202,Not confident,"Oxidoreductase, Pyrimidine biosynthesis",none
Q99436,PSMB7,Proteasome subunit beta type-7,"Cytoplasm, Nucleus, Proteasome",0.0881,0.1426,0.162,Not confident,"Host-virus interaction, Hydrolase, Protease, Threonine protease",none
Q99755,PIP5K1A,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha,"Cell membrane, Cell projection, Cytoplasm, Membrane, Nucleus",0.088,0.2214,0.172,Not confident,"Kinase, Lipid metabolism, Transferase",none
Q05513,PRKCZ,Protein kinase C zeta type,"Cell junction, Cytoplasm, Endosome, Membrane",0.088,0.1738,0.136,Not confident,"Inflammatory response, Kinase, Serine/threonine-protein kinase, Transferase",none
P10586,PTPRF,Receptor-type tyrosine-protein phosphatase F,Membrane,0.0876,0.3281,0.179,medium,"Cell adhesion, Heparin-binding, Hydrolase, Protein phosphatase, Receptor","['P00533_S1__P10586_S2.pdb', 'P00533_S2__P10586_S2.pdb', 'P00533_S2__P10586_S3.pdb']"
P50213,IDH3A,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",Mitochondrion,0.0876,0.1925,0.167,Not confident,"Oxidoreductase, Tricarboxylic acid cycle",none
Q13464,ROCK1,Rho-associated protein kinase 1,"Cell membrane, Cell projection, Cytoplasm, Cytoskeleton, Golgi apparatus, Membrane",0.0874,0.277,0.149,Not confident,"Apoptosis, Kinase, Serine/threonine-protein kinase, Transferase",none
Q6GPI1,CTRB2,Chymotrypsinogen B2,Secreted,0.0874,0.2566,0.129,Not confident,"Digestion, Hydrolase, Protease, Serine protease",none
P28799,GRN,Progranulin,"Lysosome, Secreted",0.0874,0.1484,0.174,Not confident,Cytokine,none
O00391,QSOX1,Sulfhydryl oxidase 1,"Golgi apparatus, Membrane, Secreted",0.0872,0.4233,0.172,Not confident,Oxidoreductase,none
